date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,159.3,160.15,158.75,160.05,0
2015-09-01 09:30:00+05:30,160.05,161.15,159.75,160.8,0
2015-09-01 09:45:00+05:30,160.8,161.1,160.1,160.55,0
2015-09-01 10:00:00+05:30,160.55,160.75,159.75,160.1,0
2015-09-01 10:15:00+05:30,160.1,160.5,159.7,160.25,0
2015-09-01 10:30:00+05:30,160.25,160.3,159.9,160.1,0
2015-09-01 10:45:00+05:30,160.1,160.4,159.95,160.35,0
2015-09-01 11:00:00+05:30,160.35,160.9,160.25,160.8,0
2015-09-01 11:15:00+05:30,160.8,160.85,159.5,159.65,0
2015-09-01 11:30:00+05:30,159.65,160.05,159.35,159.4,0
2015-09-01 11:45:00+05:30,159.4,159.55,159,159.55,0
2015-09-01 12:00:00+05:30,159.6,159.6,158.9,159.05,0
2015-09-01 12:15:00+05:30,159.05,159.1,158.75,159,0
2015-09-01 12:30:00+05:30,159,159.25,158.75,158.9,0
2015-09-01 12:45:00+05:30,158.9,159,157.5,157.5,0
2015-09-01 13:00:00+05:30,157.55,157.9,157.4,157.6,0
2015-09-01 13:15:00+05:30,157.6,157.7,157,157.15,0
2015-09-01 13:30:00+05:30,157.15,157.75,156.8,156.9,0
2015-09-01 13:45:00+05:30,156.95,157,155.65,156.15,0
2015-09-01 14:00:00+05:30,156.15,156.3,155.65,155.85,0
2015-09-01 14:15:00+05:30,155.75,155.9,154.6,154.85,0
2015-09-01 14:30:00+05:30,154.85,155.85,154.8,155.45,0
2015-09-01 14:45:00+05:30,155.45,155.65,155.2,155.5,0
2015-09-01 15:00:00+05:30,155.5,156.3,155.35,156.15,0
2015-09-01 15:15:00+05:30,156.15,156.5,155.85,156.1,0
2015-09-02 09:15:00+05:30,158.25,161.1,158.25,158.75,0
2015-09-02 09:30:00+05:30,158.75,159.2,158.25,159,0
2015-09-02 09:45:00+05:30,158.85,158.9,158.2,158.3,0
2015-09-02 10:00:00+05:30,158.3,158.55,158,158.05,0
2015-09-02 10:15:00+05:30,158.05,158.8,158,158.75,0
2015-09-02 10:30:00+05:30,158.75,158.85,158.3,158.55,0
2015-09-02 10:45:00+05:30,158.55,158.8,157.65,157.65,0
2015-09-02 11:00:00+05:30,157.65,157.65,156.45,156.6,0
2015-09-02 11:15:00+05:30,156.6,156.7,156.15,156.25,0
2015-09-02 11:30:00+05:30,156.25,157.2,156.25,157.2,0
2015-09-02 11:45:00+05:30,157.2,157.95,157.15,157.45,0
2015-09-02 12:00:00+05:30,157.45,157.85,157.25,157.75,0
2015-09-02 12:15:00+05:30,157.75,157.9,157.2,157.25,0
2015-09-02 12:30:00+05:30,157.25,158.45,157.15,158.2,0
2015-09-02 12:45:00+05:30,158.2,158.7,158,158.4,0
2015-09-02 13:00:00+05:30,158.4,158.8,157.95,158.4,0
2015-09-02 13:15:00+05:30,158.4,158.65,157.7,158,0
