date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,50,50,49,50,407600
2015-09-01 09:30:00+05:30,50,51,50,51,84500
2015-09-01 09:45:00+05:30,51,51,50.5,50.5,162000
2015-09-01 10:00:00+05:30,50.5,50.5,50,50.5,40600
2015-09-01 10:15:00+05:30,50.5,50.5,50,50.5,58700
2015-09-01 10:30:00+05:30,50.5,50.5,50.5,50.5,988800
2015-09-01 10:45:00+05:30,50.5,51,50,50.5,326600
2015-09-01 11:00:00+05:30,50.5,51,50.5,51,290400
2015-09-01 11:15:00+05:30,51,51,50.5,51,99700
2015-09-01 11:30:00+05:30,51,51,50,50,203900
2015-09-01 11:45:00+05:30,50,51,50,50.5,90000
2015-09-01 12:00:00+05:30,50.5,51,50.5,50.5,24000
2015-09-01 12:15:00+05:30,50.5,50.5,50.5,50.5,61000
2015-09-01 12:30:00+05:30,50.5,50.5,50.5,50.5,28700
2015-09-01 12:45:00+05:30,50.5,50.5,50.5,50.5,81400
2015-09-01 13:00:00+05:30,50.5,50.5,50,50.5,440700
2015-09-01 13:15:00+05:30,50.5,50.5,50,50,95800
2015-09-01 13:30:00+05:30,50,50,50,50,94700
2015-09-01 13:45:00+05:30,50,50,49,50,373600
2015-09-01 14:00:00+05:30,50,50,49,49.5,161800
2015-09-01 14:15:00+05:30,49.5,49.5,49,49.5,93700
2015-09-01 14:30:00+05:30,49.5,50,49.5,50,87100
2015-09-01 14:45:00+05:30,50,50,49.5,49.5,110600
2015-09-01 15:00:00+05:30,49.5,50,49,49.5,1319500
2015-09-01 15:15:00+05:30,49.5,50,49,50,675000
2015-09-02 09:15:00+05:30,50,50.5,50,50,234900
2015-09-02 09:30:00+05:30,50,50.5,50,50.5,73100
2015-09-02 09:45:00+05:30,50.5,50.5,50,50,80900
2015-09-02 10:00:00+05:30,50,50.5,50,50,190300
2015-09-02 10:15:00+05:30,50,50.5,50,50,124500
2015-09-02 10:30:00+05:30,50,50.5,50,50,214300
2015-09-02 10:45:00+05:30,50,50,50,50,52000
2015-09-02 11:00:00+05:30,50,50,50,50,101200
2015-09-02 11:15:00+05:30,50,50,50,50,112900
2015-09-02 11:30:00+05:30,50,50,50,50,102800
2015-09-02 11:45:00+05:30,50,50,50,50,231700
2015-09-02 12:00:00+05:30,50,50,50,50,326900
2015-09-02 12:15:00+05:30,50,50,50,50,189800
2015-09-02 12:30:00+05:30,50,50,50,50,54200
2015-09-02 12:45:00+05:30,50,50,50,50,55800
2015-09-02 13:00:00+05:30,50,50,50,50,136200
2015-09-02 13:15:00+05:30,50,50,50,50,71800
2015-09-02 13:30:00+05:30,50,50,50,50,234200
2015-09-02 13:45:00+05:30,50,50,50,50,69800
2015-09-02 14:00:00+05:30,50,50,50,50,69600
2015-09-02 14:15:00+05:30,50,50,50,50,81600
2015-09-02 14:30:00+05:30,50,50.5,50,50.5,251700
2015-09-02 14:45:00+05:30,50.5,50.5,50,50,133200
2015-09-02 15:00:00+05:30,50,50,50,50,214800
2015-09-02 15:15:00+05:30,50,50,50,50,530900
2015-09-03 09:15:00+05:30,51,52.5,51,52,3042200
2015-09-03 09:30:00+05:30,52,52,52,52,805600
2015-09-03 09:45:00+05:30,52,52,52,52,432900
2015-09-03 10:00:00+05:30,52,52,52,52,427000
2015-09-03 10:15:00+05:30,52,52,52,52,670100
2015-09-03 10:30:00+05:30,52,52,52,52,423900
2015-09-03 10:45:00+05:30,52,52,52,52,301900
2015-09-03 11:00:00+05:30,52,52,52,52,389600
2015-09-03 11:15:00+05:30,52,52,52,52,564500
2015-09-03 11:30:00+05:30,52,52,52,52,333000
2015-09-03 11:45:00+05:30,52,52,52,52,209500
2015-09-03 12:00:00+05:30,52,52,52,52,579100
2015-09-03 12:15:00+05:30,52,52,52,52,163300
2015-09-03 12:30:00+05:30,52,52,52,52,303800
2015-09-03 12:45:00+05:30,52,52,52,52,221300
2015-09-03 13:00:00+05:30,52,52,52,52,186900
2015-09-03 13:15:00+05:30,52,52,52,52,728900
2015-09-03 13:30:00+05:30,52,52,52,52,401000
2015-09-03 13:45:00+05:30,52,52,52,52,297400
2015-09-03 14:00:00+05:30,52,52,52,52,563900
2015-09-03 14:15:00+05:30,52,52,52,52,413200
2015-09-03 14:30:00+05:30,52,52,52,52,318500
2015-09-03 14:45:00+05:30,52,52,52,52,349600
2015-09-03 15:00:00+05:30,52,52,52,52,1258100
2015-09-03 15:15:00+05:30,52,52,52,52,788700
2015-09-04 09:15:00+05:30,52.5,52.5,51,51.5,202700
2015-09-04 09:30:00+05:30,51.5,52,50.5,51,523900
2015-09-04 09:45:00+05:30,51,51,50,50.5,615100
2015-09-04 10:00:00+05:30,50.5,50.5,50,50,204300
2015-09-04 10:15:00+05:30,50,50.5,50,50.5,409700
2015-09-04 10:30:00+05:30,50.5,51,50.5,51,349100
2015-09-04 10:45:00+05:30,51,51,50,50.5,160000
2015-09-04 11:00:00+05:30,50.5,51,50.5,50.5,164400
2015-09-04 11:15:00+05:30,50.5,51,50.5,51,194400
2015-09-04 11:30:00+05:30,51,51,51,51,1058800
2015-09-04 11:45:00+05:30,51,51,51,51,97700
2015-09-04 12:00:00+05:30,51,51,51,51,115000
2015-09-04 12:15:00+05:30,51,51,51,51,82100
2015-09-04 12:30:00+05:30,51,51,51,51,304300
2015-09-04 12:45:00+05:30,51,51,51,51,150400
2015-09-04 13:00:00+05:30,51,51,51,51,137100
2015-09-04 13:15:00+05:30,51,51,51,51,120200
