date,open,high,low,close,volume,day,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2015-09-07 09:15:00+05:30,236.36,236.95,232.55,235.41,3701268,2015-09-07,,,,,,1,,,
2015-09-07 09:30:00+05:30,235.36,235.64,233.09,233.32,833711,2015-09-07,,,,,,1,,,
2015-09-07 09:45:00+05:30,233.36,233.36,231.18,231.55,1166654,2015-09-07,,,,,,1,,,
2015-09-07 10:00:00+05:30,231.55,232.45,231.18,232.45,436583,2015-09-07,,,,,,1,,,
2015-09-07 10:15:00+05:30,232.41,233.55,232.27,232.68,465066,2015-09-07,,,,,,1,,,
2015-09-07 10:30:00+05:30,232.68,233.36,232.0,232.73,577582,2015-09-07,,,,,,1,,,
2015-09-07 10:45:00+05:30,232.73,232.95,232.0,232.68,433838,2015-09-07,,,,,,1,,,
2015-09-07 11:00:00+05:30,232.68,233.09,232.45,232.82,327361,2015-09-07,,,,,,1,,,
2015-09-07 11:15:00+05:30,232.82,233.95,231.27,231.82,734806,2015-09-07,,,,,,1,,,
2015-09-07 11:30:00+05:30,231.77,232.55,231.45,232.14,313119,2015-09-07,,,,,,1,,,
2015-09-07 11:45:00+05:30,232.14,232.32,231.77,232.27,405474,2015-09-07,,,,,,1,,,
2015-09-07 12:00:00+05:30,232.36,233.55,232.27,232.41,719883,2015-09-07,,,,,,1,,,
2015-09-07 12:15:00+05:30,232.5,232.86,232.0,232.41,483029,2015-09-07,,,,,,1,,,
2015-09-07 12:30:00+05:30,232.41,233.0,232.09,232.27,508835,2015-09-07,,,,,,1,,,
2015-09-07 12:45:00+05:30,232.27,232.91,232.14,232.77,446078,2015-09-07,,,,,,1,,,
2015-09-07 13:00:00+05:30,232.77,232.95,232.27,232.32,482231,2015-09-07,,,,,,1,,,
2015-09-07 13:15:00+05:30,232.27,232.5,231.86,231.91,542623,2015-09-07,,,,,,1,,,
2015-09-07 13:30:00+05:30,231.95,232.09,231.5,231.82,686079,2015-09-07,,,,,,1,,,
2015-09-07 13:45:00+05:30,231.82,232.91,231.68,232.73,763406,2015-09-07,,,,,,1,,,
2015-09-07 14:00:00+05:30,232.82,232.91,231.36,231.64,531302,2015-09-07,,,,,,1,,,
2015-09-07 14:15:00+05:30,231.64,231.95,229.77,230.41,1273341,2015-09-07,,,,,,1,,,
2015-09-07 14:30:00+05:30,230.5,230.5,226.41,227.14,2404903,2015-09-07,,,,,,1,,,
2015-09-07 14:45:00+05:30,227.32,227.64,225.32,227.09,1457703,2015-09-07,,,,,,1,,,
2015-09-07 15:00:00+05:30,226.95,227.09,225.95,226.55,773733,2015-09-07,,,,,,1,,,
2015-09-07 15:15:00+05:30,226.5,226.91,226.09,226.36,1188524,2015-09-07,,,,,,1,231.50799999999998,235.95419747649606,227.0618025235039
2015-09-08 09:15:00+05:30,228.64,229.91,226.55,228.45,1435791,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,217.01622400000005,1,231.2296,235.53294374178964,226.92625625821037
2015-09-08 09:30:00+05:30,228.64,229.77,228.5,229.23,549127,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,218.00017504000002,1,231.06600000000003,235.3499570492712,226.78204295072885
2015-09-08 09:45:00+05:30,229.18,230.41,229.18,229.91,578388,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,218.76116803840006,1,231.0004,235.30288850782895,226.69791149217107
2015-09-08 10:00:00+05:30,229.91,230.82,229.73,230.32,659013,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,219.377321316864,1,230.9152,235.18371588259902,226.64668411740098
2015-09-08 10:15:00+05:30,230.36,232.55,230.32,232.18,739434,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,220.34882846418947,1,230.89520000000002,235.1350419593188,226.65535804068122
2015-09-08 10:30:00+05:30,232.18,232.73,231.18,231.64,558747,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,220.87827532562187,1,230.8516,235.0371434246941,226.66605657530587
2015-09-08 10:45:00+05:30,231.68,232.18,231.14,231.14,301882,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,220.87827532562187,1,230.79,234.91092416819336,226.66907583180662
2015-09-08 11:00:00+05:30,231.14,232.05,230.36,232.05,539405,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,220.87827532562187,1,230.7592,234.83018187664845,226.68821812335153
2015-09-08 11:15:00+05:30,232.09,233.18,231.64,232.45,507550,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,221.4561809984894,1,230.78439999999998,234.8889967597317,226.67980324026826
2015-09-08 11:30:00+05:30,232.45,234.09,232.41,233.55,644681,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,222.26393375854983,1,230.84079999999997,235.0556230615294,226.62597693847056
2015-09-08 11:45:00+05:30,233.55,234.86,232.91,233.73,1051487,2015-09-08,229.54333333333332,231.135,227.95166666666665,0.013868114952877469,222.79237640820782,1,230.89919999999998,235.23046649376369,226.56793350623627
