date,open,high,low,close,volume
2015-09-07 09:15:00+05:30,65.5,65.5,64.25,64.9,171920
2015-09-07 09:30:00+05:30,64.9,65.05,64.7,64.95,93855
2015-09-07 09:45:00+05:30,64.95,65.2,64.85,65,66716
2015-09-07 10:00:00+05:30,64.95,65.55,64.85,65.5,80743
2015-09-07 10:15:00+05:30,65.5,66.55,65.15,66.4,276500
2015-09-07 10:30:00+05:30,66.4,66.65,66.35,66.45,102435
2015-09-07 10:45:00+05:30,66.4,66.45,66,66.1,62043
2015-09-07 11:00:00+05:30,66.1,66.1,65.7,65.7,52651
2015-09-07 11:15:00+05:30,65.7,65.8,65.35,65.5,39845
2015-09-07 11:30:00+05:30,65.4,65.75,65.4,65.55,29828
2015-09-07 11:45:00+05:30,65.55,65.55,65.35,65.5,22749
2015-09-07 12:00:00+05:30,65.5,65.5,65.3,65.4,41196
2015-09-07 12:15:00+05:30,65.35,65.45,65.35,65.4,33551
2015-09-07 12:30:00+05:30,65.35,65.5,65.3,65.45,34521
2015-09-07 12:45:00+05:30,65.45,65.45,65.35,65.45,34037
2015-09-07 13:00:00+05:30,65.45,65.45,64.8,64.85,45317
2015-09-07 13:15:00+05:30,64.8,64.85,64.5,64.6,112244
2015-09-07 13:30:00+05:30,64.5,64.7,64.35,64.7,103855
2015-09-07 13:45:00+05:30,64.6,64.7,64.5,64.6,96700
2015-09-07 14:00:00+05:30,64.5,64.6,64.35,64.55,135089
2015-09-07 14:15:00+05:30,64.55,64.95,64.45,64.9,164077
2015-09-07 14:30:00+05:30,64.9,65.15,64.8,65,152625
2015-09-07 14:45:00+05:30,64.9,64.9,64.8,64.85,98303
2015-09-07 15:00:00+05:30,64.85,65,64.8,64.9,204536
2015-09-07 15:15:00+05:30,64.9,66.05,64.6,64.8,845312
2015-09-08 09:15:00+05:30,65.05,65.5,64.6,64.75,178005
2015-09-08 09:30:00+05:30,64.8,65.5,64.8,65.35,155107
2015-09-08 09:45:00+05:30,65.35,66.05,65.35,65.8,130064
2015-09-08 10:00:00+05:30,65.8,66.3,65.8,66.05,94057
2015-09-08 10:15:00+05:30,66.05,66.25,66.05,66.2,74236
2015-09-08 10:30:00+05:30,66.2,66.55,66.2,66.4,96411
2015-09-08 10:45:00+05:30,66.4,66.65,66.4,66.55,76987
2015-09-08 11:00:00+05:30,66.55,66.6,66.2,66.25,78499
2015-09-08 11:15:00+05:30,66.25,66.25,66.05,66.2,106768
2015-09-08 11:30:00+05:30,66.2,66.25,65.8,65.95,104735
2015-09-08 11:45:00+05:30,65.95,66.05,65.65,65.9,74448
2015-09-08 12:00:00+05:30,65.9,65.95,65.8,65.8,47657
2015-09-08 12:15:00+05:30,65.8,65.95,65.5,65.65,74059
2015-09-08 12:30:00+05:30,65.65,65.95,65.65,65.7,40023
2015-09-08 12:45:00+05:30,65.7,65.95,65.7,65.85,46060
2015-09-08 13:00:00+05:30,65.85,66.2,65.7,65.7,144408
2015-09-08 13:15:00+05:30,65.7,65.8,65.6,65.65,116675
2015-09-08 13:30:00+05:30,65.65,65.75,65.5,65.65,109141
2015-09-08 13:45:00+05:30,65.65,66.05,65.65,65.95,117016
2015-09-08 14:00:00+05:30,65.95,66.25,65.95,66.2,141104
