date,open,high,low,close,volume,day,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2015-09-01 09:15:00+05:30,885.0,909.1,885.0,906.95,544718,2015-09-01,,,,,,1,,,
2015-09-01 09:30:00+05:30,906.75,909.4,903.45,906.55,161284,2015-09-01,,,,,,1,,,
2015-09-01 09:45:00+05:30,906.55,908.2,905.95,907.35,84026,2015-09-01,,,,,,1,,,
2015-09-01 10:00:00+05:30,907.0,907.7,905.0,905.25,67052,2015-09-01,,,,,,1,,,
2015-09-01 10:15:00+05:30,905.25,913.7,904.5,910.95,200641,2015-09-01,,,,,,1,,,
2015-09-01 10:30:00+05:30,910.95,914.7,910.1,911.7,104887,2015-09-01,,,,,,1,,,
2015-09-01 10:45:00+05:30,911.7,916.0,911.7,914.0,142953,2015-09-01,,,,,,1,,,
2015-09-01 11:00:00+05:30,914.0,915.65,912.75,914.6,91413,2015-09-01,,,,,,1,,,
2015-09-01 11:15:00+05:30,914.6,915.55,910.25,911.2,98412,2015-09-01,,,,,,1,,,
2015-09-01 11:30:00+05:30,911.2,913.85,907.0,908.3,145277,2015-09-01,,,,,,1,,,
2015-09-01 11:45:00+05:30,908.3,909.85,905.5,909.35,112734,2015-09-01,,,,,,1,,,
2015-09-01 12:00:00+05:30,909.4,909.7,903.05,904.6,125419,2015-09-01,,,,,,1,,,
2015-09-01 12:15:00+05:30,904.95,908.8,901.45,907.5,129553,2015-09-01,,,,,,1,,,
2015-09-01 12:30:00+05:30,907.4,910.7,906.8,909.05,100010,2015-09-01,,,,,,1,,,
2015-09-01 12:45:00+05:30,909.0,910.7,903.5,903.55,124157,2015-09-01,,,,,,1,,,
2015-09-01 13:00:00+05:30,903.3,907.6,903.0,905.8,102397,2015-09-01,,,,,,1,,,
2015-09-01 13:15:00+05:30,905.65,906.4,902.15,904.05,162026,2015-09-01,,,,,,1,,,
2015-09-01 13:30:00+05:30,904.5,904.5,901.0,901.5,132732,2015-09-01,,,,,,1,,,
2015-09-01 13:45:00+05:30,901.5,903.4,897.5,902.15,152738,2015-09-01,,,,,,1,,,
2015-09-01 14:00:00+05:30,902.15,904.75,898.35,902.3,175973,2015-09-01,,,,,,1,,,
2015-09-01 14:15:00+05:30,902.3,903.25,893.0,896.0,248740,2015-09-01,,,,,,1,,,
2015-09-01 14:30:00+05:30,896.0,903.75,895.0,901.0,243730,2015-09-01,,,,,,1,,,
2015-09-01 14:45:00+05:30,901.0,902.8,898.2,902.45,172573,2015-09-01,,,,,,1,,,
2015-09-01 15:00:00+05:30,902.25,903.9,900.85,900.85,369057,2015-09-01,,,,,,1,,,
2015-09-01 15:15:00+05:30,901.25,903.7,899.1,903.0,314440,2015-09-01,,,,,,1,906.0,914.8303114327865,897.1696885672135
2015-09-02 09:15:00+05:30,913.95,915.8,907.15,909.9,321272,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,906.118,915.0738865557801,897.16211344422
2015-09-02 09:30:00+05:30,909.9,910.35,906.0,907.1,95672,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,906.14,915.102722800578,897.177277199422
2015-09-02 09:45:00+05:30,907.1,909.0,902.25,905.6,149169,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,906.07,915.0211563498802,897.1188436501199
2015-09-02 10:00:00+05:30,905.6,906.5,904.15,904.15,82634,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,906.0260000000001,915.0036219568436,897.0483780431565
2015-09-02 10:15:00+05:30,904.3,904.3,898.6,899.85,167739,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,905.582,914.6391907344386,896.5248092655614
2015-09-02 10:30:00+05:30,899.85,900.65,896.6,899.65,155202,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,905.1,914.0858110374079,896.1141889625922
2015-09-02 10:45:00+05:30,899.65,903.9,899.0,901.6,126170,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,904.6039999999999,912.9134606323154,896.2945393676845
2015-09-02 11:00:00+05:30,902.15,902.8,899.7,900.5,102645,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,904.04,911.4212194114523,896.6587805885476
2015-09-02 11:15:00+05:30,900.5,901.25,898.1,899.9,189764,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,903.5880000000001,910.5309837966109,896.6450162033892
2015-09-02 11:30:00+05:30,899.9,904.0,899.9,900.5,100288,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,903.2760000000001,910.0427492934201,896.50925070658
2015-09-02 11:45:00+05:30,900.5,902.95,893.85,896.65,299880,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,902.768,909.5413524934113,895.9946475065888
2015-09-02 12:00:00+05:30,896.7,898.7,894.55,895.4,129426,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,902.4,909.7133849891825,895.0866150108175
2015-09-02 12:15:00+05:30,895.25,899.7,895.25,897.95,102851,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,902.018,909.2227695313591,894.813230468641
2015-09-02 12:30:00+05:30,898.0,900.25,897.8,899.1,113195,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,901.62,908.3077200898363,894.9322799101637
2015-09-02 12:45:00+05:30,899.1,903.0,898.0,902.35,157630,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,901.572,908.2207340148332,894.9232659851668
2015-09-02 13:00:00+05:30,902.3,903.5,901.25,902.15,144875,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,901.4259999999999,907.8535731034349,894.998426896565
2015-09-02 13:15:00+05:30,902.15,903.75,899.55,901.1,137667,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,901.308,907.6462445519245,894.9697554480755
2015-09-02 13:30:00+05:30,901.15,901.15,898.5,900.0,148618,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,901.248,907.6062060362968,894.8897939637033
2015-09-02 13:45:00+05:30,899.95,900.9,899.1,900.25,159418,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,901.172,907.5306841406065,894.8133158593936
2015-09-02 14:00:00+05:30,900.25,903.0,898.4,901.3,154541,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,866.6302,1,901.132,907.474357921152,894.7896420788479
2015-09-02 14:15:00+05:30,901.3,902.95,901.1,902.95,102763,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,867.0069516740926,1,901.41,907.4292358318976,895.3907641681024
2015-09-02 14:30:00+05:30,903.0,903.0,900.05,901.85,194638,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,867.0816736071288,1,901.444,907.4631906432676,895.4248093567323
2015-09-02 14:45:00+05:30,901.85,903.5,897.1,898.8,325261,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,867.0816736071288,1,901.2979999999999,907.3891397948166,895.2068602051831
2015-09-02 15:00:00+05:30,898.8,898.85,886.7,888.9,603192,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,867.0816736071288,1,900.82,908.6142029740058,893.0257970259943
2015-09-02 15:15:00+05:30,888.9,893.5,886.85,892.0,523728,2015-09-02,901.3333333333334,900.5,902.1666666666667,0.001849112426035587,867.0816736071288,1,900.38,908.8453174778033,891.9146825221967
2015-09-03 09:15:00+05:30,896.05,901.85,895.0,897.0,207752,2015-09-03,898.1666666666666,901.25,895.0833333333333,0.0068658378177770376,867.0816736071288,1,899.8639999999999,907.4747565983942,892.2532434016057
