date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,182.55,182.9,181.55,182.4,193012
2015-09-01 09:20:00+05:30,182.4,182.4,181.8,182.2,145199
2015-09-01 09:25:00+05:30,182.2,182.2,181.9,181.9,122763
2015-09-01 09:30:00+05:30,181.9,182.45,181.55,182.0,136430
2015-09-01 09:35:00+05:30,182.0,182.35,181.9,182.25,70995
2015-09-01 09:40:00+05:30,182.25,182.55,182.1,182.45,72713
2015-09-01 09:45:00+05:30,182.45,182.5,182.15,182.25,92251
2015-09-01 09:50:00+05:30,182.2,182.45,182.15,182.2,56579
2015-09-01 09:55:00+05:30,182.2,182.45,182.15,182.45,55481
2015-09-01 10:00:00+05:30,182.45,182.5,182.25,182.4,63195
2015-09-01 10:05:00+05:30,182.4,182.45,181.85,181.9,89222
2015-09-01 10:10:00+05:30,181.9,182.15,181.5,182.05,80569
2015-09-01 10:15:00+05:30,182.05,182.05,181.45,181.85,70906
2015-09-01 10:20:00+05:30,181.85,182.0,181.55,181.95,53911
2015-09-01 10:25:00+05:30,181.95,182.15,181.7,181.85,82397
2015-09-01 10:30:00+05:30,181.85,182.05,181.65,181.85,71766
2015-09-01 10:35:00+05:30,181.8,182.4,181.8,181.8,74242
2015-09-01 10:40:00+05:30,181.8,181.9,181.45,181.8,85665
2015-09-01 10:45:00+05:30,181.8,181.85,181.55,181.65,56509
2015-09-01 10:50:00+05:30,181.65,181.85,181.35,181.85,91034
2015-09-01 10:55:00+05:30,181.85,181.85,181.4,181.55,99006
2015-09-01 11:00:00+05:30,181.55,181.8,181.45,181.45,48066
2015-09-01 11:05:00+05:30,181.45,181.8,181.45,181.65,50477
2015-09-01 11:10:00+05:30,181.65,181.7,181.3,181.7,88683
2015-09-01 11:15:00+05:30,181.7,181.8,181.4,181.4,76896
2015-09-01 11:20:00+05:30,181.4,181.55,181.3,181.4,39938
2015-09-01 11:25:00+05:30,181.4,181.5,181.3,181.35,83839
2015-09-01 11:30:00+05:30,181.3,181.45,181.3,181.4,45479
2015-09-01 11:35:00+05:30,181.4,181.4,180.2,180.3,215248
2015-09-01 11:40:00+05:30,180.3,180.45,179.9,180.35,122535
2015-09-01 11:45:00+05:30,180.3,180.5,180.05,180.35,96937
2015-09-01 11:50:00+05:30,180.35,180.6,180.3,180.55,127228
2015-09-01 11:55:00+05:30,180.55,181.05,180.55,180.85,74687
2015-09-01 12:00:00+05:30,180.85,180.9,180.3,180.35,86075
2015-09-01 12:05:00+05:30,180.35,180.4,179.95,180.0,92419
2015-09-01 12:10:00+05:30,180.0,180.15,179.7,180.15,83962
2015-09-01 12:15:00+05:30,180.15,180.3,180.0,180.15,64983
2015-09-01 12:20:00+05:30,180.1,180.5,179.7,180.15,115247
2015-09-01 12:25:00+05:30,180.15,180.4,180.15,180.35,65697
2015-09-01 12:30:00+05:30,180.4,180.6,180.2,180.55,55693
2015-09-01 12:35:00+05:30,180.55,180.65,180.15,180.3,67386
2015-09-01 12:40:00+05:30,180.4,180.65,180.15,180.35,76516
2015-09-01 12:45:00+05:30,180.4,180.6,180.25,180.35,56293
2015-09-01 12:50:00+05:30,180.35,180.4,179.65,180.35,87982
2015-09-01 12:55:00+05:30,180.35,180.35,180.05,180.05,67728
2015-09-01 13:00:00+05:30,180.05,180.25,180.05,180.05,60451
2015-09-01 13:05:00+05:30,180.05,180.1,179.8,180.05,73299
2015-09-01 13:10:00+05:30,180.05,180.15,179.85,180.0,51083
2015-09-01 13:15:00+05:30,180.0,180.1,179.2,179.35,180694
2015-09-01 13:20:00+05:30,179.35,180.0,179.3,179.4,133175
2015-09-01 13:25:00+05:30,179.4,179.6,179.2,179.2,82330
2015-09-01 13:30:00+05:30,179.2,179.6,179.2,179.6,107602
2015-09-01 13:35:00+05:30,179.55,179.6,179.1,179.1,95003
2015-09-01 13:40:00+05:30,179.1,179.3,178.8,179.05,167987
2015-09-01 13:45:00+05:30,179.05,179.6,178.9,179.0,143921
2015-09-01 13:50:00+05:30,179.0,179.45,178.75,179.4,119686
2015-09-01 13:55:00+05:30,179.4,179.5,179.15,179.3,79915
2015-09-01 14:00:00+05:30,179.3,179.3,178.2,178.45,201494
2015-09-01 14:05:00+05:30,178.4,178.9,178.15,178.5,208339
2015-09-01 14:10:00+05:30,178.5,179.25,178.5,178.7,228320
2015-09-01 14:15:00+05:30,178.8,179.35,178.2,178.4,390010
2015-09-01 14:20:00+05:30,178.4,178.55,178.15,178.55,296236
2015-09-01 14:25:00+05:30,178.55,178.65,178.05,178.3,282913
2015-09-01 14:30:00+05:30,178.3,179.05,178.1,178.65,298600
2015-09-01 14:35:00+05:30,178.65,178.85,178.3,178.55,309794
2015-09-01 14:40:00+05:30,178.6,178.9,178.35,178.7,323196
2015-09-01 14:45:00+05:30,178.75,178.9,177.95,177.95,299738
2015-09-01 14:50:00+05:30,177.95,178.15,177.75,177.75,303268
2015-09-01 14:55:00+05:30,177.8,178.15,177.75,177.8,267477
2015-09-01 15:00:00+05:30,177.8,178.1,177.8,177.9,453761
2015-09-01 15:05:00+05:30,177.95,178.15,177.85,178.05,505116
2015-09-01 15:10:00+05:30,178.05,178.4,178.05,178.15,418327
2015-09-01 15:15:00+05:30,178.15,179.15,178.15,179.05,387254
2015-09-01 15:20:00+05:30,179.1,179.25,177.9,178.05,374780
2015-09-01 15:25:00+05:30,178.05,178.3,177.65,177.7,242497
2015-09-02 09:15:00+05:30,179.75,180.35,178.4,180.1,713130
2015-09-02 09:20:00+05:30,180.1,180.4,179.8,180.05,432352
2015-09-02 09:25:00+05:30,180.05,180.65,179.7,180.6,353944
2015-09-02 09:30:00+05:30,180.55,181.2,180.1,181.0,364771
2015-09-02 09:35:00+05:30,181.0,181.65,181.0,181.55,85343
2015-09-02 09:40:00+05:30,181.6,181.75,181.25,181.25,128478
2015-09-02 09:45:00+05:30,181.25,181.7,181.25,181.65,571489
2015-09-02 09:50:00+05:30,181.65,182.2,181.55,182.05,233433
2015-09-02 09:55:00+05:30,182.05,182.4,181.75,181.75,164085
2015-09-02 10:00:00+05:30,181.75,182.05,181.45,182.0,188475
2015-09-02 10:05:00+05:30,182.0,182.15,181.9,182.0,101712
2015-09-02 10:10:00+05:30,182.05,182.15,181.9,182.1,103674
2015-09-02 10:15:00+05:30,182.1,182.25,182.1,182.15,91548
2015-09-02 10:20:00+05:30,182.15,182.15,182.05,182.1,65610
2015-09-02 10:25:00+05:30,182.1,182.15,181.85,182.15,132959
2015-09-02 10:30:00+05:30,182.15,182.45,182.1,182.4,140442
2015-09-02 10:35:00+05:30,182.4,182.4,182.35,182.35,113096
