date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,399.75,402.9,396.4,401.7,668246
2015-01-02 00:00:00+05:30,400.5,404.75,400,401.3,466686
2015-01-05 00:00:00+05:30,403.75,403.75,392.15,394.55,1006312
2015-01-06 00:00:00+05:30,393.5,393.6,380.65,384,1735204
2015-01-07 00:00:00+05:30,384.85,387,373.15,374.9,1770280
2015-01-08 00:00:00+05:30,379.25,385,373.75,383.55,1953018
2015-01-09 00:00:00+05:30,384.15,395.9,380.7,386.4,3082224
2015-01-12 00:00:00+05:30,388.75,394.75,385.15,393.9,1330842
2015-01-13 00:00:00+05:30,393.9,398.75,390.85,395.9,1458036
2015-01-14 00:00:00+05:30,398.95,399.7,387.55,394.7,2066638
2015-01-15 00:00:00+05:30,398.75,404.6,388.1,398.3,1829488
2015-01-16 00:00:00+05:30,398.5,411,393.9,409.75,1592674
2015-01-19 00:00:00+05:30,412.5,432.5,409.95,411.15,1667916
2015-01-20 00:00:00+05:30,415.6,419.8,412.4,418.05,1549634
2015-01-21 00:00:00+05:30,415.3,423,410.25,421.8,3770516
2015-01-22 00:00:00+05:30,422,423.25,414.25,416.4,1884552
2015-01-23 00:00:00+05:30,415.75,417.2,407.8,411.65,2341538
2015-01-27 00:00:00+05:30,412.2,412.2,401.9,404.1,2230886
2015-01-28 00:00:00+05:30,402.5,416.45,402.5,414.85,2086694
2015-01-29 00:00:00+05:30,414.5,415.65,402.2,412.25,2375720
2015-01-30 00:00:00+05:30,452.5,455,438.3,447.95,10707672
2015-02-02 00:00:00+05:30,450,475,449.5,472.75,5044878
2015-02-03 00:00:00+05:30,477.5,478.75,467.75,475.05,4221136
2015-02-04 00:00:00+05:30,475,477.5,471.4,475.1,2469950
2015-02-05 00:00:00+05:30,475,495.2,471.75,493.15,4247448
2015-02-06 00:00:00+05:30,492.5,499.25,486.3,488.65,2011924
2015-02-09 00:00:00+05:30,485.25,502.35,482.8,498.55,2335254
2015-02-10 00:00:00+05:30,496.25,496.95,481.25,483.35,2893204
2015-02-11 00:00:00+05:30,484.9,491.75,480.3,488.9,1071258
2015-02-12 00:00:00+05:30,487.5,497.5,487.25,496.1,2182688
2015-02-13 00:00:00+05:30,497.5,501,494.2,498.25,1643004
2015-02-16 00:00:00+05:30,498.75,502,495.15,496.2,1512434
2015-02-18 00:00:00+05:30,497.9,510,496.9,508.3,3163902
2015-02-19 00:00:00+05:30,507.5,513.65,505,512.05,2068476
2015-02-20 00:00:00+05:30,512.5,513.75,499,500.2,1334286
2015-02-23 00:00:00+05:30,500,506.9,489.6,492.75,1333170
2015-02-24 00:00:00+05:30,492.75,499.7,488.9,494,1821524
2015-02-25 00:00:00+05:30,497.35,498.4,492.95,495.8,1138174
2015-02-26 00:00:00+05:30,495.75,502,491.25,493.85,2078322
2015-02-27 00:00:00+05:30,497.25,506.4,493.85,505.5,2404410
2015-03-02 00:00:00+05:30,510.2,510.2,500.1,506.2,2049168
2015-03-03 00:00:00+05:30,507.75,511.2,496.25,507.8,2153344
2015-03-04 00:00:00+05:30,509.25,512.9,505,509,1715154
2015-03-05 00:00:00+05:30,509,518.7,509,516.25,1724358
2015-03-09 00:00:00+05:30,514.2,518.7,502.75,516.4,3277884
2015-03-10 00:00:00+05:30,513.75,517.25,507,511.05,2712744
2015-03-11 00:00:00+05:30,515,529.2,508.9,514.75,5037130
2015-03-12 00:00:00+05:30,516.25,519.8,510.55,513.15,2440220
2015-03-13 00:00:00+05:30,514.7,514.75,495.25,503.15,3184484
2015-03-16 00:00:00+05:30,505,516.5,503.5,514.25,3968918
2015-03-17 00:00:00+05:30,516.7,517.2,508.25,509.75,5003722
2015-03-18 00:00:00+05:30,510,513.2,498.75,501.65,9463920
2015-03-19 00:00:00+05:30,495,503.2,486,489.8,5081620
2015-03-20 00:00:00+05:30,489.95,492.5,482.85,489.95,3135554
2015-03-23 00:00:00+05:30,490.25,493.8,480.85,484.2,1948568
2015-03-24 00:00:00+05:30,484.5,489.5,480.15,485.15,2649348
2015-03-25 00:00:00+05:30,486,508.9,484.55,503.55,3759287
2015-03-26 00:00:00+05:30,503,505,489.05,493.7,3524064
2015-03-27 00:00:00+05:30,491.7,501.5,477.45,481.4,2140165
2015-03-30 00:00:00+05:30,483,493.1,478.25,490.2,1637532
2015-03-31 00:00:00+05:30,490,492,483.5,490.2,1863338
2015-04-01 00:00:00+05:30,473.5,481.5,467.5,470.4,4140584
2015-04-06 00:00:00+05:30,466.5,469.5,456.05,466,3864374
2015-04-07 00:00:00+05:30,469.9,478,463.7,467.25,2174069
2015-04-08 00:00:00+05:30,472.45,484.5,470,479.4,1793667
2015-04-09 00:00:00+05:30,484.5,484.5,470.5,482.05,1337066
2015-04-10 00:00:00+05:30,479.65,488.85,478,483.6,1418739
2015-04-13 00:00:00+05:30,483.95,489.25,477.5,488,1549571
2015-04-15 00:00:00+05:30,489,489,469.35,472.25,1549286
2015-04-16 00:00:00+05:30,474.5,478.95,466.75,477.1,1028691
2015-04-17 00:00:00+05:30,474,475.35,467.2,470.05,1569116
2015-04-20 00:00:00+05:30,472.5,473.85,456.25,462.15,1611552
2015-04-21 00:00:00+05:30,420.4,460,417.55,445.3,7298142
2015-04-22 00:00:00+05:30,442.25,445.95,431.55,438.65,3967341
2015-04-23 00:00:00+05:30,441.4,453.5,441.1,447.5,3195690
2015-04-24 00:00:00+05:30,445.5,456.4,443.7,448.45,3203245
2015-04-27 00:00:00+05:30,448,452.95,437,441.6,1894616
2015-04-28 00:00:00+05:30,439.3,441.85,427.15,435.25,2901828
2015-04-29 00:00:00+05:30,435.25,446.6,429.2,443.6,2038048
2015-04-30 00:00:00+05:30,441.05,444,431.25,440.25,3669235
2015-05-04 00:00:00+05:30,440.25,463.35,432.9,459.9,1676262
2015-05-05 00:00:00+05:30,461.5,464.5,452.55,455.95,1729767
2015-05-06 00:00:00+05:30,453.5,462.9,440.1,445.55,2297639
2015-05-07 00:00:00+05:30,448.05,462.45,440.05,460.35,1819982
2015-05-08 00:00:00+05:30,463.7,474.35,457.95,462.75,1789684
2015-05-11 00:00:00+05:30,467.25,474.75,461.7,470.95,1796106
2015-05-12 00:00:00+05:30,471,471.7,455.25,457.8,1232315
2015-05-13 00:00:00+05:30,458,472,458,468.65,1387412
2015-05-14 00:00:00+05:30,469.4,471,459,462.65,1126213
2015-05-15 00:00:00+05:30,462.5,467.4,453.75,456.95,1702804
2015-05-18 00:00:00+05:30,458.75,466.75,450.95,465.25,1507066
2015-05-19 00:00:00+05:30,465,468.35,460,467.05,1294467
2015-05-20 00:00:00+05:30,470.5,481.85,469.6,480.05,1536772
2015-05-21 00:00:00+05:30,481.95,486.95,480,485.1,1046384
2015-05-22 00:00:00+05:30,481.6,494,478.7,492.05,1497830
2015-05-25 00:00:00+05:30,492.5,505,486.6,499.55,1645683
2015-05-26 00:00:00+05:30,499.85,503.5,492.75,496.75,1231054
2015-05-27 00:00:00+05:30,495,502.45,492.15,495.75,1472721
2015-05-28 00:00:00+05:30,493.05,498.3,479.25,490.05,1668616
2015-05-29 00:00:00+05:30,488,522.45,481,505.35,5679338
2015-06-01 00:00:00+05:30,496.4,499.25,484.6,486.65,1152294
2015-06-02 00:00:00+05:30,488.5,493.45,473.35,476.35,1165720
2015-06-03 00:00:00+05:30,477.6,483,466.2,476.15,1809987
2015-06-04 00:00:00+05:30,471.05,474.4,467.15,470.3,1553726
2015-06-05 00:00:00+05:30,470.5,474.45,462.75,464.5,1500323
2015-06-08 00:00:00+05:30,459.5,464,456.45,459.45,1489430
2015-06-09 00:00:00+05:30,457.5,462.5,450.6,455.7,1221204
2015-06-10 00:00:00+05:30,457.5,473,454.85,471.25,2586123
2015-06-11 00:00:00+05:30,470,472.45,455.25,457.4,1820636
2015-06-12 00:00:00+05:30,456.95,456.95,441.35,448.15,1846528
2015-06-15 00:00:00+05:30,449.5,461.4,445.5,454,858671
2015-06-16 00:00:00+05:30,454.85,455.8,449.2,453.15,889162
2015-06-17 00:00:00+05:30,455.05,459.3,449.8,453.15,1250882
2015-06-18 00:00:00+05:30,457.7,460.25,452.1,456.85,1318708
2015-06-19 00:00:00+05:30,457.5,468.75,456.85,459.1,1781808
2015-06-22 00:00:00+05:30,459.6,467.75,456,465.75,825531
2015-06-23 00:00:00+05:30,469.85,474.65,462.6,463.7,1100134
2015-06-24 00:00:00+05:30,464.5,471.95,464.25,469.05,1308655
2015-06-25 00:00:00+05:30,465,466.5,456.9,463.05,1551251
