date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,221.4,221.4,216.45,218.45,547467
2015-01-02 00:00:00+05:30,218.55,227.2,218.55,225.3,2422379
2015-01-05 00:00:00+05:30,223.85,226.4,220.65,221.05,1011379
2015-01-06 00:00:00+05:30,219.35,219.35,208.55,210.35,1439410
2015-01-07 00:00:00+05:30,209.7,213.95,201.65,206.55,2585497
2015-01-08 00:00:00+05:30,208.5,214,207.15,212.8,1557594
2015-01-09 00:00:00+05:30,214.15,216.45,209.3,212.5,2147852
2015-01-12 00:00:00+05:30,212.8,214.2,209.8,211.4,938970
2015-01-13 00:00:00+05:30,212.35,228.55,212.35,220.5,4826572
2015-01-14 00:00:00+05:30,221.15,230.15,219.35,229.05,3000668
2015-01-15 00:00:00+05:30,232.15,233.45,226.15,231.8,2067555
2015-01-16 00:00:00+05:30,231.2,239.15,229.55,236.7,1932058
2015-01-19 00:00:00+05:30,237.1,239.5,234.85,237.25,1554041
2015-01-20 00:00:00+05:30,237.9,239.95,236,237.45,1305552
2015-01-21 00:00:00+05:30,238.4,238.4,228.35,232.95,1708934
2015-01-22 00:00:00+05:30,232.2,235.05,228.3,230.45,1197768
2015-01-23 00:00:00+05:30,232.6,233.75,227.85,228.95,1068753
2015-01-27 00:00:00+05:30,229.6,232.15,223.15,224.2,1383756
2015-01-28 00:00:00+05:30,225.75,230.4,223.35,226.55,1140172
2015-01-29 00:00:00+05:30,226.4,234.95,223.95,233.55,1795781
2015-01-30 00:00:00+05:30,236.5,239.35,232.75,235.55,1319375
2015-02-02 00:00:00+05:30,236.55,253.05,229.6,251.85,4211566
2015-02-03 00:00:00+05:30,253.9,267.95,249.25,266.25,7302799
2015-02-04 00:00:00+05:30,267.8,278.8,265.45,274.75,6264095
2015-02-05 00:00:00+05:30,273.7,273.7,265.8,267.3,1919652
2015-02-06 00:00:00+05:30,264.75,279.3,261.6,273.9,3890974
2015-02-09 00:00:00+05:30,272.45,272.45,261.55,264.5,1465074
2015-02-10 00:00:00+05:30,263.65,274.7,263.05,271.55,1711573
2015-02-11 00:00:00+05:30,273.1,281.3,267.35,278.6,3735246
2015-02-12 00:00:00+05:30,281.05,286.35,279.55,282.75,1966692
2015-02-13 00:00:00+05:30,283.05,283.3,272.85,274.75,1595541
2015-02-16 00:00:00+05:30,273.7,279.1,270,272.7,1033502
2015-02-18 00:00:00+05:30,272.7,275.05,266.4,267.2,1100061
2015-02-19 00:00:00+05:30,268.45,277.1,267.95,273.65,1346471
2015-02-20 00:00:00+05:30,273.6,273.6,266.7,269.25,890067
2015-02-23 00:00:00+05:30,271.85,274.3,264.3,266.75,1482942
2015-02-24 00:00:00+05:30,265.45,271.15,263.3,264.8,2049617
2015-02-25 00:00:00+05:30,266.55,269.6,258.35,263,3061189
2015-02-26 00:00:00+05:30,263.45,264.9,255.2,260.5,1540341
2015-02-27 00:00:00+05:30,261.25,269.5,261.25,268.45,1058134
2015-03-02 00:00:00+05:30,267.3,272.3,265.75,270.4,902270
2015-03-03 00:00:00+05:30,270.55,272.55,266.7,267.7,667242
2015-03-04 00:00:00+05:30,270.25,272.45,263,265.55,1451175
2015-03-05 00:00:00+05:30,267,271.15,264.8,269.7,1150913
2015-03-09 00:00:00+05:30,270,281.35,267.1,279.15,2846316
2015-03-10 00:00:00+05:30,281.55,282.8,276.25,277.45,1414062
2015-03-11 00:00:00+05:30,276.45,278.05,271.15,272.15,728579
2015-03-12 00:00:00+05:30,271.15,276.1,268.75,274.25,991200
2015-03-13 00:00:00+05:30,275.65,277.55,261.9,264.2,1383771
2015-03-16 00:00:00+05:30,264.2,265.2,256.25,261.15,1207315
2015-03-17 00:00:00+05:30,261.5,270.45,260.6,267,1937033
2015-03-18 00:00:00+05:30,269.2,273.95,266.8,270.15,1381681
2015-03-19 00:00:00+05:30,272.45,277.35,268.45,273.9,1898005
2015-03-20 00:00:00+05:30,278,279.15,263,266.85,2423769
2015-03-23 00:00:00+05:30,267.95,272.4,266.15,268.45,1188500
2015-03-24 00:00:00+05:30,268.4,271.05,264.45,265.05,756570
2015-03-25 00:00:00+05:30,265.95,272.1,265.35,268.55,1000493
2015-03-26 00:00:00+05:30,268.45,275.65,266.9,272.95,1766838
2015-03-27 00:00:00+05:30,274.95,285.8,265.7,278.3,2736578
2015-03-30 00:00:00+05:30,281.2,285.15,279.5,281.8,1548800
2015-03-31 00:00:00+05:30,283.2,292.8,280.35,282.75,2735336
2015-04-01 00:00:00+05:30,283.6,287.55,278.8,281.85,1317067
2015-04-06 00:00:00+05:30,281.85,289.35,280.35,287.95,1969019
2015-04-07 00:00:00+05:30,290.9,306.2,288.45,302.65,2963590
2015-04-08 00:00:00+05:30,304.35,304.35,293.15,295.6,1814976
2015-04-09 00:00:00+05:30,295.85,300.65,289.15,290.5,1965930
2015-04-10 00:00:00+05:30,290.2,297.5,289.7,296.35,1837351
2015-04-13 00:00:00+05:30,297.3,305.95,295.85,303.55,3467058
2015-04-15 00:00:00+05:30,304.4,310.15,293.1,294.75,3700856
2015-04-16 00:00:00+05:30,296,299.2,280.55,289,1864178
2015-04-17 00:00:00+05:30,290.2,291.55,273.3,274.3,2664144
2015-04-20 00:00:00+05:30,274.35,274.65,258.4,262.1,2082678
2015-04-21 00:00:00+05:30,261.85,274.7,254.1,271.75,1881211
2015-04-22 00:00:00+05:30,273.95,278.5,267.45,274.85,2181934
2015-04-23 00:00:00+05:30,276.85,281.05,275.75,279.6,1590886
2015-04-24 00:00:00+05:30,280.55,280.55,270.95,278,1321188
2015-04-27 00:00:00+05:30,276,289.55,271.25,285.15,5344796
2015-04-28 00:00:00+05:30,286.5,306.85,284,304.3,3644829
2015-04-29 00:00:00+05:30,303.75,309,298,299.7,2543472
2015-04-30 00:00:00+05:30,298,317.15,295.6,313.75,5605932
2015-05-04 00:00:00+05:30,314.3,320.65,310.2,317.95,3133641
2015-05-05 00:00:00+05:30,316.1,323.5,311.6,316.6,2726053
2015-05-06 00:00:00+05:30,314.3,321,304.85,306.25,3524462
2015-05-07 00:00:00+05:30,310.1,315.8,303.85,312.1,2112600
2015-05-08 00:00:00+05:30,316.2,326.7,314.85,323.95,1923945
2015-05-11 00:00:00+05:30,326.6,327.8,320,322.8,2973574
2015-05-12 00:00:00+05:30,319.5,321,305.2,312.75,3322227
2015-05-13 00:00:00+05:30,317.75,328.25,316.7,324.75,5017132
2015-05-14 00:00:00+05:30,326.5,335.75,326.45,329.5,2983197
2015-05-15 00:00:00+05:30,330.2,336.7,329.4,333.4,1677754
2015-05-18 00:00:00+05:30,333.5,340.2,332.1,337.45,3009179
2015-05-19 00:00:00+05:30,337.5,340.95,331.75,333.3,1249642
2015-05-20 00:00:00+05:30,335.75,338.3,329.05,330.7,1851979
2015-05-21 00:00:00+05:30,332.35,345.7,332.05,344.55,2648308
2015-05-22 00:00:00+05:30,349.8,349.8,338.65,343.85,1381148
2015-05-25 00:00:00+05:30,344.5,355.15,343.95,352.75,2213880
2015-05-26 00:00:00+05:30,352.75,363.5,349.2,361.5,4302035
2015-05-27 00:00:00+05:30,356.25,358.15,340.4,343.45,4831150
2015-05-28 00:00:00+05:30,340.2,346.45,326.3,331.85,4821055
