date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,23015,23080,22908.3,23052,1517
2015-09-01 09:30:00+05:30,23051.65,23172.95,23000,23172.95,1195
2015-09-01 09:45:00+05:30,23172.95,23237.75,23156.15,23169,1673
2015-09-01 10:00:00+05:30,23169,23182.9,23063,23063.1,520
2015-09-01 10:15:00+05:30,23063.1,23138.45,23050.35,23105.4,350
2015-09-01 10:30:00+05:30,23105.4,23105.4,23053,23092.1,320
2015-09-01 10:45:00+05:30,23092.1,23119.95,23073.15,23079.55,277
2015-09-01 11:00:00+05:30,23079.55,23167.8,23077.05,23103.05,301
2015-09-01 11:15:00+05:30,23103.05,23137.7,23071.35,23071.35,446
2015-09-01 11:30:00+05:30,23071.35,23121.25,23011,23035,389
2015-09-01 11:45:00+05:30,23035,23100,23025.15,23100,319
2015-09-01 12:00:00+05:30,23100,23101.1,22980,22980,907
2015-09-01 12:15:00+05:30,22980,23088.25,22949.6,23006.1,426
2015-09-01 12:30:00+05:30,23006.1,23020,22962.1,22970,365
2015-09-01 12:45:00+05:30,22970,22988.4,22935.1,22949.65,439
2015-09-01 13:00:00+05:30,22949.65,23014.5,22943.65,22989,533
2015-09-01 13:15:00+05:30,22975,22975,22874.8,22904.95,1633
2015-09-01 13:30:00+05:30,22904.95,22982.7,22888.3,22939.85,560
2015-09-01 13:45:00+05:30,22939.85,22939.85,22699.95,22780,2126
2015-09-01 14:00:00+05:30,22780,22781.55,22600,22625,2275
2015-09-01 14:15:00+05:30,22624.6,22650,22400,22400,3018
2015-09-01 14:30:00+05:30,22400,22510,22355.65,22471,1510
2015-09-01 14:45:00+05:30,22455.05,22630.05,22428,22629.2,1681
2015-09-01 15:00:00+05:30,22629.2,22882.55,22555.1,22732.1,3329
2015-09-01 15:15:00+05:30,22750.35,22870,22716.2,22815,2994
2015-09-02 09:15:00+05:30,23188,23188,22780,22817,1984
2015-09-02 09:30:00+05:30,22820,22979,22755,22979,638
2015-09-02 09:45:00+05:30,22975.2,22996.4,22856.05,22883.95,582
2015-09-02 10:00:00+05:30,22883.95,22900,22760.05,22760.05,912
2015-09-02 10:15:00+05:30,22760.05,22900,22760.05,22883.75,409
2015-09-02 10:30:00+05:30,22883.75,22954.8,22879.05,22900,585
2015-09-02 10:45:00+05:30,22900,22949.9,22804,22804.2,767
2015-09-02 11:00:00+05:30,22804.2,22841,22656,22739.95,658
2015-09-02 11:15:00+05:30,22739.95,22780,22661,22672,707
2015-09-02 11:30:00+05:30,22675.05,22782,22675,22686.1,480
2015-09-02 11:45:00+05:30,22699.05,22870,22686.15,22840,571
2015-09-02 12:00:00+05:30,22840,22997.35,22835.05,22905,905
2015-09-02 12:15:00+05:30,22905,22905,22841.55,22882.1,496
2015-09-02 12:30:00+05:30,22882.1,22974,22858.7,22910,730
2015-09-02 12:45:00+05:30,22900,22930,22817,22899.7,478
2015-09-02 13:00:00+05:30,22899.7,22930,22851.8,22918.25,435
2015-09-02 13:15:00+05:30,22918.25,22940,22750,22777.1,371
2015-09-02 13:30:00+05:30,22777.1,22850,22600,22622.85,923
2015-09-02 13:45:00+05:30,22622,22722.4,22551.05,22577.05,1178
2015-09-02 14:00:00+05:30,22577.05,22648.7,22511.2,22560,750
2015-09-02 14:15:00+05:30,22560,22625,22550,22572.3,1136
2015-09-02 14:30:00+05:30,22572.3,22597.85,22501.25,22563.65,734
2015-09-02 14:45:00+05:30,22563.65,22584.85,22429.55,22450.1,3068
2015-09-02 15:00:00+05:30,22450.1,22500,22321.25,22400,3762
2015-09-02 15:15:00+05:30,22400,22550,22367.25,22400,5956
2015-09-03 09:15:00+05:30,22687,22687,22351,22461.2,1319
2015-09-03 09:30:00+05:30,22449.75,22632.3,22435.45,22450,2046
2015-09-03 09:45:00+05:30,22449.95,22539.95,22400.5,22499.95,1982
2015-09-03 10:00:00+05:30,22499.95,22681,22499.95,22535.6,2728
2015-09-03 10:15:00+05:30,22535.6,22573.6,22368,22385.05,1244
2015-09-03 10:30:00+05:30,22385.05,22397,22251.05,22328.8,1017
2015-09-03 10:45:00+05:30,22328.8,22399.95,22305,22339.65,469
2015-09-03 11:00:00+05:30,22339,22358.85,22280,22342,394
2015-09-03 11:15:00+05:30,22342,22368,22300,22325.05,206
2015-09-03 11:30:00+05:30,22325.05,22375,22300.1,22359.7,433
2015-09-03 11:45:00+05:30,22359.7,22394.05,22291,22344.95,340
2015-09-03 12:00:00+05:30,22346.65,22373,22250,22300,501
2015-09-03 12:15:00+05:30,22300,22300,22110.6,22121,693
2015-09-03 12:30:00+05:30,22119.95,22297.8,22119.95,22239.95,522
2015-09-03 12:45:00+05:30,22239.95,22276,22200,22275.95,338
2015-09-03 13:00:00+05:30,22274.95,22329.95,22249.4,22300,321
2015-09-03 13:15:00+05:30,22314.9,22334.5,22235.05,22315.1,403
2015-09-03 13:30:00+05:30,22315.1,22346.95,22269.1,22339.45,307
2015-09-03 13:45:00+05:30,22346.95,22354.75,22238.45,22309.45,454
2015-09-03 14:00:00+05:30,22309.45,22324.45,22284,22309.75,419
2015-09-03 14:15:00+05:30,22309.05,22333.9,22222.2,22284.9,1143
2015-09-03 14:30:00+05:30,22275,22320,22255.5,22320,588
2015-09-03 14:45:00+05:30,22320,22320,22120,22148.85,1087
2015-09-03 15:00:00+05:30,22148.85,22209.95,22050.05,22164.7,2543
2015-09-03 15:15:00+05:30,22149.85,22241.5,22130,22215,2912
2015-09-04 09:15:00+05:30,22150,22150,21870,21910.35,903
2015-09-04 09:30:00+05:30,21910.35,21928.9,21650,21675.05,1604
2015-09-04 09:45:00+05:30,21675.05,21720,21611.7,21643.8,847
2015-09-04 10:00:00+05:30,21643.8,21722.7,21580.05,21711,570
2015-09-04 10:15:00+05:30,21725.55,21900,21725.55,21850,1488
2015-09-04 10:30:00+05:30,21850,21889.9,21825,21844.3,768
2015-09-04 10:45:00+05:30,21844.3,21844.3,21743.3,21824.95,533
2015-09-04 11:00:00+05:30,21800.05,21834.95,21694.3,21834.9,485
2015-09-04 11:15:00+05:30,21811.4,21918.55,21800.8,21827.8,651
2015-09-04 11:30:00+05:30,21827.8,21839.5,21649.7,21689.9,799
2015-09-04 11:45:00+05:30,21689.9,21759.1,21673.3,21751,332
2015-09-04 12:00:00+05:30,21751,21765,21701.2,21705.15,399
2015-09-04 12:15:00+05:30,21705.15,21736.9,21700,21707,294
2015-09-04 12:30:00+05:30,21707,21722.7,21660.6,21671.35,420
2015-09-04 12:45:00+05:30,21671.35,21710,21610,21695.6,632
2015-09-04 13:00:00+05:30,21695.6,21707.45,21610.05,21706.95,464
2015-09-04 13:15:00+05:30,21706.95,21766,21700.05,21755.95,657
2015-09-04 13:30:00+05:30,21755.95,21755.95,21650,21682,408
2015-09-04 13:45:00+05:30,21681.9,21689,21590.45,21649.95,868
2015-09-04 14:00:00+05:30,21649.95,21756.35,21590,21734.05,661
2015-09-04 14:15:00+05:30,21752.6,21779.95,21611.7,21762,764
2015-09-04 14:30:00+05:30,21762,21845.45,21740,21780.7,580
2015-09-04 14:45:00+05:30,21780.7,21819.45,21701,21733.65,701
2015-09-04 15:00:00+05:30,21734.05,21888,21701,21813.7,2367
2015-09-04 15:15:00+05:30,21832.3,21919,21750.05,21760.2,2798
2015-09-11 09:15:00+05:30,22015,22195,21910.15,22100.1,1449
2015-09-11 09:30:00+05:30,22101.5,22188,22063.9,22090.5,844
2015-09-11 09:45:00+05:30,22090.5,22166.7,22066,22090,334
2015-09-11 10:00:00+05:30,22090,22170,22087.8,22158.05,272
2015-09-11 10:15:00+05:30,22158.05,22437,22158.05,22380,2270
2015-09-11 10:30:00+05:30,22380,22444.75,22331,22340,1005
2015-09-11 10:45:00+05:30,22340,22382.95,22302,22350.2,414
2015-09-11 11:00:00+05:30,22350.2,22379.95,22138.35,22170.5,790
2015-09-11 11:15:00+05:30,22170.5,22281.95,22155.05,22232.35,466
2015-09-11 11:30:00+05:30,22232.35,22244.75,22170,22229.95,217
2015-09-11 11:45:00+05:30,22227,22249.85,22185.05,22230,133
2015-09-11 12:00:00+05:30,22230,22282,22141.25,22200,404
2015-09-11 12:15:00+05:30,22200,22240.05,22160,22224.95,256
2015-09-11 12:30:00+05:30,22224.95,22225,22117,22143.75,232
2015-09-11 12:45:00+05:30,22143.75,22148,21932,22016.7,846
2015-09-11 13:00:00+05:30,22016.7,22050,21920.65,21931,685
2015-09-11 13:15:00+05:30,21930,22080,21928,22034,347
2015-09-11 13:30:00+05:30,22034,22171.9,22010.1,22100.1,465
2015-09-11 13:45:00+05:30,22100.1,22100.1,21961.05,21975,459
2015-09-11 14:00:00+05:30,21975,22022.4,21950,22019.85,257
2015-09-11 14:15:00+05:30,22019.85,22100.1,21911,21987,796
2015-09-11 14:30:00+05:30,21987,22099.9,21980,22052,473
2015-09-11 14:45:00+05:30,22052,22110.05,22046.35,22095.35,1148
2015-09-11 15:00:00+05:30,22095.35,22188.3,21810.15,21900,1854
2015-09-11 15:15:00+05:30,21900,21940,21801.5,21830,1378
2015-09-14 09:15:00+05:30,22100.05,22150,21950,21950.2,1105
2015-09-14 09:30:00+05:30,21950.2,22022.4,21845,21925,712
2015-09-14 09:45:00+05:30,21925,21977,21885.85,21969.95,606
2015-09-14 10:00:00+05:30,21969.95,22025,21950.05,21978.05,391
2015-09-14 10:15:00+05:30,21978.05,22150,21978.05,22070.7,641
2015-09-14 10:30:00+05:30,22070.7,22182.95,22070.7,22144.95,410
2015-09-14 10:45:00+05:30,22145.15,22180,22090,22130,397
2015-09-14 11:00:00+05:30,22130,22149.95,22100.1,22149.95,115
2015-09-14 11:15:00+05:30,22149.95,22149.95,22070.1,22070.1,401
2015-09-14 11:30:00+05:30,22043.4,22101.75,21950,22100,322
2015-09-14 11:45:00+05:30,22100,22134,22093.35,22129.95,246
2015-09-14 12:00:00+05:30,22129.95,22255,22106.5,22180,919
2015-09-14 12:15:00+05:30,22180,22336,22141,22150,895
2015-09-14 12:30:00+05:30,22150,22220,22070,22150,672
2015-09-14 12:45:00+05:30,22150,22225,22138.15,22160.15,288
2015-09-14 13:00:00+05:30,22160.15,22220,22138.1,22215,140
2015-09-14 13:15:00+05:30,22215,22224,22180.25,22223.9,239
2015-09-14 13:30:00+05:30,22225,22296.5,22201.55,22269.95,432
2015-09-14 13:45:00+05:30,22269.95,22295,22223,22287,297
2015-09-14 14:00:00+05:30,22287,22297.1,22246.7,22290,387
2015-09-14 14:15:00+05:30,22290,22340,22267.1,22322,781
2015-09-14 14:30:00+05:30,22329.95,22379,22300.05,22300.05,770
2015-09-14 14:45:00+05:30,22300.05,22379,22300.05,22379,1607
2015-09-14 15:00:00+05:30,22379,22379,22257.05,22270,2293
2015-09-14 15:15:00+05:30,22279.9,22319.9,22218.55,22268.15,2230
2015-09-15 09:15:00+05:30,22303.5,22350,22063.5,22257.7,929
2015-09-15 09:30:00+05:30,22257.7,22299.95,22105,22147.75,630
2015-09-15 09:45:00+05:30,22147.75,22229.95,22147.75,22170.05,252
2015-09-15 10:00:00+05:30,22170.05,22245,22165,22190,361
2015-09-15 10:15:00+05:30,22190,22217.15,22146.3,22176,477
2015-09-15 10:30:00+05:30,22176,22214.95,22165,22180,4313
2015-09-15 10:45:00+05:30,22180,22219.9,22158,22219.85,378
2015-09-15 11:00:00+05:30,22219.85,22264,22120,22156,298
2015-09-15 11:15:00+05:30,22177.75,22177.75,22005.05,22070,673
2015-09-15 11:30:00+05:30,22070,22130,22061,22100.05,395
2015-09-15 11:45:00+05:30,22121,22140,22022.45,22025,740
