date,open,high,low,close,volume,day,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2017-02-03 09:30:00+05:30,120.5,120.5,120.5,120.5,13653909,2017-02-03,,,,,,1,,,
2017-02-03 09:45:00+05:30,120.5,120.5,120.5,120.5,0,2017-02-03,,,,,,1,,,
2017-02-03 10:00:00+05:30,121.0,132.5,121.0,123.0,66655314,2017-02-03,,,,,,1,,,
2017-02-03 10:15:00+05:30,123.0,125.0,123.0,124.5,10424565,2017-02-03,,,,,,1,,,
2017-02-03 10:30:00+05:30,124.5,125.0,124.0,124.0,4161015,2017-02-03,,,,,,1,,,
2017-02-03 10:45:00+05:30,124.0,124.5,123.0,123.5,3481956,2017-02-03,,,,,,1,,,
2017-02-03 11:00:00+05:30,124.0,125.0,123.5,124.0,2796957,2017-02-03,,,,,,1,,,
2017-02-03 11:15:00+05:30,124.0,124.0,123.0,123.5,2252358,2017-02-03,,,,,,1,,,
2017-02-03 11:30:00+05:30,123.5,124.0,123.0,123.5,1603368,2017-02-03,,,,,,1,,,
2017-02-03 11:45:00+05:30,123.5,124.0,123.0,123.5,893916,2017-02-03,,,,,,1,,,
2017-02-03 12:00:00+05:30,123.5,123.5,123.0,123.5,893088,2017-02-03,,,,,,1,,,
2017-02-03 12:15:00+05:30,123.5,123.5,122.5,122.5,2831166,2017-02-03,,,,,,1,,,
2017-02-03 12:30:00+05:30,122.5,123.0,122.5,123.0,1089999,2017-02-03,,,,,,1,,,
2017-02-03 12:45:00+05:30,123.0,123.0,120.0,121.0,7933095,2017-02-03,,,,,,1,,,
2017-02-03 13:00:00+05:30,121.0,121.0,119.0,120.0,4593672,2017-02-03,,,,,,1,,,
2017-02-03 13:15:00+05:30,120.0,120.5,119.0,119.5,1282212,2017-02-03,,,,,,1,,,
2017-02-03 13:30:00+05:30,119.5,121.0,119.0,120.5,3708297,2017-02-03,,,,,,1,,,
2017-02-03 13:45:00+05:30,121.0,121.0,120.0,120.5,1496817,2017-02-03,,,,,,1,,,
2017-02-03 14:00:00+05:30,120.5,120.5,120.5,120.5,603432,2017-02-03,,,,,,1,,,
2017-02-03 14:15:00+05:30,120.5,120.5,119.0,120.0,1242675,2017-02-03,,,,,,1,,,
2017-02-03 14:30:00+05:30,120.0,120.5,119.5,120.5,837018,2017-02-03,,,,,,1,,,
2017-02-03 14:45:00+05:30,120.5,120.5,119.0,119.0,1293003,2017-02-03,,,,,,1,,,
2017-02-03 15:00:00+05:30,119.0,119.5,118.5,119.0,3039129,2017-02-03,,,,,,1,,,
2017-02-03 15:15:00+05:30,119.0,119.5,118.5,119.0,4973607,2017-02-03,,,,,,1,,,
2017-02-06 09:15:00+05:30,120.5,121.0,114.5,116.5,4744539,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,,1,121.42,125.52541106346246,117.31458893653755
2017-02-06 09:30:00+05:30,116.5,119.5,116.0,118.0,3271617,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,105.15,1,121.32,125.62701752956728,117.0129824704327
2017-02-06 09:45:00+05:30,118.0,118.0,117.0,117.5,702144,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,105.15,1,121.2,125.7519226706964,116.6480773293036
2017-02-06 10:00:00+05:30,117.5,119.5,117.5,118.0,1381680,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,105.6203584,1,121.0,125.6561786907291,116.3438213092709
2017-02-06 10:15:00+05:30,118.0,119.0,117.5,117.5,502218,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,105.6203584,1,120.72,125.34238033917589,116.09761966082411
2017-02-06 10:30:00+05:30,117.5,118.0,117.5,118.0,236205,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,105.6203584,1,120.48,125.01854602268169,115.94145397731832
2017-02-06 10:45:00+05:30,118.0,118.0,118.0,118.0,182520,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,106.08344540938239,1,120.26,124.72425805705716,115.79574194294285
2017-02-06 11:00:00+05:30,118.0,118.0,117.0,117.0,364545,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,106.08344540938239,1,119.98,124.34788278230994,115.61211721769007
2017-02-06 11:15:00+05:30,117.0,117.5,117.0,117.5,178533,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,106.08344540938239,1,119.74,123.96487869648342,115.51512130351657
2017-02-06 11:30:00+05:30,117.5,117.5,117.0,117.0,165420,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,106.17454715771535,1,119.48,123.5442834546817,115.4157165453183
2017-02-06 11:45:00+05:30,117.0,117.5,117.0,117.5,147555,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,106.47756527140673,1,119.24,123.02544581258262,115.45455418741737
2017-02-06 12:00:00+05:30,117.5,117.5,117.0,117.5,84303,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,106.76846266055047,1,119.0,122.4176014981269,115.5823985018731
2017-02-06 12:15:00+05:30,117.5,117.5,117.0,117.5,128862,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.04772415412845,1,118.8,121.94960314960458,115.65039685039541
2017-02-06 12:30:00+05:30,117.5,117.5,117.0,117.0,105903,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.31581518796331,1,118.56,121.2776460402339,115.8423539597661
2017-02-06 12:45:00+05:30,117.0,117.5,117.0,117.5,169416,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.57318258044478,1,118.42,120.97624724938707,115.86375275061293
2017-02-06 13:00:00+05:30,117.5,118.0,117.0,117.0,364347,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,118.3,120.82982212813448,115.77017787186551
2017-02-06 13:15:00+05:30,117.0,117.0,116.0,116.0,710622,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,118.16,120.79393242130448,115.52606757869552
2017-02-06 13:30:00+05:30,116.0,116.5,115.5,116.0,548100,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,117.98,120.56426004883386,115.39573995116615
2017-02-06 13:45:00+05:30,116.0,116.5,116.0,116.5,215343,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,117.82,120.25113142384338,115.38886857615661
2017-02-06 14:00:00+05:30,116.5,116.5,116.0,116.0,238167,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,117.64,119.91191549138578,115.36808450861422
2017-02-06 14:15:00+05:30,116.0,116.5,115.5,116.0,209457,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,117.48,119.62438802458853,115.33561197541148
2017-02-06 14:30:00+05:30,116.0,116.0,114.5,115.0,1399446,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,117.26,119.24232187093787,115.27767812906214
2017-02-06 14:45:00+05:30,115.0,115.0,113.5,114.5,1424763,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,117.08,119.20941306467265,114.95058693532735
2017-02-06 15:00:00+05:30,114.5,115.0,114.0,114.5,647118,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,116.9,119.10907220343712,114.69092779656289
2017-02-06 15:15:00+05:30,114.5,115.0,114.0,114.0,1558269,2017-02-06,123.33333333333333,125.5,121.16666666666666,0.03513513513513521,107.93025527722699,1,116.7,119.01516738055773,114.38483261944228
2017-02-07 09:15:00+05:30,114.5,115.0,113.0,113.0,1824741,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,116.56,119.29232501726982,113.82767498273019
2017-02-07 09:30:00+05:30,113.0,114.0,113.0,113.0,1082097,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,116.36,119.3602666548156,113.3597333451844
2017-02-07 09:45:00+05:30,113.0,113.5,112.5,113.0,775089,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,116.18,119.41579974658482,112.94420025341519
2017-02-07 10:00:00+05:30,113.0,114.0,113.0,113.5,532944,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,116.0,119.31058907144913,112.68941092855087
2017-02-07 10:15:00+05:30,113.5,114.0,113.5,113.5,438921,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,115.84,119.2308111124034,112.4491888875966
2017-02-07 10:30:00+05:30,113.5,114.0,113.5,113.5,189198,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,115.66,119.05081111240338,112.26918888759661
2017-02-07 10:45:00+05:30,113.5,114.0,113.5,113.5,309951,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,115.48,118.83237229436085,112.12762770563916
2017-02-07 11:00:00+05:30,113.5,113.5,113.0,113.0,207711,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,115.32,118.74788564570031,111.89211435429968
2017-02-07 11:15:00+05:30,113.0,113.0,113.0,113.0,323973,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,115.14,118.56368222824464,111.71631777175536
2017-02-07 11:30:00+05:30,113.0,113.0,113.0,113.0,95706,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,114.98,118.4148799105643,111.54512008943571
2017-02-07 11:45:00+05:30,113.0,113.5,113.0,113.5,178353,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,114.82,118.14120460074324,111.49879539925675
2017-02-07 12:00:00+05:30,113.5,113.5,113.0,113.5,89055,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,114.66,117.83137194286607,111.48862805713392
2017-02-07 12:15:00+05:30,113.5,113.5,113.0,113.0,64845,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,114.48,117.49303833364232,111.46696166635769
2017-02-07 12:30:00+05:30,113.0,113.0,112.5,112.5,428850,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,114.3,117.22574776766521,111.37425223233478
2017-02-07 12:45:00+05:30,112.5,113.0,112.5,113.0,212940,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,114.12,116.77751763869932,111.46248236130069
2017-02-07 13:00:00+05:30,113.0,113.0,112.5,113.0,84114,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,113.96,116.37528466231164,111.54471533768834
2017-02-07 13:15:00+05:30,113.0,113.0,112.0,112.5,702972,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,113.82,116.15032186618026,111.48967813381972
2017-02-07 13:30:00+05:30,112.5,112.5,112.0,112.5,307683,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,113.68,115.88689827586091,111.4731017241391
2017-02-07 13:45:00+05:30,112.5,112.5,112.0,112.5,142560,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,113.52,115.44831532691046,111.59168467308953
2017-02-07 14:00:00+05:30,112.5,113.0,112.0,113.0,303777,2017-02-07,116.16666666666667,117.25,115.08333333333334,0.018651362984217996,107.93025527722699,1,113.4,115.04924225024638,111.75075774975363
