date,open,high,low,close,volume,day,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2015-09-01 09:15:00+05:30,164.9,166.0,164.2,165.15,51582,2015-09-01,,,,,,1,,,
2015-09-01 09:30:00+05:30,165.2,165.95,164.5,165.7,40257,2015-09-01,,,,,,1,,,
2015-09-01 09:45:00+05:30,165.7,167.25,165.5,166.35,48942,2015-09-01,,,,,,1,,,
2015-09-01 10:00:00+05:30,166.35,166.8,165.55,165.55,13545,2015-09-01,,,,,,1,,,
2015-09-01 10:15:00+05:30,165.55,166.0,165.5,165.8,8712,2015-09-01,,,,,,1,,,
2015-09-01 10:30:00+05:30,165.8,165.85,165.1,165.35,13460,2015-09-01,,,,,,1,,,
2015-09-01 10:45:00+05:30,165.35,165.5,164.85,165.5,8863,2015-09-01,,,,,,1,,,
2015-09-01 11:00:00+05:30,165.5,165.8,165.2,165.6,5929,2015-09-01,,,,,,1,,,
2015-09-01 11:15:00+05:30,165.6,165.65,165.05,165.05,3744,2015-09-01,,,,,,1,,,
2015-09-01 11:30:00+05:30,165.1,165.1,164.0,164.3,10613,2015-09-01,,,,,,1,,,
2015-09-01 11:45:00+05:30,164.25,164.8,164.0,164.75,6636,2015-09-01,,,,,,1,,,
2015-09-01 12:00:00+05:30,164.75,165.0,163.65,163.8,13057,2015-09-01,,,,,,1,,,
2015-09-01 12:15:00+05:30,163.8,163.85,163.1,163.4,15072,2015-09-01,,,,,,1,,,
2015-09-01 12:30:00+05:30,163.45,163.5,162.8,163.0,16119,2015-09-01,,,,,,1,,,
2015-09-01 12:45:00+05:30,163.0,163.0,162.55,162.95,10145,2015-09-01,,,,,,1,,,
2015-09-01 13:00:00+05:30,162.95,163.0,162.5,162.5,7911,2015-09-01,,,,,,1,,,
2015-09-01 13:15:00+05:30,162.5,162.65,160.15,161.35,31507,2015-09-01,,,,,,1,,,
2015-09-01 13:30:00+05:30,161.35,161.35,159.85,160.3,55358,2015-09-01,,,,,,1,,,
2015-09-01 13:45:00+05:30,160.1,160.2,159.5,159.6,31631,2015-09-01,,,,,,1,,,
2015-09-01 14:00:00+05:30,159.8,160.3,158.55,158.55,27095,2015-09-01,,,,,,1,,,
2015-09-01 14:15:00+05:30,159.0,159.0,155.2,157.25,93845,2015-09-01,,,,,,1,,,
2015-09-01 14:30:00+05:30,157.25,158.0,156.9,157.5,33335,2015-09-01,,,,,,1,,,
2015-09-01 14:45:00+05:30,157.5,158.0,156.6,157.45,25476,2015-09-01,,,,,,1,,,
2015-09-01 15:00:00+05:30,157.5,159.8,157.0,159.45,86264,2015-09-01,,,,,,1,,,
2015-09-01 15:15:00+05:30,159.5,159.6,158.5,158.85,86308,2015-09-01,,,,,,1,162.602,168.63354905476197,156.57045094523804
2015-09-02 09:15:00+05:30,161.3,164.1,159.25,159.75,70531,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,162.386,168.42384862347507,156.34815137652492
2015-09-02 09:30:00+05:30,159.75,161.9,159.2,161.45,18657,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,162.216,168.10862046970615,156.32337953029386
2015-09-02 09:45:00+05:30,161.3,161.5,160.0,160.7,24631,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,161.99,167.66027336201705,156.31972663798297
2015-09-02 10:00:00+05:30,160.7,161.0,160.1,160.3,14816,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,161.78,167.29405476940516,156.26594523059484
2015-09-02 10:15:00+05:30,160.3,161.85,160.25,161.7,17184,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,161.61599999999999,166.88027354912336,156.3517264508766
2015-09-02 10:30:00+05:30,161.7,161.8,161.0,161.1,14498,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,161.446,166.48670788679524,156.40529211320475
2015-09-02 10:45:00+05:30,161.1,161.4,160.5,160.8,12289,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,161.25799999999998,166.0229285409122,156.49307145908776
2015-09-02 11:00:00+05:30,160.55,160.55,159.4,159.4,13514,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,161.01,165.4815098121328,156.53849018786718
2015-09-02 11:15:00+05:30,159.4,159.6,158.1,158.25,12350,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,160.738,165.01653058888212,156.45946941111788
2015-09-02 11:30:00+05:30,158.45,159.2,158.2,158.7,15018,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,160.514,164.60540758174986,156.42259241825016
2015-09-02 11:45:00+05:30,158.7,159.6,158.7,159.4,9290,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,160.3,164.02612399149575,156.57387600850427
2015-09-02 12:00:00+05:30,159.4,160.3,159.4,160.0,13248,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,160.148,163.58979952931605,156.70620047068394
2015-09-02 12:15:00+05:30,160.0,160.15,159.25,159.8,7133,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,160.004,163.18052892321163,156.82747107678836
2015-09-02 12:30:00+05:30,159.8,160.85,159.6,160.3,18699,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,159.896,162.83224522136692,156.95975477863306
2015-09-02 12:45:00+05:30,160.3,160.4,159.6,160.05,5151,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,159.78,162.44067660567762,157.11932339432238
2015-09-02 13:00:00+05:30,160.05,160.15,159.75,160.05,2118,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,159.68200000000002,162.1045408149297,157.25945918507034
2015-09-02 13:15:00+05:30,160.05,160.2,159.05,159.65,8858,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,159.614,161.93891204134698,157.28908795865303
2015-09-02 13:30:00+05:30,159.65,159.65,159.0,159.35,5601,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,159.576,161.8858259674703,157.26617403252968
2015-09-02 13:45:00+05:30,159.35,160.0,159.2,159.25,7891,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,159.562,161.8753145052068,157.24868549479322
2015-09-02 14:00:00+05:30,159.25,159.7,158.7,159.15,11410,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,159.58599999999998,161.86907161517112,157.30292838482885
2015-09-02 14:15:00+05:30,159.15,159.8,159.15,159.8,17809,2015-09-02,160.4333333333333,161.225,159.64166666666662,0.009869104508622719,151.6706,1,159.688,161.76285517566893,157.61314482433104
