date,open,high,low,close,volume,day,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2015-09-07 09:15:00+05:30,132.9,132.9,131.0,131.45,10692,2015-09-07,,,,,,1,,,
2015-09-07 09:30:00+05:30,131.45,131.6,131.0,131.1,5088,2015-09-07,,,,,,1,,,
2015-09-07 09:45:00+05:30,131.1,131.3,130.75,130.8,39283,2015-09-07,,,,,,1,,,
2015-09-07 10:00:00+05:30,130.8,131.0,130.5,130.8,10588,2015-09-07,,,,,,1,,,
2015-09-07 10:15:00+05:30,130.8,131.5,130.5,130.9,19881,2015-09-07,,,,,,1,,,
2015-09-07 10:30:00+05:30,130.85,131.6,130.6,130.9,14938,2015-09-07,,,,,,1,,,
2015-09-07 10:45:00+05:30,130.9,131.6,130.7,131.5,13047,2015-09-07,,,,,,1,,,
2015-09-07 11:00:00+05:30,131.5,132.3,131.45,132.2,11410,2015-09-07,,,,,,1,,,
2015-09-07 11:15:00+05:30,132.2,132.5,131.75,132.25,13625,2015-09-07,,,,,,1,,,
2015-09-07 11:30:00+05:30,132.25,132.35,131.7,131.8,21755,2015-09-07,,,,,,1,,,
2015-09-07 11:45:00+05:30,131.8,132.45,131.75,132.45,15548,2015-09-07,,,,,,1,,,
2015-09-07 12:00:00+05:30,132.45,133.6,132.35,133.2,49123,2015-09-07,,,,,,1,,,
2015-09-07 12:15:00+05:30,133.2,133.5,133.05,133.35,9425,2015-09-07,,,,,,1,,,
2015-09-07 12:30:00+05:30,133.35,134.0,133.2,133.45,16198,2015-09-07,,,,,,1,,,
2015-09-07 12:45:00+05:30,133.35,133.65,133.35,133.5,8482,2015-09-07,,,,,,1,,,
2015-09-07 13:00:00+05:30,133.5,133.55,133.25,133.35,10808,2015-09-07,,,,,,1,,,
2015-09-07 13:15:00+05:30,133.35,133.8,133.25,133.35,8715,2015-09-07,,,,,,1,,,
2015-09-07 13:30:00+05:30,133.25,133.25,132.5,132.8,10383,2015-09-07,,,,,,1,,,
2015-09-07 13:45:00+05:30,132.8,132.95,132.55,132.85,7995,2015-09-07,,,,,,1,,,
2015-09-07 14:00:00+05:30,132.85,132.9,132.1,132.15,10545,2015-09-07,,,,,,1,,,
2015-09-07 14:15:00+05:30,132.15,132.25,130.8,131.1,34217,2015-09-07,,,,,,1,,,
2015-09-07 14:30:00+05:30,131.1,131.2,130.1,130.5,19852,2015-09-07,,,,,,1,,,
2015-09-07 14:45:00+05:30,130.45,131.4,130.45,131.2,12068,2015-09-07,,,,,,1,,,
2015-09-07 15:00:00+05:30,131.15,131.2,130.3,130.4,16257,2015-09-07,,,,,,1,,,
2015-09-07 15:15:00+05:30,130.35,130.55,130.0,130.05,21978,2015-09-07,,,,,,1,131.89600000000002,134.0665151462268,129.72548485377322
2015-09-08 09:15:00+05:30,130.15,130.35,129.9,130.05,39209,2015-09-08,131.35,132.0,130.7,0.009897221164826886,124.661,1,131.84,134.12298050802016,129.55701949197984
2015-09-08 09:30:00+05:30,130.05,130.5,129.9,130.3,32009,2015-09-08,131.35,132.0,130.7,0.009897221164826886,124.73717759999998,1,131.808,134.15315329989318,129.4628467001068
