date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,43.11,43.28,42.67,43.11,556233
2015-09-01 09:30:00+05:30,43.11,43.7,42.98,43.69,374712
2015-09-01 09:45:00+05:30,43.65,43.78,43.36,43.38,361584
2015-09-01 10:00:00+05:30,43.38,43.38,43.11,43.17,215157
2015-09-01 10:15:00+05:30,43.17,43.29,43.12,43.18,116517
2015-09-01 10:30:00+05:30,43.18,43.24,43.12,43.19,39882
2015-09-01 10:45:00+05:30,43.19,43.33,43.12,43.31,96468
2015-09-01 11:00:00+05:30,43.31,44,43.21,43.87,631023
2015-09-01 11:15:00+05:30,43.92,44.19,43.47,43.52,893085
2015-09-01 11:30:00+05:30,43.52,43.55,43.21,43.47,274056
2015-09-01 11:45:00+05:30,43.47,43.55,43.27,43.33,144954
2015-09-01 12:00:00+05:30,43.33,43.45,42.93,43.15,197922
2015-09-01 12:15:00+05:30,43.15,43.33,43.07,43.33,112509
2015-09-01 12:30:00+05:30,43.38,43.38,43.2,43.21,74442
2015-09-01 12:45:00+05:30,43.21,43.33,43.2,43.21,57447
2015-09-01 13:00:00+05:30,43.21,43.21,42.91,42.98,129027
2015-09-01 13:15:00+05:30,42.98,43.03,42.67,42.73,234597
2015-09-01 13:30:00+05:30,42.73,42.93,42.5,42.63,212976
2015-09-01 13:45:00+05:30,42.65,42.65,41.94,42.25,513663
2015-09-01 14:00:00+05:30,42.25,42.36,42.05,42.27,160866
2015-09-01 14:15:00+05:30,42.27,42.35,41.85,42.09,260271
2015-09-01 14:30:00+05:30,42.13,42.29,42.03,42.13,161358
2015-09-01 14:45:00+05:30,42.18,42.33,42.09,42.3,125718
2015-09-01 15:00:00+05:30,42.3,42.67,42.29,42.49,239799
2015-09-01 15:15:00+05:30,42.49,42.78,42.15,42.18,443757
2015-09-02 09:15:00+05:30,42.97,43.47,42.53,42.88,895689
2015-09-02 09:30:00+05:30,42.88,43.65,42.85,43.64,880995
2015-09-02 09:45:00+05:30,43.51,43.65,43.27,43.38,565416
2015-09-02 10:00:00+05:30,43.35,43.96,43.35,43.79,1178427
2015-09-02 10:15:00+05:30,43.79,43.87,43.58,43.81,216891
2015-09-02 10:30:00+05:30,43.79,43.94,43.69,43.74,498051
2015-09-02 10:45:00+05:30,43.74,43.82,43.56,43.58,176952
2015-09-02 11:00:00+05:30,43.58,43.63,42.98,43.19,704601
