date,open,high,low,close,volume
2015-09-07 09:15:00+05:30,14.7,14.7,13.75,13.8,13360
2015-09-07 09:30:00+05:30,13.8,13.85,13.8,13.8,5870
2015-09-07 09:45:00+05:30,13.8,13.95,13.5,13.55,6680
2015-09-07 10:00:00+05:30,13.55,13.85,13.55,13.85,6070
2015-09-07 10:15:00+05:30,13.85,13.85,13.85,13.85,610
2015-09-07 10:30:00+05:30,13.85,13.85,13.6,13.6,6370
2015-09-07 10:45:00+05:30,13.6,13.6,13.6,13.6,720
2015-09-07 11:00:00+05:30,13.6,13.8,13.6,13.7,1630
2015-09-07 11:15:00+05:30,13.7,13.7,13.65,13.65,270
2015-09-07 11:30:00+05:30,13.65,13.65,13.6,13.6,2790
2015-09-07 11:45:00+05:30,13.6,13.7,13.6,13.7,400
2015-09-07 12:00:00+05:30,13.7,13.7,13.6,13.6,40
2015-09-07 12:15:00+05:30,13.6,13.6,13.5,13.6,1120
2015-09-07 12:30:00+05:30,13.65,13.65,13.55,13.55,10370
2015-09-07 12:45:00+05:30,13.55,13.6,13.55,13.55,1130
2015-09-07 13:00:00+05:30,13.55,13.7,13.55,13.7,140
2015-09-07 13:15:00+05:30,13.7,13.7,13.7,13.7,0
2015-09-07 13:30:00+05:30,13.7,13.7,13.6,13.6,400000
2015-09-07 13:45:00+05:30,13.6,13.6,13.3,13.3,1710
2015-09-07 14:00:00+05:30,13.3,13.3,13.2,13.2,1580
2015-09-07 14:15:00+05:30,13.2,13.3,12.9,13,19230
2015-09-07 14:30:00+05:30,13,14.15,13,13.8,223840
2015-09-07 14:45:00+05:30,13.8,13.9,13.8,13.9,33500
2015-09-07 15:00:00+05:30,13.9,13.9,13.6,13.6,111360
2015-09-07 15:15:00+05:30,13.6,13.85,13.4,13.4,10450
2015-09-08 09:15:00+05:30,13.6,13.6,13.5,13.5,10
2015-09-08 09:30:00+05:30,13.5,13.5,13.5,13.5,0
2015-09-08 09:45:00+05:30,13.5,13.9,13.5,13.7,9760
2015-09-08 10:00:00+05:30,13.7,13.75,13.7,13.75,4510
2015-09-08 10:15:00+05:30,13.75,13.75,13.75,13.75,500
2015-09-08 10:30:00+05:30,13.75,13.9,13.75,13.75,8350
2015-09-08 10:45:00+05:30,13.75,13.75,13.75,13.75,0
2015-09-08 11:00:00+05:30,13.75,13.75,13.55,13.6,6640
2015-09-08 11:15:00+05:30,13.6,13.9,13.6,13.9,4960
2015-09-08 11:30:00+05:30,13.9,13.9,13.75,13.75,1250
2015-09-08 11:45:00+05:30,13.75,13.9,13.75,13.9,1000
2015-09-08 12:00:00+05:30,13.9,13.9,13.8,13.8,4890
2015-09-08 12:15:00+05:30,13.8,13.8,13.75,13.75,360
2015-09-08 12:30:00+05:30,13.75,13.8,13.75,13.75,1000
2015-09-08 12:45:00+05:30,13.75,13.8,13.6,13.7,2790
2015-09-08 13:00:00+05:30,13.7,13.8,13.6,13.6,360
2015-09-08 13:15:00+05:30,13.8,13.8,13.6,13.6,3600
2015-09-08 13:30:00+05:30,13.6,13.6,13.45,13.45,1340
2015-09-08 13:45:00+05:30,13.45,13.6,13.3,13.55,1770
2015-09-08 14:00:00+05:30,13.55,13.55,13.4,13.4,850
2015-09-08 14:15:00+05:30,13.4,13.55,13.4,13.55,54480
2015-09-08 14:30:00+05:30,13.55,13.6,13.55,13.6,950
2015-09-08 14:45:00+05:30,13.6,13.6,13.2,13.6,11530
2015-09-08 15:00:00+05:30,13.6,13.6,13.3,13.3,630
2015-09-08 15:15:00+05:30,13.3,13.6,13.2,13.2,8140
2015-09-09 09:15:00+05:30,14,15,14,14.5,27230
2015-09-09 09:30:00+05:30,14.5,14.65,14.35,14.4,12670
2015-09-09 09:45:00+05:30,14.4,14.4,14.25,14.25,12270
2015-09-09 10:00:00+05:30,14.25,14.25,14.25,14.25,4900
2015-09-09 10:15:00+05:30,14.25,14.4,14.25,14.25,4060
2015-09-09 10:30:00+05:30,14.25,14.4,14.25,14.25,730
2015-09-09 10:45:00+05:30,14.25,14.25,14.25,14.25,0
2015-09-09 11:00:00+05:30,14.25,14.4,14.25,14.4,520
2015-09-09 11:15:00+05:30,14.3,14.3,14.3,14.3,100
2015-09-09 11:30:00+05:30,14.3,14.4,14.3,14.4,2000
2015-09-09 11:45:00+05:30,14.4,14.4,14.3,14.3,990
2015-09-09 12:00:00+05:30,14.4,14.4,14.4,14.4,30
2015-09-09 12:15:00+05:30,14.3,14.4,14.3,14.4,355680
2015-09-09 12:30:00+05:30,14.4,14.5,14.4,14.5,6470
2015-09-09 12:45:00+05:30,14.4,14.5,14.4,14.4,339940
2015-09-09 13:00:00+05:30,14.4,14.4,14.3,14.3,50
2015-09-09 13:15:00+05:30,14.3,14.45,14.3,14.3,510
2015-09-09 13:30:00+05:30,14.3,14.5,14.3,14.5,760
2015-09-09 13:45:00+05:30,14.5,14.5,14.3,14.3,2180
2015-09-09 14:00:00+05:30,14.3,14.3,13.9,13.9,9380
2015-09-09 14:15:00+05:30,14.1,14.1,13.9,13.9,4190
2015-09-09 14:30:00+05:30,13.9,14,13.6,14,8800
2015-09-09 14:45:00+05:30,14,14.05,13.9,13.95,3110
2015-09-09 15:00:00+05:30,13.9,13.9,13.65,13.7,19140
2015-09-09 15:15:00+05:30,13.7,13.75,13.6,13.6,7950
2015-09-10 09:15:00+05:30,13.5,13.5,12.8,13.4,12340
2015-09-10 09:30:00+05:30,13.4,13.4,13.2,13.2,4160
2015-09-10 09:45:00+05:30,13.2,13.25,13.2,13.25,20
2015-09-10 10:00:00+05:30,13.25,13.3,13.2,13.3,10000
2015-09-10 10:15:00+05:30,13.3,13.3,13.3,13.3,0
2015-09-10 10:30:00+05:30,13.3,13.3,13.3,13.3,0
2015-09-10 10:45:00+05:30,13.3,13.3,13.3,13.3,0
2015-09-10 11:00:00+05:30,13.3,13.45,13.3,13.4,1250
2015-09-10 11:15:00+05:30,13.45,13.45,13.4,13.4,0
2015-09-10 11:30:00+05:30,13.4,13.4,13.4,13.4,130
2015-09-10 11:45:00+05:30,13.4,13.45,13.4,13.45,450
2015-09-10 12:00:00+05:30,13.45,13.7,13.45,13.7,2360
2015-09-10 12:15:00+05:30,13.7,13.7,13.7,13.7,510
2015-09-10 12:30:00+05:30,13.7,13.7,13.7,13.7,1130
2015-09-10 12:45:00+05:30,13.7,13.7,13.5,13.5,310
2015-09-10 13:00:00+05:30,13.5,13.65,13.5,13.65,740
2015-09-10 13:15:00+05:30,13.65,13.65,13.6,13.6,1400
2015-09-10 13:30:00+05:30,13.6,13.65,13.6,13.65,2840
2015-09-10 13:45:00+05:30,13.65,13.7,13.6,13.7,1370
2015-09-10 14:00:00+05:30,13.7,13.7,13.55,13.55,370
2015-09-10 14:15:00+05:30,13.55,13.6,13.45,13.55,520
2015-09-10 14:30:00+05:30,13.6,13.65,13.55,13.65,360
2015-09-10 14:45:00+05:30,13.65,13.65,13.45,13.6,920
2015-09-10 15:00:00+05:30,13.65,13.65,13.45,13.6,5510
2015-09-10 15:15:00+05:30,13.6,13.7,13.3,13.7,17170
