date,open,high,low,close,volume,day,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2015-09-01 09:15:00+05:30,710.55,714.75,707.5,708.3,5384,2015-09-01,,,,,,1,,,
2015-09-01 09:30:00+05:30,708.3,710.95,702.4,704.8,6003,2015-09-01,,,,,,1,,,
2015-09-01 09:45:00+05:30,704.8,714.7,704.8,705.3,5747,2015-09-01,,,,,,1,,,
2015-09-01 10:00:00+05:30,705.3,706.1,702.2,704.25,1697,2015-09-01,,,,,,1,,,
2015-09-01 10:15:00+05:30,704.25,707.5,703.25,707.5,1114,2015-09-01,,,,,,1,,,
2015-09-01 10:30:00+05:30,707.15,714.0,706.5,712.75,2178,2015-09-01,,,,,,1,,,
2015-09-01 10:45:00+05:30,711.25,713.5,706.5,711.6,6153,2015-09-01,,,,,,1,,,
2015-09-01 11:00:00+05:30,711.6,722.95,711.6,722.75,4340,2015-09-01,,,,,,1,,,
2015-09-01 11:15:00+05:30,722.75,724.05,716.15,719.6,5368,2015-09-01,,,,,,1,,,
2015-09-01 11:30:00+05:30,720.0,722.0,716.0,718.25,4055,2015-09-01,,,,,,1,,,
2015-09-01 11:45:00+05:30,718.25,719.0,716.2,718.75,2358,2015-09-01,,,,,,1,,,
2015-09-01 12:00:00+05:30,718.95,719.0,715.0,718.0,2864,2015-09-01,,,,,,1,,,
2015-09-01 12:15:00+05:30,718.7,718.9,715.0,717.95,5152,2015-09-01,,,,,,1,,,
2015-09-01 12:30:00+05:30,717.95,718.85,717.5,718.0,2120,2015-09-01,,,,,,1,,,
2015-09-01 12:45:00+05:30,718.0,719.0,715.1,717.95,3899,2015-09-01,,,,,,1,,,
2015-09-01 13:00:00+05:30,717.95,719.2,713.5,713.6,5708,2015-09-01,,,,,,1,,,
2015-09-01 13:15:00+05:30,713.6,713.7,705.5,708.65,7850,2015-09-01,,,,,,1,,,
2015-09-01 13:30:00+05:30,708.65,708.65,705.75,707.25,2478,2015-09-01,,,,,,1,,,
2015-09-01 13:45:00+05:30,707.25,707.6,700.0,701.6,6044,2015-09-01,,,,,,1,,,
2015-09-01 14:00:00+05:30,701.6,702.0,697.75,700.45,4340,2015-09-01,,,,,,1,,,
2015-09-01 14:15:00+05:30,700.45,700.75,699.05,699.2,2160,2015-09-01,,,,,,1,,,
2015-09-01 14:30:00+05:30,699.2,705.0,698.55,704.95,4891,2015-09-01,,,,,,1,,,
2015-09-01 14:45:00+05:30,704.95,708.0,704.0,706.45,3500,2015-09-01,,,,,,1,,,
2015-09-01 15:00:00+05:30,706.45,709.25,701.0,702.8,5196,2015-09-01,,,,,,1,,,
2015-09-01 15:15:00+05:30,702.8,720.0,702.8,713.5,11135,2015-09-01,,,,,,1,710.568,724.133157721162,697.002842278838
2015-09-02 09:15:00+05:30,713.0,716.6,703.65,710.0,5116,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,667.7759999999998,1,710.6360000000001,724.1720118203259,697.0999881796743
2015-09-02 09:30:00+05:30,710.0,710.5,706.4,707.75,1248,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,667.7759999999998,1,710.7540000000001,724.1349990658398,697.3730009341605
2015-09-02 09:45:00+05:30,707.75,709.3,707.0,709.25,2724,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,667.7759999999998,1,710.9119999999999,724.1238819249946,697.7001180750052
2015-09-02 10:00:00+05:30,709.25,709.3,708.95,709.0,817,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,667.7759999999998,1,711.102,724.0593602249842,698.1446397750158
2015-09-02 10:15:00+05:30,709.0,709.95,705.75,709.95,1162,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,667.7759999999998,1,711.2,724.0837572159678,698.3162427840323
2015-09-02 10:30:00+05:30,709.9,715.0,709.9,715.0,3568,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,671.154336145924,1,711.29,724.2470366982578,698.3329633017421
2015-09-02 10:45:00+05:30,715.0,717.0,711.75,713.05,3042,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,673.2611627000871,1,711.3480000000001,724.3230369556316,698.3729630443686
2015-09-02 11:00:00+05:30,713.05,715.55,707.7,715.55,3477,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,673.2611627000871,1,711.06,723.3092448746851,698.8107551253148
2015-09-02 11:15:00+05:30,715.55,715.9,708.0,711.35,2222,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,673.2611627000871,1,710.73,722.4753309872477,698.9846690127523
2015-09-02 11:30:00+05:30,711.35,715.0,711.35,715.0,703,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,673.2611627000871,1,710.6,722.0784319486593,699.1215680513408
2015-09-02 11:45:00+05:30,715.0,715.0,714.0,715.0,2411,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,674.3357547929193,1,710.45,721.5915618294745,699.3084381705256
2015-09-02 12:00:00+05:30,715.0,720.0,714.35,719.2,4639,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,677.0353246012025,1,710.498,721.7787262177575,699.2172737822426
2015-09-02 12:15:00+05:30,719.2,720.0,718.0,719.2,416,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,679.9059116171544,1,710.548,721.9705909495176,699.1254090504824
2015-09-02 12:30:00+05:30,719.2,719.9,716.4,718.0,480,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,679.9059116171544,1,710.548,721.9705909495176,699.1254090504824
2015-09-02 12:45:00+05:30,718.0,719.0,716.9,718.9,752,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,680.3920881463696,1,710.586,722.1126827838716,699.0593172161284
2015-09-02 13:00:00+05:30,718.85,718.9,718.0,718.9,863,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,710.798,722.7265700735671,698.8694299264329
2015-09-02 13:15:00+05:30,718.9,719.0,709.1,710.0,4573,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,710.852,722.7533773992761,698.9506226007238
2015-09-02 13:30:00+05:30,710.0,710.95,709.5,710.0,3928,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,710.962,722.7787095250751,699.1452904749249
2015-09-02 13:45:00+05:30,710.0,711.0,709.95,710.0,1807,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,711.298,722.4920870105606,700.1039129894394
2015-09-02 14:00:00+05:30,710.0,712.0,707.0,709.9,3383,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,711.676,721.9823134048991,701.369686595101
2015-09-02 14:15:00+05:30,709.9,719.0,709.9,717.05,2851,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,712.39,721.5495633083679,703.2304366916321
2015-09-02 14:30:00+05:30,717.05,718.6,711.75,712.45,4681,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,712.69,721.3318516534364,704.0481483465637
2015-09-02 14:45:00+05:30,712.5,718.0,712.35,717.0,8475,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,713.112,721.5210085027903,704.7029914972096
2015-09-02 15:00:00+05:30,717.0,717.0,711.0,712.0,6384,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,713.48,720.784354865421,706.175645134579
2015-09-02 15:15:00+05:30,712.0,715.0,709.2,715.0,8100,2015-09-02,711.7666666666668,710.9,712.6333333333336,0.002435254999297863,682.1424046205148,1,713.54,720.8686287939831,706.2113712060168
2015-09-03 09:15:00+05:30,711.6,718.75,709.95,713.55,3383,2015-09-03,712.8833333333333,711.825,713.9416666666666,0.0029691627896101195,682.1424046205148,1,713.682,720.8669219898339,706.4970780101661
2015-09-03 09:30:00+05:30,713.55,713.9,710.0,710.05,2055,2015-09-03,712.8833333333333,711.825,713.9416666666666,0.0029691627896101195,682.1424046205148,1,713.7739999999999,720.7072312813001,706.8407687186997
