date,open,high,low,close,volume,day,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2015-09-07 09:15:00+05:30,892.5,905.0,891.08,902.25,177612,2015-09-07,,,,,,1,,,
2015-09-07 09:30:00+05:30,901.9,901.93,886.5,888.05,119268,2015-09-07,,,,,,1,,,
2015-09-07 09:45:00+05:30,888.5,888.5,870.5,877.98,158684,2015-09-07,,,,,,1,,,
2015-09-07 10:00:00+05:30,877.98,879.35,871.0,879.35,59596,2015-09-07,,,,,,1,,,
2015-09-07 10:15:00+05:30,879.08,883.45,878.0,882.98,56990,2015-09-07,,,,,,1,,,
2015-09-07 10:30:00+05:30,882.98,884.48,877.5,881.13,49200,2015-09-07,,,,,,1,,,
2015-09-07 10:45:00+05:30,881.18,882.43,875.0,875.88,28726,2015-09-07,,,,,,1,,,
2015-09-07 11:00:00+05:30,875.88,878.0,874.0,877.0,25868,2015-09-07,,,,,,1,,,
2015-09-07 11:15:00+05:30,877.0,877.5,867.78,871.0,68242,2015-09-07,,,,,,1,,,
2015-09-07 11:30:00+05:30,870.0,875.0,867.48,873.0,37018,2015-09-07,,,,,,1,,,
2015-09-07 11:45:00+05:30,873.0,873.7,866.5,871.25,33242,2015-09-07,,,,,,1,,,
2015-09-07 12:00:00+05:30,871.75,879.0,870.6,874.55,40474,2015-09-07,,,,,,1,,,
2015-09-07 12:15:00+05:30,874.88,876.4,873.35,874.05,12416,2015-09-07,,,,,,1,,,
2015-09-07 12:30:00+05:30,874.08,878.0,874.08,876.23,19296,2015-09-07,,,,,,1,,,
2015-09-07 12:45:00+05:30,876.23,876.95,874.0,874.28,19200,2015-09-07,,,,,,1,,,
2015-09-07 13:00:00+05:30,874.28,875.5,870.0,870.98,29206,2015-09-07,,,,,,1,,,
2015-09-07 13:15:00+05:30,870.98,874.5,869.0,872.5,17500,2015-09-07,,,,,,1,,,
2015-09-07 13:30:00+05:30,873.1,873.98,872.23,873.0,15710,2015-09-07,,,,,,1,,,
2015-09-07 13:45:00+05:30,873.0,876.8,872.3,874.0,20548,2015-09-07,,,,,,1,,,
2015-09-07 14:00:00+05:30,874.0,877.75,873.3,874.38,45896,2015-09-07,,,,,,1,,,
2015-09-07 14:15:00+05:30,874.38,876.23,865.1,868.0,73996,2015-09-07,,,,,,1,,,
2015-09-07 14:30:00+05:30,868.0,868.0,861.73,864.3,84704,2015-09-07,,,,,,1,,,
2015-09-07 14:45:00+05:30,864.3,866.43,861.4,863.7,36536,2015-09-07,,,,,,1,,,
2015-09-07 15:00:00+05:30,863.7,864.9,856.55,861.08,88294,2015-09-07,,,,,,1,,,
2015-09-07 15:15:00+05:30,861.0,867.45,858.5,865.6,94872,2015-09-07,,,,,,1,874.6608,891.0662780314382,858.2553219685618
2015-09-08 09:15:00+05:30,875.38,879.4,862.58,867.48,160838,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,816.79432,1,873.27,885.4300328946924,861.1099671053075
2015-09-08 09:30:00+05:30,867.48,874.5,862.0,874.0,111418,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,816.79432,1,872.7080000000001,883.2785507898125,862.1374492101877
2015-09-08 09:45:00+05:30,874.15,876.5,868.35,870.0,68278,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,816.8362613119999,1,872.3888000000001,882.7837638883453,861.9938361116548
2015-09-08 10:00:00+05:30,870.0,874.0,865.93,874.0,66592,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,816.8362613119999,1,872.1748,882.2014702269498,862.1481297730502
2015-09-08 10:15:00+05:30,873.55,878.4,872.2,877.7,114478,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,820.1642024251391,1,871.9636,881.2673504351742,862.6598495648259
2015-09-08 10:30:00+05:30,878.4,881.28,876.05,877.0,83932,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,824.2702343281336,1,871.7984,880.5770899797182,863.0197100202819
2015-09-08 10:45:00+05:30,877.0,884.4,876.93,878.75,131072,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,826.3544249550082,1,871.9132000000001,880.9729531445402,862.85344685546
2015-09-08 11:00:00+05:30,878.75,882.25,875.18,881.85,49342,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,826.3544249550082,1,872.1072,881.7812320776811,862.433167922319
2015-09-08 11:15:00+05:30,881.8,885.0,879.28,880.55,89624,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,828.5853580385356,1,872.4892,882.6976277653321,862.2807722346679
2015-09-08 11:30:00+05:30,880.55,882.45,877.5,881.85,45316,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,828.5853580385356,1,872.8432,883.6916523799482,861.9947476200518
2015-09-08 11:45:00+05:30,881.85,884.2,880.28,883.43,33480,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,830.4558819683144,1,873.3304,884.9177289139475,861.7430710860526
2015-09-08 12:00:00+05:30,883.38,902.43,882.0,902.43,227128,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,836.7818466895817,1,874.4456000000001,890.7102670596113,858.180932940389
2015-09-08 12:15:00+05:30,902.43,908.4,893.58,895.38,217792,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,843.6245728219985,1,875.2987999999999,893.5120482067312,857.0855517932687
2015-09-08 12:30:00+05:30,895.38,904.28,895.1,903.0,72010,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,843.6245728219985,1,876.3695999999999,897.5774819159291,855.1617180840707
2015-09-08 12:45:00+05:30,903.0,923.6,900.55,917.83,327860,2015-09-08,875.7166666666667,880.775,870.6583333333334,0.011552442761166922,850.285438312754,1,878.1116000000001,904.7943984619305,851.4288015380696
