date,open,high,low,close,volume,day,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2015-09-01 09:15:00+05:30,153.1,153.1,151.5,152.75,9104,2015-09-01,,,,,,1,,,
2015-09-01 09:30:00+05:30,152.75,153.4,151.75,153.05,6095,2015-09-01,,,,,,1,,,
2015-09-01 09:45:00+05:30,153.05,154.0,151.0,152.5,12967,2015-09-01,,,,,,1,,,
2015-09-01 10:00:00+05:30,152.5,152.85,151.2,151.2,11035,2015-09-01,,,,,,1,,,
2015-09-01 10:15:00+05:30,151.2,152.0,151.2,151.6,9890,2015-09-01,,,,,,1,,,
2015-09-01 10:30:00+05:30,151.6,152.0,151.6,151.7,1045,2015-09-01,,,,,,1,,,
2015-09-01 10:45:00+05:30,151.75,152.0,151.6,151.7,3122,2015-09-01,,,,,,1,,,
2015-09-01 11:00:00+05:30,151.95,152.95,151.7,152.7,7701,2015-09-01,,,,,,1,,,
2015-09-01 11:15:00+05:30,152.7,152.7,152.0,152.0,2588,2015-09-01,,,,,,1,,,
2015-09-01 11:30:00+05:30,152.0,152.65,152.0,152.15,2590,2015-09-01,,,,,,1,,,
2015-09-01 11:45:00+05:30,152.0,152.7,151.2,151.85,7415,2015-09-01,,,,,,1,,,
2015-09-01 12:00:00+05:30,151.85,152.0,150.1,150.5,11444,2015-09-01,,,,,,1,,,
2015-09-01 12:15:00+05:30,150.5,151.0,150.3,151.0,5304,2015-09-01,,,,,,1,,,
2015-09-01 12:30:00+05:30,151.0,151.0,149.05,150.7,19476,2015-09-01,,,,,,1,,,
2015-09-01 12:45:00+05:30,150.95,151.0,150.3,150.85,5320,2015-09-01,,,,,,1,,,
2015-09-01 13:00:00+05:30,150.85,151.05,150.0,151.05,5575,2015-09-01,,,,,,1,,,
2015-09-01 13:15:00+05:30,151.05,151.05,149.9,151.05,17323,2015-09-01,,,,,,1,,,
2015-09-01 13:30:00+05:30,151.05,152.4,150.8,152.4,10241,2015-09-01,,,,,,1,,,
2015-09-01 13:45:00+05:30,152.4,152.5,151.45,151.8,11855,2015-09-01,,,,,,1,,,
2015-09-01 14:00:00+05:30,151.8,152.15,150.5,151.0,8686,2015-09-01,,,,,,1,,,
2015-09-01 14:15:00+05:30,151.0,151.7,150.0,151.5,9792,2015-09-01,,,,,,1,,,
2015-09-01 14:30:00+05:30,151.5,152.6,151.45,152.5,14508,2015-09-01,,,,,,1,,,
2015-09-01 14:45:00+05:30,152.5,153.45,152.5,152.8,20499,2015-09-01,,,,,,1,,,
2015-09-01 15:00:00+05:30,152.8,153.6,152.5,153.6,10268,2015-09-01,,,,,,1,,,
2015-09-01 15:15:00+05:30,153.6,153.6,152.5,152.9,15456,2015-09-01,,,,,,1,151.874,153.51402926803152,150.23397073196847
2015-09-02 09:15:00+05:30,153.5,156.7,152.65,152.95,14404,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,145.11412,1,151.882,153.54088637344455,150.22311362655546
2015-09-02 09:30:00+05:30,152.95,154.05,152.75,153.95,3604,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,145.11412,1,151.918,153.71040174068204,150.12559825931797
2015-09-02 09:45:00+05:30,153.95,154.85,153.35,153.35,7150,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,145.11412,1,151.952,153.81800750266444,150.08599249733555
2015-09-02 10:00:00+05:30,153.35,154.45,153.1,153.8,14949,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,145.11412,1,152.056,154.02948828220488,150.08251171779514
2015-09-02 10:15:00+05:30,153.8,155.55,153.4,155.55,12153,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,145.11412,1,152.214,154.60456813331055,149.82343186668945
2015-09-02 10:30:00+05:30,155.55,156.0,154.95,155.4,6621,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,145.7782834151301,1,152.362,155.04696256957146,149.67703743042853
2015-09-02 10:45:00+05:30,155.4,157.0,155.4,155.45,13232,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,146.4431520785249,1,152.512,155.44024589131442,149.58375410868558
2015-09-02 11:00:00+05:30,155.45,155.45,154.6,154.9,3700,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,146.4431520785249,1,152.6,155.67415028910426,149.52584971089573
2015-09-02 11:15:00+05:30,154.9,156.7,153.8,154.85,17102,2015-09-02,151.98333333333335,151.525,152.4416666666667,0.006031363088058025,146.4431520785249,1,152.71400000000003,155.90003452586438,149.52796547413567
