date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,149.0,149.67,148.57,149.5,120857
2015-09-01 09:20:00+05:30,149.53,149.77,148.93,149.07,82305
2015-09-01 09:25:00+05:30,149.2,149.67,148.73,149.63,90567
2015-09-01 09:30:00+05:30,149.67,149.87,149.03,149.1,57860
2015-09-01 09:35:00+05:30,149.1,149.33,149.0,149.07,40272
2015-09-01 09:40:00+05:30,149.0,149.9,149.0,149.67,60921
2015-09-01 09:45:00+05:30,149.53,150.6,149.53,150.0,86981
2015-09-01 09:50:00+05:30,150.0,150.53,149.73,149.8,37749
2015-09-01 09:55:00+05:30,149.8,150.3,149.8,150.23,27819
2015-09-01 10:00:00+05:30,150.23,150.27,149.73,150.0,24356
2015-09-01 10:05:00+05:30,149.93,150.13,149.67,149.8,26316
2015-09-01 10:10:00+05:30,149.93,150.0,149.33,149.7,34808
2015-09-01 10:15:00+05:30,149.63,149.67,149.27,149.6,40320
2015-09-01 10:20:00+05:30,149.6,150.13,149.53,149.77,26460
2015-09-01 10:25:00+05:30,149.77,150.17,149.77,149.93,20535
2015-09-01 10:30:00+05:30,149.93,150.0,149.63,149.73,9006
2015-09-01 10:35:00+05:30,149.73,150.0,149.7,149.93,16582
2015-09-01 10:40:00+05:30,149.9,150.0,149.7,149.93,15557
2015-09-01 10:45:00+05:30,149.93,150.33,149.83,150.17,20697
2015-09-01 10:50:00+05:30,150.17,150.27,149.77,150.13,17825
2015-09-01 10:55:00+05:30,150.13,150.5,150.13,150.2,30272
2015-09-01 11:00:00+05:30,150.2,151.2,150.2,150.93,110308
2015-09-01 11:05:00+05:30,150.9,151.93,150.9,151.5,119571
2015-09-01 11:10:00+05:30,151.5,151.57,151.2,151.53,32290
2015-09-01 11:15:00+05:30,151.63,151.67,151.4,151.5,22302
2015-09-01 11:20:00+05:30,151.57,151.6,150.33,151.1,57512
2015-09-01 11:25:00+05:30,151.2,151.33,150.77,150.77,23451
2015-09-01 11:30:00+05:30,150.73,151.6,150.73,151.4,35437
2015-09-01 11:35:00+05:30,151.4,151.4,150.27,150.4,50295
2015-09-01 11:40:00+05:30,150.4,150.8,150.1,150.53,39298
2015-09-01 11:45:00+05:30,150.53,150.77,150.2,150.7,20426
2015-09-01 11:50:00+05:30,150.7,150.93,150.67,150.73,11917
2015-09-01 11:55:00+05:30,150.73,151.43,150.73,151.33,19044
2015-09-01 12:00:00+05:30,151.33,151.33,150.77,151.03,26614
2015-09-01 12:05:00+05:30,151.03,151.2,150.5,150.5,34554
2015-09-01 12:10:00+05:30,150.63,151.13,150.43,151.1,38627
2015-09-01 12:15:00+05:30,151.2,151.2,150.33,150.5,36572
2015-09-01 12:20:00+05:30,150.47,150.67,150.03,150.6,25143
2015-09-01 12:25:00+05:30,150.63,151.23,150.4,150.8,29878
2015-09-01 12:30:00+05:30,150.8,150.97,150.3,150.43,25796
2015-09-01 12:35:00+05:30,150.4,150.8,150.3,150.47,17739
2015-09-01 12:40:00+05:30,150.47,150.73,150.13,150.67,25886
2015-09-01 12:45:00+05:30,150.67,150.8,150.47,150.73,16240
2015-09-01 12:50:00+05:30,150.63,150.7,150.3,150.47,22517
2015-09-01 12:55:00+05:30,150.47,150.87,150.47,150.57,19244
2015-09-01 13:00:00+05:30,150.53,150.97,150.53,150.67,25806
2015-09-01 13:05:00+05:30,150.67,150.97,150.57,150.8,25856
2015-09-01 13:10:00+05:30,150.8,150.97,150.53,150.6,16609
2015-09-01 13:15:00+05:30,150.57,150.67,149.47,149.6,74752
2015-09-01 13:20:00+05:30,149.7,150.07,149.53,149.97,53190
2015-09-01 13:25:00+05:30,149.93,150.23,149.47,149.63,42549
2015-09-01 13:30:00+05:30,149.67,149.93,149.5,149.67,27582
2015-09-01 13:35:00+05:30,149.73,149.73,147.47,147.47,295608
2015-09-01 13:40:00+05:30,147.47,147.83,147.4,147.53,81155
2015-09-01 13:45:00+05:30,147.53,147.73,147.17,147.27,105498
2015-09-01 13:50:00+05:30,147.37,147.43,146.87,147.1,85527
2015-09-01 13:55:00+05:30,147.1,147.27,147.0,147.17,59871
2015-09-01 14:00:00+05:30,147.1,147.17,146.5,146.67,120003
2015-09-01 14:05:00+05:30,146.67,147.17,146.63,146.8,70387
2015-09-01 14:10:00+05:30,146.9,147.23,146.8,147.1,75321
2015-09-01 14:15:00+05:30,147.03,147.13,146.6,146.67,61367
2015-09-01 14:20:00+05:30,146.6,146.63,145.33,145.47,138768
2015-09-01 14:25:00+05:30,145.47,145.53,143.4,144.27,168612
2015-09-01 14:30:00+05:30,144.27,144.4,143.77,144.23,102092
2015-09-01 14:35:00+05:30,144.1,144.6,144.1,144.6,70320
2015-09-01 14:40:00+05:30,144.53,144.93,144.37,144.73,117675
2015-09-01 14:45:00+05:30,144.83,144.87,143.87,144.2,82255
2015-09-01 14:50:00+05:30,144.1,144.3,143.9,144.17,62131
2015-09-01 14:55:00+05:30,144.1,144.6,144.0,144.2,52392
2015-09-01 15:00:00+05:30,144.2,144.3,144.0,144.23,101028
2015-09-01 15:05:00+05:30,144.23,144.83,144.2,144.63,109479
2015-09-01 15:10:00+05:30,144.7,145.47,144.6,145.47,229192
2015-09-01 15:15:00+05:30,145.37,145.83,145.33,145.67,176929
