date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,73.65,73.9,73.25,73.6,39513
2015-09-01 09:20:00+05:30,73.65,73.85,73.6,73.65,15405
2015-09-01 09:25:00+05:30,73.65,73.95,73.6,73.95,9768
2015-09-01 09:30:00+05:30,73.95,74.0,73.7,73.7,11973
2015-09-01 09:35:00+05:30,73.7,73.9,73.7,73.9,7443
2015-09-01 09:40:00+05:30,73.9,73.9,73.7,73.8,4734
2015-09-01 09:45:00+05:30,73.8,73.9,73.65,73.65,3816
2015-09-01 09:50:00+05:30,73.65,73.85,73.5,73.5,6888
2015-09-01 09:55:00+05:30,73.5,73.55,73.35,73.55,27003
2015-09-01 10:00:00+05:30,73.55,73.55,73.35,73.4,5661
2015-09-01 10:05:00+05:30,73.4,73.45,73.35,73.35,4401
2015-09-01 10:10:00+05:30,73.35,73.35,72.85,72.9,51051
2015-09-01 10:15:00+05:30,72.9,73.35,72.9,73.3,39504
2015-09-01 10:20:00+05:30,73.3,73.6,73.3,73.55,7287
2015-09-01 10:25:00+05:30,73.6,73.7,73.55,73.6,3015
2015-09-01 10:30:00+05:30,73.6,73.7,73.5,73.5,3813
2015-09-01 10:35:00+05:30,73.5,73.85,73.45,73.85,10698
2015-09-01 10:40:00+05:30,73.85,74.1,73.7,73.8,23829
2015-09-01 10:45:00+05:30,73.8,74.35,73.8,74.2,23244
2015-09-01 10:50:00+05:30,74.2,74.2,73.95,74.0,8301
2015-09-01 10:55:00+05:30,74.0,74.25,74.0,74.15,9471
2015-09-01 11:00:00+05:30,74.15,74.45,74.15,74.35,21615
2015-09-01 11:05:00+05:30,74.35,74.55,74.35,74.5,19854
2015-09-01 11:10:00+05:30,74.5,74.5,74.3,74.4,18189
2015-09-01 11:15:00+05:30,74.4,74.4,74.3,74.3,3216
2015-09-01 11:20:00+05:30,74.3,74.3,73.9,73.95,15087
2015-09-01 11:25:00+05:30,73.95,74.0,73.9,73.9,9150
2015-09-01 11:30:00+05:30,73.9,74.1,73.85,74.05,12339
2015-09-01 11:35:00+05:30,74.05,74.05,73.85,73.9,8853
2015-09-01 11:40:00+05:30,73.9,73.9,73.6,73.75,15330
2015-09-01 11:45:00+05:30,73.75,73.8,73.5,73.55,10251
2015-09-01 11:50:00+05:30,73.55,73.7,73.5,73.5,8757
2015-09-01 11:55:00+05:30,73.5,73.7,73.45,73.7,10173
2015-09-01 12:00:00+05:30,73.7,73.7,73.5,73.7,14934
2015-09-01 12:05:00+05:30,73.7,73.7,73.55,73.55,10311
2015-09-01 12:10:00+05:30,73.55,73.7,73.45,73.6,7149
2015-09-01 12:15:00+05:30,73.65,73.65,73.4,73.55,22584
2015-09-01 12:20:00+05:30,73.55,73.7,73.55,73.65,3426
2015-09-01 12:25:00+05:30,73.65,73.8,73.65,73.7,19413
2015-09-01 12:30:00+05:30,73.7,73.8,73.65,73.65,1350
2015-09-01 12:35:00+05:30,73.65,73.7,73.55,73.7,14883
2015-09-01 12:40:00+05:30,73.7,73.75,73.55,73.7,9855
2015-09-01 12:45:00+05:30,73.7,73.75,73.55,73.7,21921
2015-09-01 12:50:00+05:30,73.7,73.7,73.55,73.65,38364
2015-09-01 12:55:00+05:30,73.65,73.65,73.3,73.35,56481
2015-09-01 13:00:00+05:30,73.35,73.7,73.35,73.5,28149
2015-09-01 13:05:00+05:30,73.5,73.65,73.45,73.6,23838
2015-09-01 13:10:00+05:30,73.6,73.65,73.4,73.55,52458
2015-09-01 13:15:00+05:30,73.55,73.55,73.0,73.35,39522
2015-09-01 13:20:00+05:30,73.35,73.35,73.15,73.25,15948
2015-09-01 13:25:00+05:30,73.25,73.35,73.1,73.2,43038
2015-09-01 13:30:00+05:30,73.2,73.35,73.15,73.3,17310
2015-09-01 13:35:00+05:30,73.3,73.3,73.15,73.15,4257
2015-09-01 13:40:00+05:30,73.1,73.15,73.0,73.0,6012
2015-09-01 13:45:00+05:30,73.0,73.0,72.55,72.6,31551
2015-09-01 13:50:00+05:30,72.6,72.65,72.35,72.45,25791
2015-09-01 13:55:00+05:30,72.45,72.85,72.4,72.8,13173
2015-09-01 14:00:00+05:30,72.8,72.8,72.35,72.35,24591
2015-09-01 14:05:00+05:30,72.35,72.5,72.2,72.25,8019
2015-09-01 14:10:00+05:30,72.25,72.55,72.25,72.3,12525
2015-09-01 14:15:00+05:30,72.3,72.45,72.05,72.1,9720
2015-09-01 14:20:00+05:30,72.1,72.3,71.95,72.3,12654
2015-09-01 14:25:00+05:30,72.3,72.55,72.05,72.2,7218
2015-09-01 14:30:00+05:30,72.2,72.5,72.05,72.3,6573
2015-09-01 14:35:00+05:30,72.15,72.45,72.15,72.4,3813
2015-09-01 14:40:00+05:30,72.45,72.6,72.25,72.25,8085
2015-09-01 14:45:00+05:30,72.25,72.35,72.1,72.15,20904
2015-09-01 14:50:00+05:30,72.15,72.4,72.15,72.35,6858
2015-09-01 14:55:00+05:30,72.35,72.5,72.25,72.5,7989
2015-09-01 15:00:00+05:30,72.5,72.6,72.35,72.6,12264
2015-09-01 15:05:00+05:30,72.65,72.85,72.5,72.8,20709
2015-09-01 15:10:00+05:30,72.8,72.9,72.7,72.85,50154
2015-09-01 15:15:00+05:30,72.85,72.9,72.8,72.9,11511
2015-09-01 15:20:00+05:30,72.9,73.15,72.8,72.85,47649
2015-09-01 15:25:00+05:30,72.85,72.85,72.5,72.55,51867
2015-09-02 09:15:00+05:30,73.35,73.6,73.3,73.4,26049
2015-09-02 09:20:00+05:30,73.4,73.4,72.4,72.4,66084
2015-09-02 09:25:00+05:30,72.4,72.55,72.25,72.45,25887
2015-09-02 09:30:00+05:30,72.45,72.5,72.1,72.3,32565
2015-09-02 09:35:00+05:30,72.3,72.35,72.3,72.35,348
2015-09-02 09:40:00+05:30,72.5,72.5,72.3,72.5,4995
2015-09-02 09:45:00+05:30,72.1,72.35,72.1,72.35,20553
2015-09-02 09:50:00+05:30,72.4,72.4,72.0,72.15,36069
2015-09-02 09:55:00+05:30,72.2,72.5,72.2,72.5,17601
2015-09-02 10:00:00+05:30,72.5,72.6,72.5,72.6,11937
2015-09-02 10:05:00+05:30,72.6,72.6,72.4,72.55,13599
2015-09-02 10:10:00+05:30,72.55,72.6,72.45,72.55,14082
2015-09-02 10:15:00+05:30,72.55,72.65,72.4,72.45,29016
2015-09-02 10:20:00+05:30,72.5,72.75,72.45,72.65,16548
2015-09-02 10:25:00+05:30,72.65,72.8,72.6,72.7,19143
2015-09-02 10:30:00+05:30,72.7,72.75,72.4,72.45,28695
2015-09-02 10:35:00+05:30,72.45,72.55,72.35,72.35,40950
2015-09-02 10:40:00+05:30,72.4,72.4,72.1,72.2,31062
2015-09-02 10:45:00+05:30,72.2,72.35,72.15,72.35,10386
2015-09-02 10:50:00+05:30,72.35,72.35,72.15,72.2,15255
2015-09-02 10:55:00+05:30,72.15,72.2,72.1,72.1,16341
2015-09-02 11:00:00+05:30,72.1,72.1,71.95,71.95,18903
2015-09-02 11:05:00+05:30,71.95,71.95,71.65,71.7,24705
2015-09-02 11:10:00+05:30,71.65,71.75,71.45,71.55,24693
2015-09-02 11:15:00+05:30,71.55,71.7,71.45,71.65,35166
2015-09-02 11:20:00+05:30,71.65,71.95,71.65,71.85,39087
2015-09-02 11:25:00+05:30,71.85,71.9,71.85,71.85,5073
2015-09-02 11:30:00+05:30,71.85,72.05,71.85,71.9,19527
2015-09-02 11:35:00+05:30,71.9,72.1,71.9,72.05,6519
2015-09-02 11:40:00+05:30,72.05,72.05,71.85,71.85,11280
2015-09-02 11:45:00+05:30,71.85,72.1,71.85,72.0,11784
2015-09-02 11:50:00+05:30,72.05,72.3,72.05,72.25,6771
2015-09-02 11:55:00+05:30,72.25,72.4,72.2,72.3,10548
2015-09-02 12:00:00+05:30,72.3,72.6,72.3,72.55,12408
2015-09-02 12:05:00+05:30,72.55,72.55,72.35,72.4,5748
2015-09-02 12:10:00+05:30,72.4,72.9,72.4,72.75,18060
2015-09-02 12:15:00+05:30,72.75,72.8,72.65,72.7,27144
2015-09-02 12:20:00+05:30,72.7,72.8,72.65,72.7,7500
2015-09-02 12:25:00+05:30,72.7,72.85,72.4,72.4,26370
2015-09-02 12:30:00+05:30,72.4,72.75,72.4,72.7,4644
2015-09-02 12:35:00+05:30,72.7,72.75,72.55,72.7,7419
2015-09-02 12:40:00+05:30,72.7,72.7,72.5,72.55,4011
