date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,88.72,90.19,88.72,89.95,6006
2015-09-01 09:20:00+05:30,89.95,90.93,89.95,90.88,7693
2015-09-01 09:25:00+05:30,90.88,90.88,90.59,90.64,8834
2015-09-01 09:30:00+05:30,90.64,90.93,90.64,90.83,4323
2015-09-01 09:35:00+05:30,90.83,92.12,90.49,92.07,32248
2015-09-01 09:40:00+05:30,92.07,92.66,91.92,92.26,30665
2015-09-01 09:45:00+05:30,92.26,93.4,92.22,93.4,20091
2015-09-01 09:50:00+05:30,93.45,93.69,92.66,92.95,55254
2015-09-01 09:55:00+05:30,92.95,93.1,92.91,93.05,6919
2015-09-01 10:00:00+05:30,93.05,93.4,93.05,93.15,4879
2015-09-01 10:05:00+05:30,93.15,93.25,92.95,93.05,2403
2015-09-01 10:10:00+05:30,93.05,93.15,92.66,92.66,7434
2015-09-01 10:15:00+05:30,92.66,93.05,92.56,92.76,6399
2015-09-01 10:20:00+05:30,92.76,93.64,92.61,93.55,19969
2015-09-01 10:25:00+05:30,93.55,94.14,93.4,94.04,28588
2015-09-01 10:30:00+05:30,94.14,94.24,93.64,93.64,21560
2015-09-01 10:35:00+05:30,93.64,94.14,93.4,93.99,14985
2015-09-01 10:40:00+05:30,93.99,94.09,93.45,93.45,12363
2015-09-01 10:45:00+05:30,93.45,93.84,93.45,93.6,24749
2015-09-01 10:50:00+05:30,93.6,93.64,93.45,93.6,5978
2015-09-01 10:55:00+05:30,93.6,93.64,93.25,93.64,15250
2015-09-01 11:00:00+05:30,93.64,93.64,93.1,93.35,16565
2015-09-01 11:05:00+05:30,93.35,93.84,93.35,93.79,3206
2015-09-01 11:10:00+05:30,93.79,93.79,93.69,93.74,3145
2015-09-01 11:15:00+05:30,93.74,95.37,93.55,95.37,53174
2015-09-01 11:20:00+05:30,95.42,95.62,94.14,94.48,92967
2015-09-01 11:25:00+05:30,94.38,95.12,93.6,94.88,189971
2015-09-01 11:30:00+05:30,94.88,94.88,94.43,94.53,17153
2015-09-01 11:35:00+05:30,94.53,94.68,94.38,94.48,15132
2015-09-01 11:40:00+05:30,94.48,94.48,93.94,94.04,11881
2015-09-01 11:45:00+05:30,94.04,94.14,93.94,94.04,5446
2015-09-01 11:50:00+05:30,94.04,94.04,93.79,93.94,3863
2015-09-01 11:55:00+05:30,93.94,94.38,93.89,94.38,8659
2015-09-01 12:00:00+05:30,94.38,94.38,93.64,94.14,10060
2015-09-01 12:05:00+05:30,94.14,94.14,93.64,93.69,7260
2015-09-01 12:10:00+05:30,93.69,93.74,92.66,93.4,45315
2015-09-01 12:15:00+05:30,93.35,93.45,92.91,93.0,21118
2015-09-01 12:20:00+05:30,93.05,93.15,92.66,93.15,13753
2015-09-01 12:25:00+05:30,93.15,93.35,92.95,93.15,5531
2015-09-01 12:30:00+05:30,93.15,93.35,93.15,93.35,2881
2015-09-01 12:35:00+05:30,93.35,93.45,93.2,93.4,9667
2015-09-01 12:40:00+05:30,93.4,93.6,93.2,93.35,15208
2015-09-01 12:45:00+05:30,93.35,93.69,92.95,93.35,23057
2015-09-01 12:50:00+05:30,93.35,93.4,93.05,93.25,6432
2015-09-01 12:55:00+05:30,93.25,93.4,93.05,93.15,6529
2015-09-01 13:00:00+05:30,93.15,93.35,93.15,93.35,2122
2015-09-01 13:05:00+05:30,93.35,93.4,93.15,93.15,5088
2015-09-01 13:10:00+05:30,93.15,93.35,93.15,93.2,1741
2015-09-01 13:15:00+05:30,93.2,93.4,92.95,93.05,12978
2015-09-01 13:20:00+05:30,93.05,93.15,92.71,92.91,14213
2015-09-01 13:25:00+05:30,92.91,92.91,92.22,92.56,21185
2015-09-01 13:30:00+05:30,92.56,92.76,92.46,92.56,4298
2015-09-01 13:35:00+05:30,92.56,92.66,92.51,92.51,1899
2015-09-01 13:40:00+05:30,92.51,92.66,92.51,92.61,6277
2015-09-01 13:45:00+05:30,92.61,92.66,92.36,92.46,9938
2015-09-01 13:50:00+05:30,92.46,92.46,91.92,91.97,12738
2015-09-01 13:55:00+05:30,91.97,92.56,91.92,92.56,12157
2015-09-01 14:00:00+05:30,92.56,92.56,91.92,92.07,22865
2015-09-01 14:05:00+05:30,92.07,92.36,92.07,92.07,3729
2015-09-01 14:10:00+05:30,92.07,92.36,92.07,92.17,2523
2015-09-01 14:15:00+05:30,92.17,92.17,91.92,91.92,8874
2015-09-01 14:20:00+05:30,91.92,92.02,91.67,92.02,10867
2015-09-01 14:25:00+05:30,92.02,92.17,91.67,92.07,7759
2015-09-01 14:30:00+05:30,92.07,92.17,91.82,92.12,6018
2015-09-01 14:35:00+05:30,92.12,92.12,91.97,92.12,3685
2015-09-01 14:40:00+05:30,92.12,92.12,91.82,92.02,5511
2015-09-01 14:45:00+05:30,92.07,92.12,91.18,91.23,18378
2015-09-01 14:50:00+05:30,91.18,91.52,91.18,91.52,6229
2015-09-01 14:55:00+05:30,91.52,91.87,91.38,91.67,2853
2015-09-01 15:00:00+05:30,91.67,91.87,91.48,91.67,5312
2015-09-01 15:05:00+05:30,91.82,92.12,91.77,92.12,5767
2015-09-01 15:10:00+05:30,92.12,92.76,92.07,92.51,22514
2015-09-01 15:15:00+05:30,92.46,92.56,92.02,92.36,8010
2015-09-01 15:20:00+05:30,92.36,92.41,92.12,92.17,17145
2015-09-01 15:25:00+05:30,92.17,92.41,92.07,92.41,20935
2015-09-02 09:15:00+05:30,94.53,94.88,93.6,93.64,19198
2015-09-02 09:20:00+05:30,93.84,93.84,93.05,93.25,9560
2015-09-02 09:25:00+05:30,93.25,94.04,93.05,93.45,18122
2015-09-02 09:30:00+05:30,93.45,93.64,93.05,93.6,12348
2015-09-02 09:35:00+05:30,93.6,93.6,93.4,93.45,519
2015-09-02 09:40:00+05:30,93.64,93.64,93.5,93.55,2151
2015-09-02 09:45:00+05:30,93.4,93.55,93.4,93.55,1935
2015-09-02 09:50:00+05:30,93.55,93.55,93.4,93.4,1614
2015-09-02 09:55:00+05:30,93.55,93.55,93.4,93.55,2139
2015-09-02 10:00:00+05:30,93.55,93.6,93.4,93.4,1725
2015-09-02 10:05:00+05:30,93.4,93.6,93.4,93.6,812
2015-09-02 10:10:00+05:30,93.45,93.6,93.4,93.6,1104
2015-09-02 10:15:00+05:30,93.6,93.6,93.5,93.6,2594
2015-09-02 10:20:00+05:30,93.6,93.64,93.55,93.64,1688
2015-09-02 10:25:00+05:30,93.64,93.64,93.5,93.64,1080
2015-09-02 10:30:00+05:30,93.64,93.64,93.55,93.64,3705
2015-09-02 10:35:00+05:30,93.64,93.64,93.45,93.45,690
2015-09-02 10:40:00+05:30,93.45,93.64,93.45,93.55,3002
2015-09-02 10:45:00+05:30,93.55,93.6,93.4,93.45,3916
2015-09-02 10:50:00+05:30,93.45,93.55,93.45,93.55,913
2015-09-02 10:55:00+05:30,93.55,93.6,93.4,93.5,4038
2015-09-02 11:00:00+05:30,93.4,93.5,93.4,93.5,9382
2015-09-02 11:05:00+05:30,93.5,93.5,93.3,93.3,1624
2015-09-02 11:10:00+05:30,93.3,93.4,93.25,93.25,6014
2015-09-02 11:15:00+05:30,93.15,93.4,93.05,93.05,50356
2015-09-02 11:20:00+05:30,93.05,93.25,92.66,92.81,12214
2015-09-02 11:25:00+05:30,92.81,93.0,92.76,93.0,4897
2015-09-02 11:30:00+05:30,93.0,93.05,92.81,93.0,520
2015-09-02 11:35:00+05:30,93.0,93.4,92.86,93.4,3546
2015-09-02 11:40:00+05:30,93.4,94.38,93.4,93.69,21642
2015-09-02 11:45:00+05:30,93.69,94.14,93.69,93.94,3157
2015-09-02 11:50:00+05:30,93.94,94.09,93.94,94.04,1124
2015-09-02 11:55:00+05:30,94.04,94.09,93.94,94.09,3018
2015-09-02 12:00:00+05:30,94.09,94.33,93.94,93.94,8180
