date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,425.5,426.75,421.5,426.35,62541
2015-09-01 09:20:00+05:30,426.2,429.0,425.6,425.6,54846
2015-09-01 09:25:00+05:30,425.6,426.75,425.2,426.05,34064
2015-09-01 09:30:00+05:30,426.15,426.4,422.1,422.1,160375
2015-09-01 09:35:00+05:30,422.0,423.8,421.8,422.5,75869
2015-09-01 09:40:00+05:30,422.4,424.45,422.0,423.95,49247
2015-09-01 09:45:00+05:30,423.95,424.95,423.65,424.0,25738
2015-09-01 09:50:00+05:30,424.0,424.5,419.45,419.85,108300
2015-09-01 09:55:00+05:30,420.0,422.45,420.0,422.3,34996
2015-09-01 10:00:00+05:30,422.3,422.35,420.7,421.2,24070
2015-09-01 10:05:00+05:30,421.2,421.95,421.2,421.3,21230
2015-09-01 10:10:00+05:30,421.5,421.5,419.5,420.55,31324
2015-09-01 10:15:00+05:30,420.55,421.25,419.6,421.25,22217
2015-09-01 10:20:00+05:30,421.35,422.2,420.95,421.75,21762
2015-09-01 10:25:00+05:30,422.0,422.2,421.2,421.2,18090
2015-09-01 10:30:00+05:30,421.2,422.0,420.5,421.9,39675
2015-09-01 10:35:00+05:30,421.9,422.85,421.75,422.3,18789
2015-09-01 10:40:00+05:30,422.05,422.25,421.5,422.1,21853
2015-09-01 10:45:00+05:30,422.1,422.2,420.0,420.3,31292
2015-09-01 10:50:00+05:30,420.3,420.3,417.5,419.5,68343
2015-09-01 10:55:00+05:30,419.5,419.5,418.0,418.2,43194
2015-09-01 11:00:00+05:30,418.05,418.25,417.2,418.1,63423
2015-09-01 11:05:00+05:30,418.5,418.6,416.75,416.85,60502
2015-09-01 11:10:00+05:30,417.2,418.0,416.6,418.0,55963
2015-09-01 11:15:00+05:30,417.95,418.85,417.6,418.0,32741
2015-09-01 11:20:00+05:30,418.0,418.05,415.85,416.75,72291
2015-09-01 11:25:00+05:30,416.75,416.75,414.05,415.2,98898
2015-09-01 11:30:00+05:30,415.15,416.15,415.0,415.3,49223
2015-09-01 11:35:00+05:30,415.3,416.25,414.6,415.0,30250
2015-09-01 11:40:00+05:30,414.8,415.9,414.5,415.35,30059
2015-09-01 11:45:00+05:30,415.35,415.7,414.75,415.45,24609
2015-09-01 11:50:00+05:30,415.45,416.0,415.0,415.25,18459
2015-09-01 11:55:00+05:30,415.25,416.25,415.25,416.15,19694
2015-09-01 12:00:00+05:30,416.1,416.2,413.6,414.65,43107
2015-09-01 12:05:00+05:30,414.75,415.05,414.4,414.45,26436
2015-09-01 12:10:00+05:30,414.4,415.3,414.4,415.25,17923
2015-09-01 12:15:00+05:30,415.25,415.25,414.4,414.65,20480
2015-09-01 12:20:00+05:30,414.85,415.45,414.5,415.35,14626
2015-09-01 12:25:00+05:30,415.35,417.15,415.2,416.5,33736
2015-09-01 12:30:00+05:30,416.45,416.85,416.0,416.75,39756
2015-09-01 12:35:00+05:30,416.85,417.6,416.85,417.5,40443
2015-09-01 12:40:00+05:30,417.5,417.8,416.8,417.25,31362
2015-09-01 12:45:00+05:30,417.25,417.45,416.05,416.25,25162
2015-09-01 12:50:00+05:30,416.25,416.45,415.15,415.85,18274
2015-09-01 12:55:00+05:30,416.2,416.4,413.6,413.7,39602
2015-09-01 13:00:00+05:30,413.8,415.3,413.75,414.15,21258
2015-09-01 13:05:00+05:30,414.15,415.25,413.6,414.15,20892
2015-09-01 13:10:00+05:30,413.75,414.85,413.05,413.75,34124
2015-09-01 13:15:00+05:30,413.8,413.8,411.5,412.8,84951
2015-09-01 13:20:00+05:30,412.6,412.9,409.0,410.85,262959
2015-09-01 13:25:00+05:30,410.65,411.5,408.05,409.3,72301
2015-09-01 13:30:00+05:30,409.4,410.8,408.5,410.1,57615
2015-09-01 13:35:00+05:30,410.1,411.5,409.8,410.5,78716
