date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,201.3,201.88,200.25,201.55,10060
2015-09-01 09:20:00+05:30,201.55,201.88,201.03,201.43,8284
2015-09-01 09:25:00+05:30,201.43,203.33,201.15,202.75,16094
2015-09-01 09:30:00+05:30,202.75,202.98,202.5,202.5,7438
2015-09-01 09:35:00+05:30,202.68,202.7,202.03,202.68,13526
2015-09-01 09:40:00+05:30,202.68,203.0,202.48,202.53,7916
2015-09-01 09:45:00+05:30,202.53,202.68,202.48,202.55,11460
2015-09-01 09:50:00+05:30,202.55,203.7,202.55,202.88,9762
2015-09-01 09:55:00+05:30,202.88,203.98,202.85,203.98,9682
2015-09-01 10:00:00+05:30,204.0,204.5,202.58,202.58,13412
2015-09-01 10:05:00+05:30,202.53,203.5,202.5,202.9,7200
2015-09-01 10:10:00+05:30,202.9,203.93,202.8,202.8,9418
2015-09-01 10:15:00+05:30,203.1,203.4,202.68,202.95,5774
2015-09-01 10:20:00+05:30,202.95,203.5,202.85,203.5,7874
2015-09-01 10:25:00+05:30,203.5,204.18,203.25,204.08,7152
2015-09-01 10:30:00+05:30,204.08,204.13,203.5,204.0,3092
2015-09-01 10:35:00+05:30,204.23,204.45,203.75,203.93,4288
2015-09-01 10:40:00+05:30,203.93,204.08,203.7,203.7,2526
2015-09-01 10:45:00+05:30,203.7,203.93,203.63,203.93,2216
2015-09-01 10:50:00+05:30,203.85,204.33,203.85,204.33,4068
2015-09-01 10:55:00+05:30,204.4,204.9,204.1,204.4,6088
2015-09-01 11:00:00+05:30,204.55,204.88,204.4,204.7,4130
2015-09-01 11:05:00+05:30,204.7,204.9,204.7,204.75,2506
2015-09-01 11:10:00+05:30,204.75,204.85,204.5,204.78,3296
2015-09-01 11:15:00+05:30,204.78,204.8,204.65,204.78,5588
2015-09-01 11:20:00+05:30,204.78,204.85,204.55,204.55,4228
2015-09-01 11:25:00+05:30,204.58,204.63,204.2,204.45,4288
2015-09-01 11:30:00+05:30,204.43,204.43,202.88,204.0,15266
2015-09-01 11:35:00+05:30,203.95,204.5,203.5,203.53,212938
2015-09-01 11:40:00+05:30,203.53,204.0,203.03,203.95,4674
2015-09-01 11:45:00+05:30,203.95,204.35,203.55,204.0,4384
2015-09-01 11:50:00+05:30,203.98,204.33,203.78,204.25,5280
2015-09-01 11:55:00+05:30,204.25,204.3,204.08,204.2,3982
2015-09-01 12:00:00+05:30,204.2,204.23,203.5,203.5,4926
2015-09-01 12:05:00+05:30,203.5,203.95,203.38,203.88,2686
2015-09-01 12:10:00+05:30,203.88,204.03,203.48,203.73,20968
2015-09-01 12:15:00+05:30,203.73,204.0,203.6,203.93,3434
2015-09-01 12:20:00+05:30,203.93,204.35,203.25,203.6,5456
2015-09-01 12:25:00+05:30,203.68,204.75,203.55,204.75,3498
2015-09-01 12:30:00+05:30,204.75,204.75,204.55,204.55,5006
2015-09-01 12:35:00+05:30,204.68,205.25,204.55,204.65,14334
2015-09-01 12:40:00+05:30,204.65,204.93,204.53,204.75,7954
2015-09-01 12:45:00+05:30,204.75,204.95,204.55,204.55,3962
2015-09-01 12:50:00+05:30,204.6,204.85,204.55,204.55,3792
2015-09-01 12:55:00+05:30,204.55,204.83,204.55,204.55,8900
2015-09-01 13:00:00+05:30,204.55,204.75,204.53,204.58,6106
2015-09-01 13:05:00+05:30,204.58,204.73,204.55,204.58,2002
2015-09-01 13:10:00+05:30,204.58,204.75,204.55,204.55,6274
2015-09-01 13:15:00+05:30,204.55,204.68,204.53,204.58,8876
2015-09-01 13:20:00+05:30,204.58,204.95,204.58,204.88,7336
2015-09-01 13:25:00+05:30,204.88,205.0,204.53,204.58,18258
2015-09-01 13:30:00+05:30,204.58,204.75,203.9,204.1,9382
2015-09-01 13:35:00+05:30,204.1,204.73,204.1,204.63,4674
2015-09-01 13:40:00+05:30,204.73,204.73,204.2,204.4,5990
2015-09-01 13:45:00+05:30,204.4,204.4,203.65,203.85,13196
2015-09-01 13:50:00+05:30,203.78,204.18,203.5,204.08,8122
2015-09-01 13:55:00+05:30,204.08,204.53,204.0,204.45,6892
2015-09-01 14:00:00+05:30,204.45,204.5,204.08,204.45,6844
2015-09-01 14:05:00+05:30,204.45,204.48,203.5,203.53,16194
2015-09-01 14:10:00+05:30,203.5,203.73,203.2,203.4,10526
2015-09-01 14:15:00+05:30,203.4,203.73,203.05,203.3,6872
2015-09-01 14:20:00+05:30,203.3,203.38,201.5,202.78,21348
2015-09-01 14:25:00+05:30,202.78,202.88,202.5,202.53,7184
2015-09-01 14:30:00+05:30,202.53,203.8,202.53,203.73,10616
2015-09-01 14:35:00+05:30,203.7,203.75,202.8,203.0,15540
2015-09-01 14:40:00+05:30,202.88,203.0,202.5,202.65,10146
2015-09-01 14:45:00+05:30,202.65,203.63,202.65,202.65,9834
2015-09-01 14:50:00+05:30,202.63,203.75,202.63,203.0,11208
2015-09-01 14:55:00+05:30,203.0,203.75,203.0,203.43,7870
2015-09-01 15:00:00+05:30,203.43,203.45,202.55,202.63,21292
2015-09-01 15:05:00+05:30,202.63,202.75,200.43,201.75,64798
2015-09-01 15:10:00+05:30,201.75,203.45,201.75,203.28,32614
2015-09-01 15:15:00+05:30,203.28,203.65,202.53,202.8,17130
2015-09-01 15:20:00+05:30,202.8,203.5,202.8,203.4,13986
