date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,79.5,79.75,79.5,79.75,444
2015-09-01 09:20:00+05:30,79.75,80.0,79.5,79.5,1552
2015-09-01 09:25:00+05:30,79.5,79.9,79.5,79.9,908
2015-09-01 09:30:00+05:30,79.9,79.95,79.25,79.5,560
2015-09-01 09:35:00+05:30,79.5,79.5,79.5,79.5,0
2015-09-01 09:40:00+05:30,79.5,79.5,79.5,79.5,0
2015-09-01 09:45:00+05:30,79.5,80.25,79.3,79.4,748
2015-09-01 09:50:00+05:30,79.4,80.25,79.4,80.25,12
2015-09-01 09:55:00+05:30,80.25,80.25,79.4,79.5,492
2015-09-01 10:00:00+05:30,79.5,79.75,79.5,79.75,224
2015-09-01 10:05:00+05:30,79.75,79.75,79.75,79.75,0
2015-09-01 10:10:00+05:30,79.55,79.55,79.25,79.45,1232
2015-09-01 10:15:00+05:30,79.45,79.75,79.0,79.75,64
2015-09-01 10:20:00+05:30,79.75,79.75,79.75,79.75,0
2015-09-01 10:25:00+05:30,79.75,79.75,79.75,79.75,0
2015-09-01 10:30:00+05:30,79.75,79.75,78.75,78.75,5848
2015-09-01 10:35:00+05:30,78.75,79.0,78.15,78.75,2508
2015-09-01 10:40:00+05:30,78.75,78.75,78.25,78.25,80
2015-09-01 10:45:00+05:30,78.25,78.4,78.25,78.4,20
2015-09-01 10:50:00+05:30,78.4,78.5,78.4,78.5,20
2015-09-01 10:55:00+05:30,78.6,78.6,78.2,78.2,932
2015-09-01 11:00:00+05:30,78.2,78.2,78.2,78.2,0
2015-09-01 11:05:00+05:30,78.2,78.5,78.2,78.4,108
2015-09-01 11:10:00+05:30,78.5,78.5,78.5,78.5,0
2015-09-01 11:15:00+05:30,78.5,78.5,78.5,78.5,0
2015-09-01 11:20:00+05:30,78.5,78.75,78.5,78.75,524
2015-09-01 11:25:00+05:30,78.75,79.0,78.4,79.0,384
2015-09-01 11:30:00+05:30,79.0,79.0,78.75,78.75,4
2015-09-01 11:35:00+05:30,78.75,78.75,77.9,78.1,1572
2015-09-01 11:40:00+05:30,78.1,78.2,77.3,78.2,3568
2015-09-01 11:45:00+05:30,78.2,78.25,77.75,78.25,64
2015-09-01 11:50:00+05:30,78.25,78.25,78.1,78.1,16
2015-09-01 11:55:00+05:30,78.1,78.25,77.75,77.75,4
2015-09-01 12:00:00+05:30,77.75,77.75,77.25,77.25,2544
2015-09-01 12:05:00+05:30,77.1,77.25,76.3,76.5,3952
2015-09-01 12:10:00+05:30,76.5,77.0,76.5,76.95,2128
2015-09-01 12:15:00+05:30,76.95,77.35,76.95,77.0,652
2015-09-01 12:20:00+05:30,77.0,77.25,76.8,77.2,924
2015-09-01 12:25:00+05:30,77.2,77.25,77.2,77.25,200
2015-09-01 12:30:00+05:30,77.25,77.25,77.2,77.2,100
2015-09-01 12:35:00+05:30,77.2,77.2,77.2,77.2,0
2015-09-01 12:40:00+05:30,77.2,77.25,76.55,77.2,12920
2015-09-01 12:45:00+05:30,77.2,77.25,77.0,77.2,404
2015-09-01 12:50:00+05:30,77.2,77.2,76.9,77.2,104
2015-09-01 12:55:00+05:30,77.2,77.2,77.0,77.0,160
2015-09-01 13:00:00+05:30,77.0,77.0,77.0,77.0,0
2015-09-01 13:05:00+05:30,77.0,77.0,77.0,77.0,0
2015-09-01 13:10:00+05:30,77.0,77.0,76.7,76.7,16
2015-09-01 13:15:00+05:30,76.7,76.75,76.65,76.65,620
2015-09-01 13:20:00+05:30,76.65,77.0,76.65,77.0,424
2015-09-01 13:25:00+05:30,77.0,77.0,76.7,76.7,800
2015-09-01 13:30:00+05:30,76.7,76.7,76.55,76.55,100
2015-09-01 13:35:00+05:30,76.55,76.6,75.3,75.75,15888
2015-09-01 13:40:00+05:30,75.75,76.15,75.5,76.15,288
2015-09-01 13:45:00+05:30,76.15,76.15,76.15,76.15,4
2015-09-01 13:50:00+05:30,76.15,76.15,76.15,76.15,0
2015-09-01 13:55:00+05:30,76.15,76.15,73.25,74.9,9336
2015-09-01 14:00:00+05:30,74.9,74.9,74.25,74.25,1120
2015-09-01 14:05:00+05:30,74.25,74.75,74.25,74.75,860
2015-09-01 14:10:00+05:30,74.75,74.75,73.1,74.0,4964
2015-09-01 14:15:00+05:30,74.0,74.4,73.0,74.4,1892
2015-09-01 14:20:00+05:30,74.4,74.95,74.1,74.95,612
2015-09-01 14:25:00+05:30,74.95,75.0,74.25,74.25,5216
2015-09-01 14:30:00+05:30,74.25,77.2,74.25,77.0,7696
2015-09-01 14:35:00+05:30,77.0,77.25,76.5,76.5,1536
2015-09-01 14:40:00+05:30,76.25,76.75,76.25,76.5,992
2015-09-01 14:45:00+05:30,76.5,77.0,76.5,76.75,288
2015-09-01 14:50:00+05:30,76.75,77.0,76.75,77.0,120
2015-09-01 14:55:00+05:30,77.0,77.0,76.25,76.5,9656
2015-09-01 15:00:00+05:30,76.5,76.5,76.3,76.5,176
2015-09-01 15:05:00+05:30,76.5,76.5,76.5,76.5,80
2015-09-01 15:10:00+05:30,76.5,77.0,76.45,77.0,2724
2015-09-01 15:15:00+05:30,77.0,77.0,75.75,75.75,15268
2015-09-01 15:20:00+05:30,75.75,75.75,74.75,75.5,3416
2015-09-01 15:25:00+05:30,75.5,75.9,75.1,75.5,1792
2015-09-02 09:15:00+05:30,77.0,77.0,77.0,77.0,0
2015-09-02 09:20:00+05:30,77.0,78.0,77.0,77.25,64
2015-09-02 09:25:00+05:30,77.25,77.25,75.5,75.5,596
2015-09-02 09:30:00+05:30,75.5,75.5,75.5,75.5,0
