date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,81.6,82.05,81.45,81.9,10646
2015-09-01 09:20:00+05:30,81.9,82.55,81.9,82.15,21898
2015-09-01 09:25:00+05:30,82.15,82.5,82.15,82.15,8578
2015-09-01 09:30:00+05:30,82.15,82.25,81.95,82.05,3212
2015-09-01 09:35:00+05:30,82.05,82.4,81.9,82.25,12432
2015-09-01 09:40:00+05:30,82.25,82.35,82.25,82.35,9834
2015-09-01 09:45:00+05:30,82.35,82.6,82.3,82.5,15256
2015-09-01 09:50:00+05:30,82.5,82.65,82.45,82.5,3288
2015-09-01 09:55:00+05:30,82.5,82.5,82.35,82.4,2580
2015-09-01 10:00:00+05:30,82.4,82.5,82.3,82.4,1910
2015-09-01 10:05:00+05:30,82.35,82.35,82.2,82.2,1404
2015-09-01 10:10:00+05:30,82.2,82.3,82.0,82.05,6716
2015-09-01 10:15:00+05:30,82.05,82.05,82.0,82.05,6294
2015-09-01 10:20:00+05:30,82.05,82.25,82.05,82.25,2008
2015-09-01 10:25:00+05:30,82.25,82.3,82.15,82.3,1098
2015-09-01 10:30:00+05:30,82.3,82.3,82.25,82.25,1986
2015-09-01 10:35:00+05:30,82.2,82.4,82.2,82.3,1638
2015-09-01 10:40:00+05:30,82.25,82.35,82.1,82.2,1506
2015-09-01 10:45:00+05:30,82.2,82.3,82.1,82.3,3342
2015-09-01 10:50:00+05:30,82.3,82.3,82.2,82.2,850
2015-09-01 10:55:00+05:30,82.2,82.35,82.2,82.35,914
2015-09-01 11:00:00+05:30,82.35,82.35,82.25,82.25,314
2015-09-01 11:05:00+05:30,82.25,82.45,82.25,82.4,688
2015-09-01 11:10:00+05:30,82.3,82.4,82.3,82.3,1250
2015-09-01 11:15:00+05:30,82.3,82.4,82.3,82.3,5408
2015-09-01 11:20:00+05:30,82.35,82.35,82.3,82.3,35964
2015-09-01 11:25:00+05:30,82.3,82.45,82.1,82.15,8566
2015-09-01 11:30:00+05:30,82.15,82.3,82.1,82.15,5338
2015-09-01 11:35:00+05:30,82.15,82.25,82.05,82.15,3302
2015-09-01 11:40:00+05:30,82.15,82.25,82.1,82.2,1114
2015-09-01 11:45:00+05:30,82.2,82.35,82.2,82.3,586
2015-09-01 11:50:00+05:30,82.3,82.3,82.3,82.3,2052
2015-09-01 11:55:00+05:30,82.3,82.3,82.2,82.2,2512
2015-09-01 12:00:00+05:30,82.2,82.35,82.2,82.3,3108
2015-09-01 12:05:00+05:30,82.3,82.3,82.05,82.05,16212
2015-09-01 12:10:00+05:30,82.05,82.2,82.0,82.05,8088
2015-09-01 12:15:00+05:30,82.05,82.2,82.05,82.05,302
2015-09-01 12:20:00+05:30,82.2,82.2,82.05,82.05,1986
2015-09-01 12:25:00+05:30,82.05,82.2,82.05,82.05,910
2015-09-01 12:30:00+05:30,82.05,82.25,82.05,82.25,706
2015-09-01 12:35:00+05:30,82.25,82.35,82.25,82.35,3102
2015-09-01 12:40:00+05:30,82.3,82.3,81.95,81.95,17700
2015-09-01 12:45:00+05:30,81.95,82.05,81.95,81.95,1312
2015-09-01 12:50:00+05:30,81.9,81.95,81.6,81.65,8172
2015-09-01 12:55:00+05:30,81.65,81.7,81.5,81.65,4510
2015-09-01 13:00:00+05:30,81.65,81.75,81.6,81.6,2150
2015-09-01 13:05:00+05:30,81.6,81.75,81.6,81.7,2322
2015-09-01 13:10:00+05:30,81.7,82.05,81.7,81.8,3642
2015-09-01 13:15:00+05:30,81.8,81.8,81.6,81.6,3616
2015-09-01 13:20:00+05:30,81.6,81.7,81.6,81.65,2036
2015-09-01 13:25:00+05:30,81.65,81.7,81.55,81.55,5152
2015-09-01 13:30:00+05:30,81.55,81.6,81.55,81.6,2
2015-09-01 13:35:00+05:30,81.6,81.7,81.5,81.5,4224
2015-09-01 13:40:00+05:30,81.5,81.55,80.65,80.75,11300
2015-09-01 13:45:00+05:30,80.75,80.9,80.45,80.75,5766
2015-09-01 13:50:00+05:30,80.75,80.75,80.5,80.65,7456
2015-09-01 13:55:00+05:30,80.65,80.8,80.55,80.7,2628
2015-09-01 14:00:00+05:30,80.7,81.25,80.65,80.75,8294
2015-09-01 14:05:00+05:30,80.75,80.85,80.6,80.65,6440
2015-09-01 14:10:00+05:30,80.65,80.65,80.4,80.45,6378
2015-09-01 14:15:00+05:30,80.45,80.5,80.1,80.1,3928
2015-09-01 14:20:00+05:30,80.1,80.1,78.9,79.4,26332
2015-09-01 14:25:00+05:30,79.3,80.1,79.25,79.8,14146
2015-09-01 14:30:00+05:30,79.8,80.1,79.8,80.1,5132
2015-09-01 14:35:00+05:30,80.05,80.6,80.05,80.6,11380
2015-09-01 14:40:00+05:30,80.6,80.65,80.45,80.5,1176
2015-09-01 14:45:00+05:30,80.5,80.5,80.25,80.35,2690
2015-09-01 14:50:00+05:30,80.35,80.5,80.1,80.45,8998
2015-09-01 14:55:00+05:30,80.45,80.6,80.05,80.45,14920
2015-09-01 15:00:00+05:30,80.55,80.65,80.35,80.55,22876
2015-09-01 15:05:00+05:30,80.55,81.05,80.45,80.9,31576
2015-09-01 15:10:00+05:30,80.9,81.25,80.6,81.15,30244
2015-09-01 15:15:00+05:30,81.15,81.9,81.1,81.6,13940
2015-09-01 15:20:00+05:30,81.6,81.75,81.0,81.0,11518
2015-09-01 15:25:00+05:30,81.0,81.35,81.0,81.35,17898
2015-09-02 09:15:00+05:30,82.25,82.25,81.15,81.3,16292
2015-09-02 09:20:00+05:30,81.3,81.35,80.55,80.9,22178
2015-09-02 09:25:00+05:30,80.9,81.0,80.6,80.65,14720
2015-09-02 09:30:00+05:30,80.6,81.0,80.6,80.7,9810
2015-09-02 09:40:00+05:30,81.0,81.05,80.95,81.05,1492
2015-09-02 09:45:00+05:30,81.05,81.4,81.05,81.3,13376
2015-09-02 09:50:00+05:30,81.3,81.3,80.95,81.1,4754
2015-09-02 09:55:00+05:30,81.1,81.2,81.1,81.2,990
2015-09-02 10:00:00+05:30,81.2,81.4,81.05,81.4,2252
2015-09-02 10:05:00+05:30,81.4,81.5,81.3,81.4,4876
2015-09-02 10:10:00+05:30,81.4,81.55,81.35,81.35,5366
2015-09-02 10:15:00+05:30,81.35,81.45,81.25,81.35,3114
2015-09-02 10:20:00+05:30,81.35,81.45,81.15,81.45,5458
2015-09-02 10:25:00+05:30,81.45,81.45,81.3,81.3,1464
2015-09-02 10:30:00+05:30,81.25,81.25,80.9,80.9,5862
2015-09-02 10:35:00+05:30,80.9,81.15,80.65,81.0,10310
2015-09-02 10:40:00+05:30,80.9,80.95,80.65,80.65,9170
2015-09-02 10:45:00+05:30,80.65,80.9,80.55,80.75,16328
2015-09-02 10:50:00+05:30,80.75,80.75,80.65,80.65,4322
2015-09-02 10:55:00+05:30,80.65,80.65,80.3,80.45,16740
2015-09-02 11:00:00+05:30,80.45,80.6,80.4,80.45,10956
2015-09-02 11:05:00+05:30,80.45,80.65,80.4,80.4,6192
2015-09-02 11:10:00+05:30,80.4,80.5,80.25,80.35,2646
2015-09-02 11:15:00+05:30,80.35,80.35,80.2,80.2,5426
2015-09-02 11:20:00+05:30,80.2,80.45,80.2,80.35,3406
2015-09-02 11:25:00+05:30,80.35,80.35,80.25,80.25,528
2015-09-02 11:30:00+05:30,80.25,80.45,80.25,80.3,3246
2015-09-02 11:35:00+05:30,80.3,80.5,80.3,80.5,1266
2015-09-02 11:40:00+05:30,80.5,80.5,80.35,80.35,496
2015-09-02 11:45:00+05:30,80.35,80.55,80.3,80.5,3012
2015-09-02 11:50:00+05:30,80.4,80.5,80.4,80.5,5952
2015-09-02 11:55:00+05:30,80.5,80.7,80.45,80.65,16322
2015-09-02 12:00:00+05:30,80.65,80.9,80.65,80.7,5390
2015-09-02 12:05:00+05:30,80.7,80.9,80.65,80.9,4872
2015-09-02 12:10:00+05:30,80.9,81.2,80.85,81.15,7354
2015-09-02 12:15:00+05:30,81.15,81.15,81.05,81.1,1962
2015-09-02 12:20:00+05:30,81.1,81.1,80.7,80.75,2792
2015-09-02 12:25:00+05:30,80.65,80.75,80.65,80.65,4772
2015-09-02 12:30:00+05:30,80.65,80.75,80.65,80.65,380
2015-09-02 12:35:00+05:30,80.65,80.7,80.65,80.65,5002
2015-09-02 12:40:00+05:30,80.65,80.9,80.65,80.8,11934
2015-09-02 12:45:00+05:30,80.8,80.9,80.75,80.8,568
2015-09-02 12:50:00+05:30,80.8,81.0,80.7,80.9,13048
2015-09-02 12:55:00+05:30,81.0,81.2,80.9,81.1,15740
2015-09-02 13:00:00+05:30,81.1,81.2,81.1,81.1,6644
2015-09-02 13:05:00+05:30,81.1,81.25,81.1,81.1,3822
2015-09-02 13:10:00+05:30,81.1,81.35,81.1,81.3,15884
2015-09-02 13:15:00+05:30,81.3,81.3,81.15,81.15,2024
2015-09-02 13:20:00+05:30,81.15,81.3,81.05,81.3,17026
2015-09-02 13:25:00+05:30,81.3,81.3,81.1,81.1,15614
2015-09-02 13:30:00+05:30,81.1,81.2,81.1,81.1,20496
2015-09-02 13:35:00+05:30,81.1,81.25,81.0,81.0,24122
2015-09-02 13:40:00+05:30,81.1,81.15,80.65,80.7,8332
2015-09-02 13:45:00+05:30,80.75,81.15,80.75,81.15,16280
2015-09-02 13:50:00+05:30,81.15,81.35,81.1,81.2,13624
2015-09-02 13:55:00+05:30,81.2,81.3,81.1,81.15,11586
2015-09-02 14:00:00+05:30,81.15,81.15,81.1,81.1,2134
2015-09-02 14:05:00+05:30,81.1,81.2,81.1,81.1,1734
2015-09-02 14:10:00+05:30,81.1,81.35,81.1,81.35,13690
2015-09-02 14:15:00+05:30,81.35,81.35,81.15,81.2,3226
2015-09-02 14:20:00+05:30,81.2,81.2,81.2,81.2,2002
2015-09-02 14:25:00+05:30,81.2,81.25,81.2,81.2,2632
2015-09-02 14:30:00+05:30,81.2,81.25,81.1,81.2,3884
2015-09-02 14:35:00+05:30,81.1,81.2,81.05,81.15,29174
2015-09-02 14:40:00+05:30,81.15,82.0,81.1,81.2,58320
2015-09-02 14:45:00+05:30,81.2,81.45,81.1,81.2,60136
