date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,590.05,604.7,590.05,594.0,85
2015-09-01 09:20:00+05:30,594.0,597.05,594.0,597.0,414
2015-09-01 09:25:00+05:30,597.0,597.0,595.0,595.05,91
2015-09-01 09:30:00+05:30,595.05,595.05,594.15,595.05,75
2015-09-01 09:35:00+05:30,595.05,595.65,594.0,594.95,64
2015-09-01 09:40:00+05:30,594.95,595.0,594.3,594.95,30
2015-09-01 09:45:00+05:30,594.95,598.95,594.95,598.8,159
2015-09-01 09:50:00+05:30,598.8,599.0,597.85,598.45,32
2015-09-01 09:55:00+05:30,598.45,598.9,598.45,598.9,30
2015-09-01 10:00:00+05:30,598.9,598.9,597.0,597.0,75
2015-09-01 10:05:00+05:30,597.0,597.05,594.0,597.05,110
2015-09-01 10:10:00+05:30,597.05,598.0,596.0,598.0,30
2015-09-01 10:15:00+05:30,598.0,598.15,597.5,597.5,19
2015-09-01 10:20:00+05:30,597.5,597.8,591.0,594.45,205
2015-09-01 10:25:00+05:30,594.45,598.0,592.05,593.35,265
2015-09-01 10:30:00+05:30,593.35,594.95,593.35,594.0,43
2015-09-01 10:35:00+05:30,594.0,595.0,594.0,595.0,20
2015-09-01 10:40:00+05:30,595.0,597.8,595.0,597.0,20
2015-09-01 10:45:00+05:30,597.0,599.9,596.95,598.1,799
2015-09-01 10:50:00+05:30,598.1,598.85,596.8,597.0,54
2015-09-01 10:55:00+05:30,597.0,598.85,596.05,597.0,46
2015-09-01 11:00:00+05:30,597.0,598.15,597.0,598.15,19
2015-09-01 11:05:00+05:30,598.15,598.7,598.05,598.7,25
2015-09-01 11:10:00+05:30,598.7,598.75,598.5,598.75,21
2015-09-01 11:15:00+05:30,598.75,598.8,597.55,598.5,22
2015-09-01 11:20:00+05:30,598.75,598.8,597.6,598.8,131
2015-09-01 11:25:00+05:30,598.8,598.8,598.8,598.8,69
2015-09-01 11:30:00+05:30,598.8,598.8,598.0,598.8,71
2015-09-01 11:35:00+05:30,598.8,598.8,598.75,598.8,21
2015-09-01 11:40:00+05:30,598.8,598.8,598.55,598.8,21
2015-09-01 11:45:00+05:30,598.8,599.8,597.45,598.45,160
2015-09-01 11:50:00+05:30,598.45,598.8,596.55,596.55,71
2015-09-01 11:55:00+05:30,596.55,597.95,596.0,597.95,131
2015-09-01 12:00:00+05:30,597.95,597.95,596.45,597.75,75
2015-09-01 12:05:00+05:30,597.75,598.7,596.4,598.1,64
2015-09-01 12:10:00+05:30,598.1,598.65,597.9,598.0,19
2015-09-01 12:15:00+05:30,598.0,598.0,597.9,598.0,20
2015-09-01 12:20:00+05:30,598.0,598.0,595.5,598.0,71
2015-09-01 12:25:00+05:30,598.0,598.0,596.1,596.45,31
2015-09-01 12:30:00+05:30,596.45,596.75,595.0,596.75,287
2015-09-01 12:35:00+05:30,596.75,597.95,596.1,597.95,20
2015-09-01 12:40:00+05:30,597.95,597.95,596.1,596.1,333
2015-09-01 12:45:00+05:30,596.1,597.95,596.1,597.5,20
2015-09-01 12:50:00+05:30,597.5,597.5,596.5,597.5,104
2015-09-01 12:55:00+05:30,597.5,597.5,597.35,597.35,28
2015-09-01 13:00:00+05:30,597.35,597.45,596.95,597.45,20
2015-09-01 13:05:00+05:30,597.0,597.0,596.15,597.0,153
2015-09-01 13:10:00+05:30,597.0,597.0,596.15,596.85,45
2015-09-01 13:15:00+05:30,596.85,596.85,596.15,596.15,43
2015-09-01 13:20:00+05:30,596.5,596.5,596.15,596.5,153
2015-09-01 13:25:00+05:30,596.5,597.45,596.15,597.25,215
2015-09-01 13:30:00+05:30,597.25,597.25,596.15,597.0,125
2015-09-01 13:35:00+05:30,597.0,597.0,596.15,596.85,119
2015-09-01 13:40:00+05:30,596.85,596.9,596.15,596.9,153
2015-09-01 13:45:00+05:30,596.9,596.9,596.15,596.8,82
2015-09-01 13:50:00+05:30,596.8,597.0,596.15,597.0,111
2015-09-01 13:55:00+05:30,597.0,597.0,596.15,596.95,70
2015-09-01 14:00:00+05:30,596.95,597.0,596.15,596.95,71
