date,open,high,low,close,volume
2015-09-01 09:15:00+05:30,902.5,914.5,901.0,914.0,50888
2015-09-01 09:20:00+05:30,914.08,917.35,912.5,914.9,31836
2015-09-01 09:25:00+05:30,914.5,923.4,913.25,922.0,63240
2015-09-01 09:30:00+05:30,922.0,923.63,917.5,920.5,36370
2015-09-01 09:35:00+05:30,919.05,921.93,917.5,920.0,16830
2015-09-01 09:40:00+05:30,920.5,921.4,918.3,921.4,10498
2015-09-01 09:45:00+05:30,921.0,923.55,918.5,920.05,24188
2015-09-01 09:50:00+05:30,920.05,929.5,919.5,926.0,78450
2015-09-01 09:55:00+05:30,926.05,929.0,925.6,927.63,39644
2015-09-01 10:00:00+05:30,927.6,932.25,927.5,929.88,63396
2015-09-01 10:05:00+05:30,929.88,947.4,929.88,943.48,228960
2015-09-01 10:10:00+05:30,943.23,952.83,942.6,946.95,203726
2015-09-01 10:15:00+05:30,947.0,947.58,942.13,945.6,74168
2015-09-01 10:20:00+05:30,946.65,948.5,944.03,946.5,32284
2015-09-01 10:25:00+05:30,946.5,947.0,942.85,942.85,19622
2015-09-01 10:30:00+05:30,942.85,942.85,938.25,941.5,41778
2015-09-01 10:35:00+05:30,941.5,944.0,940.88,942.23,13164
2015-09-01 10:40:00+05:30,942.23,942.23,936.13,937.93,39400
2015-09-01 10:45:00+05:30,937.15,940.85,937.15,938.53,16888
2015-09-01 10:50:00+05:30,938.53,938.95,936.08,938.5,14712
2015-09-01 10:55:00+05:30,938.5,940.88,936.6,940.65,9356
2015-09-01 11:00:00+05:30,940.75,941.98,938.6,939.53,15880
2015-09-01 11:05:00+05:30,940.5,943.0,939.13,941.5,13306
2015-09-01 11:10:00+05:30,941.5,942.0,938.6,942.0,8124
2015-09-01 11:15:00+05:30,942.0,942.5,938.75,939.5,7418
2015-09-01 11:20:00+05:30,939.5,939.68,937.48,937.5,5382
2015-09-01 11:25:00+05:30,937.5,939.48,937.08,937.1,6050
2015-09-01 11:30:00+05:30,937.18,939.5,936.65,938.53,9982
2015-09-01 11:35:00+05:30,938.53,938.53,928.75,929.78,62796
2015-09-01 11:40:00+05:30,929.78,933.5,928.65,932.93,24138
2015-09-01 11:45:00+05:30,932.53,933.25,929.13,931.25,18850
2015-09-01 11:50:00+05:30,931.03,933.0,930.13,931.5,8998
2015-09-01 11:55:00+05:30,931.5,933.5,931.5,933.5,7498
2015-09-01 12:00:00+05:30,933.0,933.0,930.05,931.05,11318
2015-09-01 12:05:00+05:30,931.35,931.5,925.63,926.85,18418
2015-09-01 12:10:00+05:30,926.98,929.0,925.05,926.53,18250
2015-09-01 12:15:00+05:30,927.53,928.48,925.5,927.53,12076
2015-09-01 12:20:00+05:30,927.53,928.33,922.55,926.13,21594
2015-09-01 12:25:00+05:30,926.13,929.35,925.8,928.33,11412
2015-09-01 12:30:00+05:30,928.33,929.25,926.23,928.1,6952
2015-09-01 12:35:00+05:30,928.53,932.38,928.53,928.65,18466
2015-09-01 12:40:00+05:30,928.65,931.45,928.38,928.4,7836
2015-09-01 12:45:00+05:30,928.4,929.23,926.93,927.5,6828
2015-09-01 12:50:00+05:30,927.5,927.5,926.05,927.5,5300
2015-09-01 12:55:00+05:30,928.0,931.0,928.0,929.38,10474
2015-09-01 13:00:00+05:30,929.38,933.85,928.7,932.05,21786
2015-09-01 13:05:00+05:30,932.05,932.05,929.0,930.1,17364
2015-09-01 13:10:00+05:30,930.1,932.0,928.6,930.0,8138
2015-09-01 13:15:00+05:30,930.0,930.0,926.05,927.7,18142
2015-09-01 13:20:00+05:30,927.7,928.53,921.0,923.03,37370
2015-09-01 13:25:00+05:30,923.03,925.0,916.0,918.5,49416
2015-09-01 13:30:00+05:30,918.5,919.95,911.53,919.95,45156
2015-09-01 13:35:00+05:30,919.95,919.95,915.0,916.28,15034
2015-09-01 13:40:00+05:30,916.33,917.6,915.0,915.03,14516
2015-09-01 13:45:00+05:30,915.03,917.63,913.0,914.9,22048
2015-09-01 13:50:00+05:30,915.3,916.0,912.5,913.45,25014
2015-09-01 13:55:00+05:30,913.45,914.0,911.5,913.73,15316
2015-09-01 14:00:00+05:30,913.73,913.73,896.03,899.45,74898
2015-09-01 14:05:00+05:30,899.75,903.6,897.5,900.53,43944
