date,open,high,low,close,volume,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2003-03-17 00:00:00+05:30,10.31,11.25,10.31,11.12,350219,,,,,,1,,,
2003-03-19 00:00:00+05:30,11.1,11.25,10.92,11.14,316259,10.893333333333333,10.780000000000001,11.006666666666664,0.020807833537331368,,1,,,
2003-03-20 00:00:00+05:30,11.25,11.3,11.06,11.2,468399,11.103333333333333,11.085,11.121666666666666,0.003302311618132569,,1,,,
2003-03-21 00:00:00+05:30,11.18,11.25,11.15,11.23,238919,11.186666666666667,11.18,11.193333333333335,0.001191895113230222,,1,,,
2003-03-24 00:00:00+05:30,11.09,11.36,11.0,11.23,331759,11.209999999999999,11.2,11.219999999999999,0.0017841213202497391,,1,,,
2003-03-25 00:00:00+05:30,11.17,11.45,11.03,11.35,256459,11.196666666666667,11.18,11.213333333333335,0.002977076510866477,,1,,,
2003-03-26 00:00:00+05:30,11.32,11.42,10.91,11.1,366899,11.276666666666666,11.239999999999998,11.313333333333333,0.006503103754064512,,1,,,
2003-03-27 00:00:00+05:30,11.0,11.05,10.72,10.9,680979,11.143333333333333,11.165,11.121666666666666,0.0038887227041579124,,1,,,
2003-03-28 00:00:00+05:30,10.73,10.95,10.73,10.85,125639,10.89,10.885000000000002,10.895,0.0009182736455461901,,1,,,
2003-03-31 00:00:00+05:30,10.76,10.76,10.4,10.59,218379,10.843333333333334,10.84,10.846666666666668,0.0006148170919152514,,1,,,
2003-04-01 00:00:00+05:30,10.45,10.81,10.45,10.77,90699,10.583333333333334,10.58,10.586666666666668,0.0006299212598426181,,1,,,
2003-04-02 00:00:00+05:30,10.75,10.95,10.75,10.84,51019,10.676666666666668,10.629999999999999,10.723333333333336,0.00874180455822703,,1,,,
2003-04-03 00:00:00+05:30,10.95,11.1,10.91,11.03,62839,10.846666666666666,10.85,10.843333333333332,0.0006146281499693647,,1,,,
2003-04-04 00:00:00+05:30,11.05,11.1,10.85,10.95,162719,11.013333333333334,11.004999999999999,11.021666666666668,0.0015133171912835295,,1,,,
2003-04-07 00:00:00+05:30,11.32,11.49,11.15,11.33,267939,10.966666666666667,10.975,10.958333333333334,0.0015197568389056888,,1,,,
2003-04-08 00:00:00+05:30,11.4,11.55,11.38,11.42,180819,11.323333333333332,11.32,11.326666666666664,0.0005887547836323953,,1,,,
2003-04-09 00:00:00+05:30,11.4,11.4,11.25,11.3,141559,11.450000000000001,11.465,11.435000000000002,0.0026200873362443302,,1,,,
2003-04-10 00:00:00+05:30,11.3,11.3,11.2,11.27,245999,11.316666666666668,11.325,11.308333333333337,0.0014727540500732398,,1,,,
2003-04-11 00:00:00+05:30,11.15,11.39,10.9,10.94,178479,11.256666666666666,11.25,11.263333333333332,0.0011844832691736925,,1,,,
2003-04-15 00:00:00+05:30,11.05,11.1,10.95,10.96,119199,11.076666666666666,11.145,11.008333333333333,0.012338248570568767,,1,,,
2003-04-16 00:00:00+05:30,10.96,11.1,10.93,11.02,466559,11.003333333333332,11.024999999999999,10.981666666666666,0.003938200545289277,,1,,,
2003-04-17 00:00:00+05:30,10.95,11.02,10.85,10.99,249999,11.016666666666666,11.015,11.01833333333333,0.0003025718608166689,,1,,,
2003-04-21 00:00:00+05:30,10.9,11.39,10.9,11.27,275399,10.953333333333333,10.934999999999999,10.971666666666668,0.0033475349969569854,,1,,,
2003-04-22 00:00:00+05:30,11.25,11.4,11.25,11.31,280279,11.186666666666667,11.145,11.228333333333335,0.0074493444576879345,,1,,,
2003-04-23 00:00:00+05:30,11.4,11.5,11.1,11.19,213259,11.32,11.325,11.315000000000001,0.0008833922261482341,,1,11.092,11.500352788652165,10.683647211347836
2003-04-24 00:00:00+05:30,11.29,11.47,11.0,11.43,218639,11.263333333333334,11.3,11.226666666666667,0.006510802012429784,9.037600000000001,1,11.1044,11.533690763935121,10.675109236064879
2003-04-25 00:00:00+05:30,11.5,11.55,11.35,11.53,404619,11.299999999999999,11.235,11.364999999999998,0.011504424778760975,9.18263616,1,11.12,11.580538814867975,10.659461185132024
2003-04-28 00:00:00+05:30,11.52,11.98,11.43,11.94,726239,11.476666666666667,11.45,11.503333333333334,0.00464711007842009,9.3743307136,1,11.1496,11.710983434027046,10.588216565972953
2003-04-29 00:00:00+05:30,11.82,12.12,11.82,11.92,465419,11.783333333333333,11.705,11.861666666666666,0.013295615275813263,9.648557485056,1,11.177200000000001,11.81440690517288,10.539993094827121
2003-04-30 00:00:00+05:30,12.0,12.14,11.82,12.04,629859,11.953333333333333,11.969999999999999,11.936666666666667,0.0027886224205241027,9.66181518565376,1,11.209599999999998,11.931053643694447,10.488146356305549
2003-05-02 00:00:00+05:30,11.86,12.46,11.86,12.28,748479,12.0,11.98,12.02,0.0033333333333332624,9.76654257822761,1,11.2468,12.080542790073773,10.413057209926228
2003-05-05 00:00:00+05:30,12.39,12.99,12.39,12.83,1201379,12.200000000000001,12.16,12.240000000000002,0.006557377049180479,10.193480875098505,1,11.315999999999999,12.35213126581529,10.279868734184708
2003-05-06 00:00:00+05:30,12.82,13.15,12.7,12.79,690299,12.736666666666666,12.690000000000001,12.783333333333331,0.00732792462706073,10.402341640094564,1,11.3916,12.562345813573552,10.220854186426449
2003-05-07 00:00:00+05:30,13.0,13.0,12.41,12.62,527939,12.88,12.925,12.835,0.006987577639751542,10.402341640094564,1,11.4624,12.705419291885688,10.219380708114313
2003-05-08 00:00:00+05:30,12.51,12.75,12.47,12.53,298959,12.676666666666668,12.705,12.648333333333335,0.004470155140678269,10.402341640094564,1,11.54,12.797616793780996,10.282383206219002
2003-05-09 00:00:00+05:30,12.45,12.49,12.3,12.34,116079,12.583333333333334,12.61,12.556666666666668,0.004238410596026305,10.402341640094564,1,11.6028,12.857136733098411,10.34846326690159
2003-05-12 00:00:00+05:30,12.4,13.25,12.4,13.01,1475879,12.376666666666665,12.395,12.35833333333333,0.002962563964449409,10.402341640094564,1,11.6896,13.018870235881327,10.360329764118674
2003-05-13 00:00:00+05:30,12.89,13.39,12.89,13.03,936339,12.886666666666665,12.825,12.94833333333333,0.009570615623383185,10.429458853848713,1,11.769599999999999,13.16931974337722,10.369880256622778
2003-05-14 00:00:00+05:30,13.25,13.25,12.88,12.92,592679,13.103333333333333,13.14,13.066666666666666,0.005596540320529189,10.429458853848713,1,11.8484,13.276211528178699,10.4205884718213
2003-05-15 00:00:00+05:30,13.12,13.65,12.91,13.48,991499,13.016666666666667,13.065000000000001,12.968333333333334,0.007426376440461016,10.475309279706975,1,11.9344,13.481010021951233,10.387789978048767
2003-05-16 00:00:00+05:30,13.85,14.15,13.61,13.76,1996139,13.34666666666667,13.280000000000001,13.413333333333338,0.009990009990010219,10.999896908518695,1,12.027999999999999,13.715563924715147,10.34043607528485
2003-05-19 00:00:00+05:30,14.09,14.09,13.3,13.54,708919,13.839999999999998,13.879999999999999,13.799999999999997,0.005780346820809383,10.999896908518695,1,12.117599999999998,13.877357074144038,10.357842925855957
2003-05-20 00:00:00+05:30,13.45,13.64,13.31,13.52,489919,13.643333333333333,13.695,13.591666666666665,0.007573906669924403,10.999896908518695,1,12.2076,14.014274558408346,10.400925441591653
2003-05-21 00:00:00+05:30,13.7,13.8,13.51,13.6,637799,13.49,13.475000000000001,13.504999999999999,0.002223869532987219,10.999896908518695,1,12.313999999999998,14.122840512593632,10.505159487406365
2003-05-22 00:00:00+05:30,13.51,13.64,13.43,13.53,357179,13.636666666666668,13.655000000000001,13.618333333333336,0.002688829137130185,10.999896908518695,1,12.4168,14.198059958568653,10.635540041431348
2003-05-23 00:00:00+05:30,13.75,13.75,13.12,13.29,1215619,13.533333333333333,13.535,13.531666666666666,0.00024630541871925035,10.999896908518695,1,12.507599999999998,14.225079828120258,10.790120171879739
2003-05-26 00:00:00+05:30,13.5,13.68,13.28,13.51,948119,13.386666666666665,13.434999999999999,13.338333333333331,0.007221115537848674,10.999896908518695,1,12.608400000000001,14.251983207507307,10.964816792492696
2003-05-27 00:00:00+05:30,13.65,14.5,13.65,14.32,3786239,13.49,13.48,13.5,0.0014825796886582337,10.999896908518695,1,12.7304,14.410861650856694,11.049938349143305
2003-05-28 00:00:00+05:30,14.62,14.95,14.41,14.51,2463959,14.156666666666666,14.075,14.238333333333333,0.011537555921827218,11.545828170307708,1,12.8584,14.573720891262042,11.143079108737957
2003-05-29 00:00:00+05:30,14.7,14.7,14.18,14.27,780439,14.623333333333333,14.68,14.566666666666666,0.007750170959653519,11.545828170307708,1,12.981599999999998,14.641437871600719,11.321762128399278
2003-05-30 00:00:00+05:30,14.49,15.4,14.49,15.09,3384339,14.383333333333333,14.44,14.326666666666666,0.00787949015063731,11.600371241755584,1,13.128,14.858720081353425,11.397279918646575
2003-06-02 00:00:00+05:30,15.3,16.85,15.25,16.4,4660719,14.993333333333334,14.945,15.041666666666668,0.006447309915518068,12.346356392085362,1,13.322799999999999,15.359460168020185,11.286139831979813
2003-06-03 00:00:00+05:30,16.49,16.49,15.66,15.97,2409439,16.166666666666668,16.05,16.283333333333335,0.014432989690721707,12.346356392085362,1,13.484000000000002,15.688388350540807,11.279611649459197
