date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,290.94,295.29,290.46,293.69,1916939
2015-01-02 00:00:00+05:30,293.69,301.03,293.36,296.98,5802477
2015-01-05 00:00:00+05:30,299.04,299.04,294.13,296.25,2744163
2015-01-06 00:00:00+05:30,292.87,294.8,280.04,281.39,3124631
2015-01-07 00:00:00+05:30,279.85,283.22,274.19,278.01,3067861
2015-01-08 00:00:00+05:30,281.78,286.6,281,285.73,2243552
2015-01-09 00:00:00+05:30,287.13,288.34,280.22,283.18,2604119
2015-01-12 00:00:00+05:30,283.18,290.08,279.65,288.43,3605898
2015-01-13 00:00:00+05:30,290.6,290.94,281.58,284.19,2533723
2015-01-14 00:00:00+05:30,282.93,286.12,278.01,280.62,1646465
2015-01-15 00:00:00+05:30,292.73,294.13,287.62,290.32,3286107
2015-01-16 00:00:00+05:30,290.08,292.29,286.74,289.87,2439163
2015-01-19 00:00:00+05:30,292.87,293.84,287.18,288.53,2136920
2015-01-20 00:00:00+05:30,288.82,293.16,285.64,286.65,3067676
2015-01-21 00:00:00+05:30,288.53,295.29,287.57,291.43,5614490
2015-01-22 00:00:00+05:30,292.77,293.73,286.36,288.24,2341535
2015-01-23 00:00:00+05:30,291.38,293.36,282.02,284,3224128
2015-01-27 00:00:00+05:30,284.96,285.64,275.99,281.34,3126996
2015-01-28 00:00:00+05:30,281,284.19,277.97,281.15,2091362
2015-01-29 00:00:00+05:30,280.43,282.55,270.2,270.97,3162294
2015-01-30 00:00:00+05:30,272.56,275.31,252.39,256.93,5203097
2015-02-02 00:00:00+05:30,257.89,266.39,256.3,264.21,2668549
2015-02-03 00:00:00+05:30,265.81,267.2,250.41,252,4795568
2015-02-04 00:00:00+05:30,253.74,254.95,247.04,248.05,5006893
2015-02-05 00:00:00+05:30,248.1,251.67,238.88,240.72,2722463
2015-02-06 00:00:00+05:30,241.15,243.03,234.44,238.55,3320834
2015-02-09 00:00:00+05:30,237.58,239.8,223.01,224.55,4691597
2015-02-10 00:00:00+05:30,223.88,234.83,220.21,228.17,4802236
2015-02-11 00:00:00+05:30,229.81,235.17,228.12,232.85,2741617
2015-02-12 00:00:00+05:30,234.49,236.23,217.22,219.44,12209501
2015-02-13 00:00:00+05:30,218.57,228.32,217.94,227.25,5100439
2015-02-16 00:00:00+05:30,228.7,231.55,221.95,226.92,4689806
2015-02-18 00:00:00+05:30,227.74,228.46,224.22,225.86,2347153
2015-02-19 00:00:00+05:30,226.1,227.98,220.6,225.81,2634167
2015-02-20 00:00:00+05:30,226.77,234.78,223.88,230.29,3471395
2015-02-23 00:00:00+05:30,232.08,232.8,225.08,226.53,2281780
2015-02-24 00:00:00+05:30,226.58,226.87,221.47,223.83,2772609
2015-02-25 00:00:00+05:30,225.71,226.29,220.26,221.03,2393566
2015-02-26 00:00:00+05:30,220.98,221.56,213.46,213.99,3702558
2015-02-27 00:00:00+05:30,216.21,228.7,215.68,227.35,3617079
2015-03-02 00:00:00+05:30,229.18,232.56,223.93,227.64,2559593
2015-03-03 00:00:00+05:30,228.51,232.56,224.75,231.5,2425630
2015-03-04 00:00:00+05:30,240.09,241.25,220.02,223.25,5621462
2015-03-05 00:00:00+05:30,223.88,225.61,217.36,221.22,3549960
2015-03-09 00:00:00+05:30,219.05,219.54,213.94,214.71,2569657
2015-03-10 00:00:00+05:30,216.11,216.93,209.84,211.77,2999667
2015-03-11 00:00:00+05:30,212.3,213.94,207.47,210.27,3859916
2015-03-12 00:00:00+05:30,212.01,215.19,211.38,212.35,1887194
2015-03-13 00:00:00+05:30,214.61,215.82,207.96,208.44,2584656
2015-03-16 00:00:00+05:30,209.55,211.09,206.6,208.78,2028833
2015-03-17 00:00:00+05:30,210.37,212.01,207.57,210.37,2138881
2015-03-18 00:00:00+05:30,211.33,214.57,209.93,212.83,2025966
2015-03-19 00:00:00+05:30,216.64,216.69,207.47,208.29,1687218
2015-03-20 00:00:00+05:30,207.67,210.32,203.13,205.16,3012534
2015-03-23 00:00:00+05:30,206.03,207.04,201.1,201.78,2210084
2015-03-24 00:00:00+05:30,199.75,202.41,196.57,197.44,2917431
2015-03-25 00:00:00+05:30,197.34,198.4,194.93,195.7,2074761
2015-03-26 00:00:00+05:30,194.73,196.76,189.38,190.44,2921264
2015-03-27 00:00:00+05:30,191.16,193.43,184.8,191.6,4105214
2015-03-30 00:00:00+05:30,193.96,193.96,188.17,192.9,2289290
2015-03-31 00:00:00+05:30,193.87,194.93,188.03,188.99,2826420
2015-04-01 00:00:00+05:30,187.79,202.45,187.26,198.55,3396490
2015-04-06 00:00:00+05:30,199.66,202.02,195.02,198.79,2655791
2015-04-07 00:00:00+05:30,199.7,201.68,196.66,199.75,2767286
2015-04-08 00:00:00+05:30,200.62,202.07,198.02,198.69,1816989
2015-04-09 00:00:00+05:30,199.75,206.85,195.6,205.25,3897747
2015-04-10 00:00:00+05:30,205.69,212.01,205.54,211.28,3859810
2015-04-13 00:00:00+05:30,209.64,214.95,209.64,213.26,2529275
2015-04-15 00:00:00+05:30,214.18,225.04,213.5,218.96,3629802
2015-04-16 00:00:00+05:30,219.44,220.6,213.65,217.17,3545192
2015-04-17 00:00:00+05:30,217.12,223.68,215.19,220.36,3555729
2015-04-20 00:00:00+05:30,220.6,222.82,209.4,213.02,2699905
2015-04-21 00:00:00+05:30,212.35,217.89,211.43,215.24,2327994
2015-04-22 00:00:00+05:30,216.16,217.7,209.02,214.13,2404134
2015-04-23 00:00:00+05:30,215.48,216.74,209.89,210.75,1841161
2015-04-24 00:00:00+05:30,211.33,211.57,201.78,202.74,2758331
2015-04-27 00:00:00+05:30,203.32,206.22,197.24,203.32,2514996
2015-04-28 00:00:00+05:30,202.74,209.11,202.31,208.15,1882036
2015-04-29 00:00:00+05:30,209.02,209.69,204.67,206.03,1563003
2015-04-30 00:00:00+05:30,205.93,210.37,203.37,209.02,2755609
2015-05-04 00:00:00+05:30,209.64,217.03,208.97,216.06,2006974
2015-05-05 00:00:00+05:30,216.16,217.89,213.6,215.24,1082762
2015-05-06 00:00:00+05:30,214.23,216.11,200.38,201.06,2041219
2015-05-07 00:00:00+05:30,201.06,202.17,191.5,193.63,2276117
2015-05-08 00:00:00+05:30,195.89,197.87,183.83,188.99,3153154
2015-05-11 00:00:00+05:30,192.03,203.37,186.63,199.03,4893365
2015-05-12 00:00:00+05:30,199.17,199.56,189.77,190.97,2901687
2015-05-13 00:00:00+05:30,192.13,199.75,192.13,196.38,3698640
2015-05-14 00:00:00+05:30,196.23,204.58,193.34,203.61,3220784
2015-05-15 00:00:00+05:30,205.11,206.51,199.32,201.68,2714360
2015-05-18 00:00:00+05:30,202.36,202.94,196.95,199.66,2099587
2015-05-19 00:00:00+05:30,199.9,202.94,197.97,199.51,2458162
2015-05-20 00:00:00+05:30,200.14,201.97,197.73,198.55,1551748
2015-05-21 00:00:00+05:30,199.27,199.9,196.42,199.27,1463709
2015-05-22 00:00:00+05:30,200.24,202.65,193.67,195.07,3000052
2015-05-25 00:00:00+05:30,195.22,197.34,193,196.13,1723584
2015-05-26 00:00:00+05:30,196.57,196.86,193.96,195.07,2167200
2015-05-27 00:00:00+05:30,193.67,200.72,193,196.71,2819517
2015-05-28 00:00:00+05:30,197.63,197.82,181.42,185.13,15678244
2015-05-29 00:00:00+05:30,182.38,191.07,182.38,190.3,4663486
2015-06-01 00:00:00+05:30,190.59,192.03,188.46,189.62,1804483
2015-06-02 00:00:00+05:30,190.1,190.3,181.9,182.58,4190633
2015-06-03 00:00:00+05:30,182.62,185.08,179.49,183.11,3491134
2015-06-04 00:00:00+05:30,183.98,184.22,174.23,176.59,3807113
2015-06-05 00:00:00+05:30,174.18,177.08,172.93,174.52,2354959
2015-06-08 00:00:00+05:30,174.47,175.44,167.14,167.96,2579847
2015-06-09 00:00:00+05:30,167.52,170.22,166.94,169.45,1632228
2015-06-10 00:00:00+05:30,168.87,172.73,168.49,170.47,1550278
2015-06-11 00:00:00+05:30,171.86,172.25,165.88,167.09,2707973
2015-06-12 00:00:00+05:30,166.27,168.54,165.01,167.28,2341520
2015-06-15 00:00:00+05:30,168.29,170.32,164.05,165.11,2128968
2015-06-16 00:00:00+05:30,166.36,169.4,165.54,168.2,1827561
2015-06-17 00:00:00+05:30,169.84,170.42,167.04,167.72,1216942
2015-06-18 00:00:00+05:30,168.87,171.58,167.91,169.5,1956249
2015-06-19 00:00:00+05:30,170.32,172.15,168.73,171.38,1804466
2015-06-22 00:00:00+05:30,172.06,179.05,171.38,176.83,2393473
2015-06-23 00:00:00+05:30,177.56,180.94,175.87,177.85,1988170
2015-06-24 00:00:00+05:30,178.57,178.86,172.25,172.93,2304905
2015-06-25 00:00:00+05:30,172.73,179.2,170.18,176.93,3819117
2015-06-26 00:00:00+05:30,176.35,176.35,169.84,170.9,2537257
2015-06-29 00:00:00+05:30,166.17,168.87,163.08,166.03,2431921
2015-09-28 00:00:00+05:30,131.9,134.23,130.37,131,2031904
2015-09-29 00:00:00+05:30,129.31,136.01,126.9,132.98,5239331
2015-09-30 00:00:00+05:30,135.04,136.21,129.07,130.85,3170862
2015-10-01 00:00:00+05:30,133.17,133.17,128.68,129.65,2233973
2015-10-05 00:00:00+05:30,130.94,134.91,130.8,134.32,2366644
2015-10-06 00:00:00+05:30,136.06,138.42,131.58,136.88,3272714
2015-10-07 00:00:00+05:30,137.21,141.27,135.73,140.74,3387725
2015-10-08 00:00:00+05:30,140.16,143.78,138.18,140.41,3198725
2015-10-09 00:00:00+05:30,142.34,143.78,137.51,139.59,2618056
2015-10-12 00:00:00+05:30,139.59,141.37,137.21,138.9,2335558
2015-10-13 00:00:00+05:30,138.9,140.31,135.28,137.27,2083917
2015-10-14 00:00:00+05:30,137.41,138.38,135.73,136.49,1719437
2015-10-15 00:00:00+05:30,137.37,139.14,136.64,137.56,1522733
2015-10-16 00:00:00+05:30,137.08,138.96,135.48,137.8,2482436
2015-10-19 00:00:00+05:30,138.42,138.66,136.11,136.84,1273057
2015-10-20 00:00:00+05:30,137.08,139.68,136.4,137.51,1669345
2015-10-21 00:00:00+05:30,137.61,138.33,132.3,133.65,2432881
2015-10-23 00:00:00+05:30,136.06,136.06,132.93,133.59,1629161
2015-10-26 00:00:00+05:30,134.37,134.66,131.62,132.3,1478573
2015-10-27 00:00:00+05:30,131.53,133.35,131.42,132.49,1286379
2015-10-28 00:00:00+05:30,132.2,132.2,128.68,129.73,2043749
2015-10-29 00:00:00+05:30,130.9,131.24,128.34,129.01,2081455
2015-10-30 00:00:00+05:30,130.27,131,125.87,126.7,2210223
2015-11-02 00:00:00+05:30,126.84,129.12,124,128.04,3053007
2015-11-03 00:00:00+05:30,129.12,130.08,127.76,128.53,1923162
2015-11-04 00:00:00+05:30,129.6,130.66,127.96,128.77,2293579
2015-11-05 00:00:00+05:30,128.44,129.36,127.38,127.86,1439564
2015-11-06 00:00:00+05:30,127.86,131.58,125.98,129.79,2448048
2015-11-09 00:00:00+05:30,127.38,130.8,126.11,128.87,3577645
2015-11-10 00:00:00+05:30,123.13,133.99,123.04,127.28,11692226
2015-11-11 00:00:00+05:30,128.15,129.31,127.28,127.8,355945
2015-11-13 00:00:00+05:30,127.32,127.32,124.77,125.69,2507502
2015-11-16 00:00:00+05:30,125.3,129.12,125.01,128.39,1973356
2015-11-17 00:00:00+05:30,129.31,129.89,126.8,127.19,1629176
2015-11-18 00:00:00+05:30,126.94,128.15,123.62,124.1,1911277
2015-11-19 00:00:00+05:30,124.87,125.63,123.81,124.39,1413209
2015-11-20 00:00:00+05:30,124.43,126.27,122.75,125.06,1862420
2015-11-23 00:00:00+05:30,125.93,126.41,123.66,123.86,1580581
2015-11-24 00:00:00+05:30,123.52,124.58,119.76,120.24,4154323
2015-11-26 00:00:00+05:30,120.24,122.65,119.13,121.97,3647874
2015-11-27 00:00:00+05:30,121.97,126.36,121.59,125.74,3811943
2015-11-30 00:00:00+05:30,125.83,127.38,125.55,126.6,1729368
2015-12-01 00:00:00+05:30,127.38,127.56,125.35,126.03,1602300
2015-12-02 00:00:00+05:30,125.98,126.51,122.46,122.94,2339781
2015-12-03 00:00:00+05:30,122.31,123.18,120.43,120.91,2105290
2015-12-04 00:00:00+05:30,119.66,120.62,118.79,119.03,1949910
2015-12-07 00:00:00+05:30,120.24,120.58,117.15,117.49,2082903
2015-12-08 00:00:00+05:30,116.76,118.21,113.39,113.97,3145482
2015-12-09 00:00:00+05:30,113.87,115.03,112.52,112.81,2418597
2015-12-10 00:00:00+05:30,113.48,113.87,111.07,112.76,2512651
2015-12-11 00:00:00+05:30,112.81,114.59,109.29,111.22,3514803
2015-12-14 00:00:00+05:30,109.77,113.14,109.33,111.7,2163378
2015-12-15 00:00:00+05:30,111.94,112.61,110.68,111.75,1615647
2015-12-16 00:00:00+05:30,112.57,113.77,111.6,111.89,1833205
2015-12-17 00:00:00+05:30,112.9,113.82,112.04,113.19,1910998
2015-12-18 00:00:00+05:30,112.9,116.18,112.52,113.43,3301130
2015-12-21 00:00:00+05:30,113.82,114.64,113.48,113.82,1388962
2015-12-22 00:00:00+05:30,114.83,115.65,111.94,112.32,2793658
2015-12-23 00:00:00+05:30,113,113.82,112.76,113.53,1318932
2015-12-24 00:00:00+05:30,113.77,114.06,112.47,113.39,1034945
2015-12-28 00:00:00+05:30,113.87,114.64,113.1,113.72,1150013
2015-12-29 00:00:00+05:30,113.92,114.11,112.23,112.61,1528784
2015-12-30 00:00:00+05:30,112.81,113.58,110.97,111.31,1893165
2015-12-31 00:00:00+05:30,111.36,111.7,110.2,110.93,1647237
2016-01-01 00:00:00+05:30,110.88,113.63,110.59,113.24,1729723
2016-01-04 00:00:00+05:30,112.52,113.24,109.82,110.68,1961521
2016-01-05 00:00:00+05:30,111.17,111.31,108.85,109.91,1589405
2016-01-06 00:00:00+05:30,110.11,113.19,109.04,110.25,2785428
2016-01-07 00:00:00+05:30,109.09,109.14,104.85,105.23,3050214
2016-01-08 00:00:00+05:30,106.05,106.97,105.28,106.05,1808771
2016-01-11 00:00:00+05:30,105.18,106,103.3,103.74,2375792
2016-01-12 00:00:00+05:30,103.83,104.7,99.64,100.74,2849905
2016-01-13 00:00:00+05:30,101.9,101.9,95.63,96.69,4661852
2016-01-14 00:00:00+05:30,94.28,95.53,92.16,94.57,3494658
2016-01-15 00:00:00+05:30,95.44,95.58,89.41,91.24,3578252
2016-01-18 00:00:00+05:30,91.67,92.64,87.19,89.17,4523474
2016-01-19 00:00:00+05:30,89.74,91.43,88.92,90.47,2771182
2016-01-20 00:00:00+05:30,88.49,88.97,86.85,88.06,3067084
2016-01-21 00:00:00+05:30,89.55,93.12,88.3,92.01,5044834
2016-01-22 00:00:00+05:30,93.41,98.09,93.07,97.22,5184051
2016-01-25 00:00:00+05:30,98.04,99.3,95.44,96.11,2320163
2016-01-27 00:00:00+05:30,96.93,98.86,94.18,96.21,4469600
2016-01-28 00:00:00+05:30,95.82,97.17,94.95,95.49,2942482
2016-01-29 00:00:00+05:30,94.86,97.42,92.25,96.79,3753307
2016-02-01 00:00:00+05:30,97.9,97.95,93.7,94.33,2644126
2016-02-02 00:00:00+05:30,94.57,96.84,92.78,93.07,3624157
2016-02-03 00:00:00+05:30,91.19,91.96,88.78,89.74,2815253
2016-02-04 00:00:00+05:30,90.42,92.35,88.59,89.84,2322006
2016-02-05 00:00:00+05:30,90.27,95,90.13,94.33,2581617
