date,open,high,low,close,volume
2017-09-18 00:00:00+05:30,545,604.6,545,580.75,30090360
2017-09-19 00:00:00+05:30,589.2,599,574.5,578.5,3969920
2017-09-20 00:00:00+05:30,577.6,577.6,550.55,561.35,2513620
2017-09-21 00:00:00+05:30,560.7,560.7,536.8,552.85,1599700
2017-09-22 00:00:00+05:30,558.1,558.1,527,531.95,941685
2017-09-25 00:00:00+05:30,524,541.1,501.25,522.55,1658850
2017-09-26 00:00:00+05:30,523.2,535.8,523.2,527,531745
2017-09-27 00:00:00+05:30,531.6,541.75,514,519.95,678235
2017-09-28 00:00:00+05:30,521.6,532,518.1,526.8,333980
2017-09-29 00:00:00+05:30,529.2,536.8,528,529.75,292770
2017-10-03 00:00:00+05:30,533,543,515.75,539.2,405650
2017-10-04 00:00:00+05:30,542.05,549.8,535.4,544.55,394840
2017-10-05 00:00:00+05:30,543,548.2,537.4,539.45,365310
2017-10-06 00:00:00+05:30,540.25,549,532.7,535.45,246925
2017-10-09 00:00:00+05:30,535.4,542,520.3,526.35,226765
2017-10-10 00:00:00+05:30,527,536.25,524.4,532.55,243150
2017-10-11 00:00:00+05:30,549,551,530.25,533.5,605790
2017-10-12 00:00:00+05:30,539.2,550.8,534,548.55,417460
2017-10-13 00:00:00+05:30,549.2,557.4,544,546.8,245930
2017-10-16 00:00:00+05:30,548,549.1,532.05,534.35,148510
2017-10-17 00:00:00+05:30,531.2,536.4,526.4,530.25,113105
2017-10-18 00:00:00+05:30,529.1,536,526.9,532.55,91700
2017-10-23 00:00:00+05:30,531,534.05,529.2,531.2,142015
2017-10-24 00:00:00+05:30,531.8,561,530.4,552.05,639245
2017-10-25 00:00:00+05:30,556,561.15,536,553.65,252415
2017-10-26 00:00:00+05:30,544.6,555.7,544.6,550.85,178670
2017-10-27 00:00:00+05:30,553,553,544,547.45,133125
2017-10-30 00:00:00+05:30,548,556,546,547.35,314770
2017-10-31 00:00:00+05:30,546,551.8,535,544.85,246730
2017-11-01 00:00:00+05:30,545.8,548.45,541,542.45,33920
2017-11-02 00:00:00+05:30,546.4,548,540,540.8,46935
2017-11-03 00:00:00+05:30,542.8,542.8,536.6,537.65,60235
2017-11-06 00:00:00+05:30,537.6,544,533.8,538.5,58490
2017-11-07 00:00:00+05:30,539.8,540.6,530,533.5,66220
2017-11-08 00:00:00+05:30,532.2,541.75,530.2,536.65,65540
2017-11-09 00:00:00+05:30,532.6,544,532,535.5,66975
2017-11-10 00:00:00+05:30,531.8,542.8,531.8,539.05,88865
2017-11-13 00:00:00+05:30,539,545,536.7,540.95,82995
2017-11-14 00:00:00+05:30,537.35,550,537.35,546.25,90555
2017-11-15 00:00:00+05:30,550,553.9,533,538,145830
2017-11-16 00:00:00+05:30,540,558.8,535.4,552.7,1186690
2017-11-17 00:00:00+05:30,554.8,583.8,550.65,578.8,1256850
2017-11-20 00:00:00+05:30,581.4,627.2,572,623.4,2037710
2017-11-21 00:00:00+05:30,626.8,634.8,607.35,617.6,954445
2017-11-22 00:00:00+05:30,620.7,628.85,602.2,621.2,469015
2017-11-23 00:00:00+05:30,620.05,643.6,614.85,639.25,842365
2017-11-24 00:00:00+05:30,640.65,650,630.2,647,440410
2017-11-27 00:00:00+05:30,644.2,660,639.35,658.75,447990
2017-11-28 00:00:00+05:30,659,676.8,658,672.9,571020
2017-11-29 00:00:00+05:30,672.2,700,671,689.5,731140
2017-11-30 00:00:00+05:30,687,711.2,684,703.95,682690
2017-12-01 00:00:00+05:30,706,724.75,671,680.45,547360
2017-12-04 00:00:00+05:30,682.4,699,664.6,678.1,268340
2017-12-05 00:00:00+05:30,678,685,672,678.5,232155
2017-12-06 00:00:00+05:30,674,699,674,687.55,196685
2017-12-07 00:00:00+05:30,694.8,707,690,701.45,182460
2017-12-08 00:00:00+05:30,706,715.1,697.6,704.35,132605
2017-12-11 00:00:00+05:30,706,709.65,687.4,690,92155
2017-12-12 00:00:00+05:30,693.4,693.8,670.2,674.15,113455
2017-12-13 00:00:00+05:30,674,683.55,648,653.05,145100
2017-12-14 00:00:00+05:30,657.6,657.8,636,640.95,83990
2017-12-15 00:00:00+05:30,646,665.8,626,639.05,316080
2017-12-18 00:00:00+05:30,637,712,632,700.25,664920
2017-12-19 00:00:00+05:30,708,731.6,708,726.45,614460
2017-12-20 00:00:00+05:30,730.25,782.4,728.2,766.95,1153845
2017-12-21 00:00:00+05:30,775.8,777.8,764,770.55,392805
2017-12-22 00:00:00+05:30,776.6,816.8,770.5,807.4,670775
2017-12-26 00:00:00+05:30,812,898.8,812,878.85,2069420
2017-12-27 00:00:00+05:30,872,872.05,811.7,843.2,832115
2017-12-28 00:00:00+05:30,851.75,886,847.3,856.75,1046585
2017-12-29 00:00:00+05:30,856.6,868.6,828.2,838.2,498100
2018-01-01 00:00:00+05:30,846,859,828.4,837.5,195460
2018-01-02 00:00:00+05:30,845.8,851,823.05,827.4,201630
2018-01-03 00:00:00+05:30,849,860,834.65,840.1,416890
2018-01-04 00:00:00+05:30,844.4,846.4,820.4,825.5,368175
2018-01-05 00:00:00+05:30,827.4,834.8,810,813.65,193105
2018-01-08 00:00:00+05:30,816.4,837,810,816.65,191900
2018-01-09 00:00:00+05:30,821.6,830,808,809.9,134090
2018-01-10 00:00:00+05:30,813.55,822,800.2,805.35,176405
2018-01-11 00:00:00+05:30,802,806,776,780.15,307845
2018-01-12 00:00:00+05:30,786,786,760,768.95,163585
2018-01-15 00:00:00+05:30,768.8,791,756.2,759.5,286565
2018-01-16 00:00:00+05:30,763,765.2,734,740.75,292055
2018-01-17 00:00:00+05:30,741,745,715.65,728.8,624020
2018-01-18 00:00:00+05:30,730,781.65,728,758.9,713270
2018-01-19 00:00:00+05:30,755.95,778,749,766.05,271215
2018-01-22 00:00:00+05:30,771.8,777,756,764.95,104865
