date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,258,258.75,254.05,255.2,44837
2015-01-02 00:00:00+05:30,257,259,255.1,256.6,55072
2015-01-05 00:00:00+05:30,260,267.8,256.64,264.45,147500
2015-01-06 00:00:00+05:30,261.8,264.89,254,255.45,107265
2015-01-07 00:00:00+05:30,256,258.3,248,252.25,96927
2015-01-08 00:00:00+05:30,253.3,258,250.95,252.5,59051
2015-01-09 00:00:00+05:30,254.95,256,250.2,251,80536
2015-01-12 00:00:00+05:30,251,254.85,250.1,253.2,62726
2015-01-13 00:00:00+05:30,254.5,256.7,251.3,252.7,52188
2015-01-14 00:00:00+05:30,252.1,253.6,250.3,251.3,49101
2015-01-15 00:00:00+05:30,255.5,266.89,255.5,261.85,328186
2015-01-16 00:00:00+05:30,262.2,265.39,257.7,259.64,92251
2015-01-19 00:00:00+05:30,264.64,264.64,260,261.64,69342
2015-01-20 00:00:00+05:30,264.7,273,261.55,269.35,189803
2015-01-21 00:00:00+05:30,271.7,271.7,264,265.14,78582
2015-01-22 00:00:00+05:30,267.7,273.85,264,267.95,151140
2015-01-23 00:00:00+05:30,268.2,273.5,265,266.64,112797
2015-01-27 00:00:00+05:30,266.64,281,266.64,275.35,782347
2015-01-28 00:00:00+05:30,270.5,287.7,270.5,276.7,451863
2015-01-29 00:00:00+05:30,276.85,282,272.7,279.05,207103
2015-01-30 00:00:00+05:30,280,285,276,279.5,197609
2015-02-02 00:00:00+05:30,277.05,281.1,273.55,275.7,110536
2015-02-03 00:00:00+05:30,275,285.25,275,282,207310
2015-02-04 00:00:00+05:30,284.89,287.5,280.5,285,152749
2015-02-05 00:00:00+05:30,284,295,282.25,289.64,370800
2015-02-06 00:00:00+05:30,287,295.5,282.5,283.89,228271
2015-02-09 00:00:00+05:30,282.85,288.95,279.55,284.2,118940
2015-02-10 00:00:00+05:30,283.7,289.5,281.55,287.39,92561
2015-02-11 00:00:00+05:30,286,297.75,286,294,138584
2015-02-12 00:00:00+05:30,296,303,294,297.14,231311
2015-02-13 00:00:00+05:30,297.14,299,294.6,295.85,89150
2015-02-16 00:00:00+05:30,295.14,299.3,294.6,295.8,91356
2015-02-18 00:00:00+05:30,298.89,302.6,297.05,298.39,246769
2015-02-19 00:00:00+05:30,300,309.5,299,304.39,207395
2015-02-20 00:00:00+05:30,304.45,307.8,296.5,302.35,202562
2015-02-23 00:00:00+05:30,299,304.5,299,301.35,95779
2015-02-24 00:00:00+05:30,304.25,306,298.7,301.39,104597
2015-02-25 00:00:00+05:30,306,306,297.2,298.85,121417
2015-02-26 00:00:00+05:30,299.1,302,297,298,60021
2015-02-27 00:00:00+05:30,303,304.5,297,298.75,91409
2015-03-02 00:00:00+05:30,297.05,300,294.05,297.89,167697
2015-03-03 00:00:00+05:30,295.6,302.3,295.6,298,75132
2015-03-04 00:00:00+05:30,303,303.45,286.14,288.64,227070
2015-03-05 00:00:00+05:30,287.89,289.89,279.2,281.89,113949
2015-03-09 00:00:00+05:30,282,283.5,275.5,278.45,97440
2015-03-10 00:00:00+05:30,279.05,279.05,270.3,272.35,93563
2015-03-11 00:00:00+05:30,274.95,274.95,265,267.75,153603
2015-03-12 00:00:00+05:30,270.25,273,265.64,268.2,87337
2015-03-13 00:00:00+05:30,270.64,274.5,263.75,265.95,80764
2015-03-16 00:00:00+05:30,267.7,271.5,262.7,264.2,69375
2015-03-17 00:00:00+05:30,265,267.2,263.7,264.7,159427
2015-03-18 00:00:00+05:30,267.7,268,258.05,259.89,145512
2015-03-19 00:00:00+05:30,263.7,265.85,255.1,256.85,96812
2015-03-20 00:00:00+05:30,256,257,249.5,251.45,113700
2015-03-23 00:00:00+05:30,251.45,257,247,251.2,145269
2015-03-24 00:00:00+05:30,251,253.95,249.05,250.9,229146
2015-03-25 00:00:00+05:30,258,267.95,243.25,245,621264
2015-03-26 00:00:00+05:30,244,244.25,238.25,239.2,133194
2015-03-27 00:00:00+05:30,240,245.7,232.05,238.85,212064
2015-03-30 00:00:00+05:30,240.95,252.9,239.3,251.55,124295
2015-03-31 00:00:00+05:30,253.9,255,248.75,251.15,117102
2015-04-01 00:00:00+05:30,248,261.5,248,258.64,117318
2015-04-06 00:00:00+05:30,260,274.39,255.75,271.6,181996
2015-04-07 00:00:00+05:30,272.85,278,266.1,276.25,99465
2015-04-08 00:00:00+05:30,278,282,270,274.3,147220
2015-04-09 00:00:00+05:30,274.95,274.95,269,271.35,59183
2015-04-10 00:00:00+05:30,270,278.25,270,273.25,123987
2015-04-13 00:00:00+05:30,274.05,277.39,270.5,274.25,56950
2015-04-15 00:00:00+05:30,274.5,276,268,269.64,91042
2015-04-16 00:00:00+05:30,271,273,264.55,265.14,84751
2015-04-17 00:00:00+05:30,265.05,266.05,260,261.64,65393
2015-04-20 00:00:00+05:30,260.5,263.7,255.35,259.1,47039
2015-04-21 00:00:00+05:30,259.1,262.2,257,260.35,117728
2015-04-22 00:00:00+05:30,262.7,262.7,253.55,255.1,61223
2015-04-23 00:00:00+05:30,258,259.8,247.85,251.5,72352
2015-04-24 00:00:00+05:30,254.6,254.6,243,244.95,154431
2015-04-27 00:00:00+05:30,246.3,246.6,238.1,241,66715
2015-04-28 00:00:00+05:30,243,246,238.05,244.2,60037
2015-04-29 00:00:00+05:30,244.2,245,235,235.55,217952
2015-04-30 00:00:00+05:30,248.7,248.7,231.5,241.95,742744
2015-05-04 00:00:00+05:30,247,248.05,240,244.25,104292
2015-05-05 00:00:00+05:30,245.3,251.9,244,249.6,111733
2015-05-06 00:00:00+05:30,248.1,258.6,242.45,251.4,176611
2015-05-07 00:00:00+05:30,252,264,240.35,243.15,192633
2015-05-08 00:00:00+05:30,241.5,248.7,241.5,244.8,86477
2015-05-11 00:00:00+05:30,247.7,252,246.15,247.9,237037
2015-05-12 00:00:00+05:30,248.5,248.5,241.5,242.75,50139
2015-05-13 00:00:00+05:30,244,245,238,240,89005
2015-05-14 00:00:00+05:30,241.8,244,238.55,239.8,66199
2015-05-15 00:00:00+05:30,240.1,242.2,238.2,239.05,81084
2015-05-18 00:00:00+05:30,238.2,241.9,238.2,240,86159
2015-05-19 00:00:00+05:30,240,243,239,239.9,78350
2015-05-20 00:00:00+05:30,240.15,242.8,239,239.5,40018
2015-05-21 00:00:00+05:30,246,257.64,245,254.85,317848
2015-05-22 00:00:00+05:30,253.1,263,250.2,260.85,194657
2015-05-25 00:00:00+05:30,260,262.3,257.14,258.85,89439
2015-05-26 00:00:00+05:30,258.45,258.45,253.7,255.35,54267
2015-05-27 00:00:00+05:30,254,262,251.55,260.45,90905
2015-05-28 00:00:00+05:30,259.3,273.95,258.1,263.64,255822
2015-05-29 00:00:00+05:30,265,270,260.75,268.05,122418
2015-06-01 00:00:00+05:30,269.95,272.7,265.2,267.6,45805
2015-06-02 00:00:00+05:30,269,272.05,251.95,255.25,85269
2015-06-03 00:00:00+05:30,258.25,258.25,245,254.45,70065
2015-06-04 00:00:00+05:30,255,259.89,251.15,255.5,76720
2015-06-05 00:00:00+05:30,254.5,263.3,251.5,260.25,55918
2015-06-08 00:00:00+05:30,260.25,260.25,250,250.7,50191
2015-06-09 00:00:00+05:30,249.5,252.95,249,250.1,88798
2015-06-10 00:00:00+05:30,250,257.2,248,255.45,57124
2015-06-11 00:00:00+05:30,256,259.5,252.1,255.25,72931
2015-06-12 00:00:00+05:30,252,254.9,249.05,250.1,140152
2015-06-15 00:00:00+05:30,249.05,251.95,244,244.95,44110
2015-06-16 00:00:00+05:30,246.25,247,238.55,241.95,55610
2015-06-17 00:00:00+05:30,244.15,244.35,241.5,242.4,76623
2015-06-18 00:00:00+05:30,243.05,251,242.7,246.45,90274
2015-06-19 00:00:00+05:30,247.05,252.7,245.5,248.25,112028
2015-06-22 00:00:00+05:30,248.05,254.5,248.05,251.6,117178
2015-06-23 00:00:00+05:30,252,258,249.15,250.15,196990
2015-06-24 00:00:00+05:30,250.15,252.05,244.15,246.6,53421
2015-06-25 00:00:00+05:30,246.7,248.8,244.8,245.8,33627
2015-06-26 00:00:00+05:30,245.1,250.05,244.65,249.6,68757
2015-06-29 00:00:00+05:30,244.8,247.3,239.4,245.2,60684
2015-06-30 00:00:00+05:30,244.05,249,244,246.85,36074
2015-07-01 00:00:00+05:30,250,295.7,247.25,248.2,84310
2015-07-02 00:00:00+05:30,249.5,252,246.8,250.1,115575
2015-07-03 00:00:00+05:30,250.5,252.65,247.05,249.4,86706
2015-07-06 00:00:00+05:30,248,252.8,244.65,251.5,157952
2015-07-07 00:00:00+05:30,253.8,262,250.85,254,145656
2015-07-08 00:00:00+05:30,254.8,256.8,249.6,254.4,171565
2015-07-09 00:00:00+05:30,254.05,255.85,246.65,248.85,158144
2015-07-10 00:00:00+05:30,250.05,252,248.1,251.75,55567
2015-07-13 00:00:00+05:30,252,254.75,249.75,254.05,58826
2015-07-14 00:00:00+05:30,254.05,255.05,251,253.7,63158
2015-07-15 00:00:00+05:30,252.3,256.95,252.3,255.35,49481
2015-07-16 00:00:00+05:30,256.05,284.85,256.05,270.64,489300
2015-07-17 00:00:00+05:30,271.05,273,266.35,269.85,131637
2015-07-20 00:00:00+05:30,268.5,277.5,267,274.64,155998
2015-07-21 00:00:00+05:30,277.64,279,270.1,273.2,115236
2015-07-22 00:00:00+05:30,277.45,277.45,267,270.1,57096
2015-07-23 00:00:00+05:30,270,273.8,268.6,270.1,102757
2015-07-24 00:00:00+05:30,270,277,268.5,274.45,71237
2015-07-27 00:00:00+05:30,274.45,275.5,262.55,268.3,183559
2015-07-28 00:00:00+05:30,271.3,271.3,256.39,258.1,99146
2015-07-29 00:00:00+05:30,258.95,261.5,258,260.14,43810
2015-07-30 00:00:00+05:30,260.95,265.5,259.14,262.1,59751
2015-07-31 00:00:00+05:30,264.85,270.05,262,268.1,65809
2015-08-03 00:00:00+05:30,270.5,274.39,264.05,267,123090
2015-08-04 00:00:00+05:30,269.7,273.89,260,261.25,386881
2015-08-05 00:00:00+05:30,263,267.5,262.55,263.8,299580
2015-08-06 00:00:00+05:30,264.7,286.89,264.7,284.14,371420
2015-08-07 00:00:00+05:30,282,287.6,279,283.55,166686
2015-08-10 00:00:00+05:30,291,311.5,286,302.7,846155
2015-08-11 00:00:00+05:30,304.5,317.05,302.64,309.35,594821
2015-08-12 00:00:00+05:30,304.1,309.89,287,295.1,293840
2015-08-13 00:00:00+05:30,297,300.95,290.25,296,113371
2015-08-14 00:00:00+05:30,295.2,310.05,294.25,305.85,255086
2015-08-17 00:00:00+05:30,307.5,330.7,306.95,319.5,610327
2015-08-18 00:00:00+05:30,319.85,338.7,317,332.2,379739
2015-08-19 00:00:00+05:30,329.5,356,325.2,344.4,735406
2015-08-20 00:00:00+05:30,341.65,358.5,323,326.75,440083
2015-08-21 00:00:00+05:30,323.39,323.39,303.3,309.55,702138
2015-08-24 00:00:00+05:30,299.39,303,285,289.5,306460
2015-08-25 00:00:00+05:30,283.6,299,270,288.6,260708
2015-08-26 00:00:00+05:30,289.7,300.75,282.14,292.64,661584
2015-08-27 00:00:00+05:30,296.35,304.8,294.2,296.6,165751
2015-08-28 00:00:00+05:30,302.45,306,287,290,230094
2015-08-31 00:00:00+05:30,290.25,311,290.05,309.39,349440
2015-09-01 00:00:00+05:30,312,314,290.2,293.89,233655
2015-09-02 00:00:00+05:30,295,298.89,293,295.25,149329
2015-09-03 00:00:00+05:30,297,311.5,294,302.6,224034
2015-09-04 00:00:00+05:30,298,299.6,290.85,293.95,145848
2015-09-07 00:00:00+05:30,295,303.39,290,290.39,167111
2015-09-08 00:00:00+05:30,291.05,293.05,277.5,284.6,298213
2015-09-09 00:00:00+05:30,289.05,296.3,287.14,292.5,179250
2015-09-10 00:00:00+05:30,289.95,290,282.5,285.3,132516
2015-09-11 00:00:00+05:30,288.35,290.75,280.5,288.14,164611
2015-09-14 00:00:00+05:30,288.14,296,285,294.2,255927
2015-09-15 00:00:00+05:30,298.5,316.25,297,314.8,593661
2015-09-16 00:00:00+05:30,318,323,305.55,308.39,355409
2015-09-18 00:00:00+05:30,312.7,325,310.1,322.25,311114
2015-09-21 00:00:00+05:30,321.95,331.4,318.8,323.7,175824
2015-09-22 00:00:00+05:30,327.7,327.7,309.39,315.2,110244
2015-09-23 00:00:00+05:30,313,317.7,307,314.64,100810
2015-09-24 00:00:00+05:30,314.64,328.3,313.5,319.8,284089
2015-12-28 00:00:00+05:30,339,339.5,335,335.9,92623
2015-12-29 00:00:00+05:30,337,338.4,330.6,332.65,93073
2015-12-30 00:00:00+05:30,333.9,338.05,333,336.9,53383
2015-12-31 00:00:00+05:30,338.2,340,333,336.25,111106
2016-01-01 00:00:00+05:30,335.6,338.65,333,337,67496
2016-01-04 00:00:00+05:30,336,339,332.5,334.05,103382
2016-01-05 00:00:00+05:30,333.05,336,330.3,334,46252
2016-01-06 00:00:00+05:30,334.55,339,329.05,330,84991
2016-01-07 00:00:00+05:30,324.1,328,315,318.4,134162
2016-01-08 00:00:00+05:30,320.5,325.25,319,320.2,186497
2016-01-11 00:00:00+05:30,318.7,326.6,317,319.75,145178
2016-01-12 00:00:00+05:30,320.15,323,317,320.45,363059
2016-01-13 00:00:00+05:30,323,324.4,310.05,320.45,147775
2016-01-14 00:00:00+05:30,318,327.75,310.05,325.9,102177
2016-01-15 00:00:00+05:30,327.85,327.85,311.05,314.05,106435
2016-01-18 00:00:00+05:30,308.55,322.5,300,313.25,487276
2016-01-19 00:00:00+05:30,313,322,310.15,319.95,61528
2016-01-20 00:00:00+05:30,318.65,318.65,310,313.2,80012
2016-01-21 00:00:00+05:30,314.9,315.55,304,311,95675
2016-01-22 00:00:00+05:30,314.05,314.15,307.15,309.1,140921
