date,open,high,low,close,volume,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir,bb_middle,bb_upper,bb_lower
2003-01-27 00:00:00+05:30,15.05,15.05,14.2,14.25,174733,,,,,,1,,,
2003-01-28 00:00:00+05:30,14.75,14.75,14.05,14.25,99020,14.5,14.625,14.375,0.017241379310344827,,1,,,
2003-01-29 00:00:00+05:30,14.55,14.9,14.2,14.35,157359,14.35,14.4,14.299999999999999,0.006968641114982677,,1,,,
2003-01-30 00:00:00+05:30,15.05,15.4,14.35,14.7,167972,14.483333333333334,14.55,14.416666666666668,0.00920598388952816,,1,,,
2003-01-31 00:00:00+05:30,14.9,14.9,14.4,14.55,88811,14.816666666666668,14.875,14.758333333333336,0.007874015748031288,,1,,,
2003-02-03 00:00:00+05:30,14.6,14.6,14.35,14.35,53860,14.616666666666667,14.65,14.583333333333334,0.004561003420752549,,1,,,
2003-02-04 00:00:00+05:30,14.6,14.9,14.1,14.75,194974,14.433333333333332,14.475,14.391666666666664,0.005773672055427417,,1,,,
2003-02-05 00:00:00+05:30,14.8,14.8,14.4,14.7,83538,14.583333333333334,14.5,14.666666666666668,0.01142857142857151,,1,,,
2003-02-06 00:00:00+05:30,14.6,14.9,14.45,14.85,111346,14.633333333333335,14.600000000000001,14.666666666666668,0.00455580865603643,,1,,,
2003-02-07 00:00:00+05:30,14.5,14.85,14.5,14.55,129650,14.733333333333334,14.675,14.791666666666668,0.007918552036199126,,1,,,
2003-02-10 00:00:00+05:30,14.45,14.6,14.45,14.5,54900,14.633333333333335,14.675,14.591666666666669,0.005694760820045477,,1,,,
2003-02-11 00:00:00+05:30,14.6,14.75,14.5,14.6,144014,14.516666666666666,14.524999999999999,14.508333333333333,0.0011481056257175008,,1,,,
2003-02-12 00:00:00+05:30,14.55,14.8,14.5,14.75,255025,14.616666666666667,14.625,14.608333333333334,0.0011402508551880766,,1,,,
2003-02-14 00:00:00+05:30,14.65,14.65,14.4,14.5,82373,14.683333333333332,14.65,14.716666666666663,0.004540295119182489,,1,,,
2003-02-17 00:00:00+05:30,14.6,14.85,14.55,14.75,136300,14.516666666666666,14.525,14.508333333333331,0.0011481056257177456,,1,,,
2003-02-18 00:00:00+05:30,14.75,14.95,14.6,14.85,107797,14.716666666666667,14.7,14.733333333333334,0.0022650056625142688,,1,,,
2003-02-19 00:00:00+05:30,14.65,15.1,14.65,15.05,81556,14.799999999999999,14.774999999999999,14.825,0.0033783783783784267,,1,,,
2003-02-20 00:00:00+05:30,15.05,15.3,14.85,15.25,157145,14.933333333333332,14.875,14.991666666666664,0.0078124999999997944,,1,,,
2003-02-21 00:00:00+05:30,13.9,15.3,13.9,15.2,200605,15.133333333333333,15.075,15.191666666666666,0.007709251101321617,,1,,,
2003-02-24 00:00:00+05:30,15.15,15.65,15.15,15.6,287680,14.800000000000002,14.600000000000001,15.000000000000004,0.027027027027027167,,1,,,
2003-02-25 00:00:00+05:30,15.35,15.65,15.3,15.4,106488,15.466666666666667,15.4,15.533333333333333,0.008620689655172382,,1,,,
2003-02-26 00:00:00+05:30,14.95,15.65,14.95,15.55,619281,15.450000000000001,15.475000000000001,15.425,0.0032362459546926023,,1,,,
2003-02-27 00:00:00+05:30,15.8,15.8,15.45,15.6,155959,15.383333333333335,15.3,15.466666666666669,0.010834236186348939,,1,,,
2003-02-28 00:00:00+05:30,15.75,17.15,15.55,16.85,3567484,15.616666666666667,15.625,15.608333333333334,0.001067235859124806,,1,,,
2003-03-03 00:00:00+05:30,17.25,18.55,17.2,17.75,3511990,16.51666666666667,16.35,16.683333333333337,0.020181634712411845,,1,15.02,16.60543369460851,13.434566305391487
2003-03-04 00:00:00+05:30,17.95,17.95,17.2,17.4,1440141,17.833333333333332,17.875,17.791666666666664,0.0046728971962618155,13.590999999999998,1,15.145999999999999,16.951972314294988,13.34002768570501
2003-03-05 00:00:00+05:30,17.5,17.5,16.8,17.05,1397689,17.516666666666666,17.575,17.458333333333332,0.006660323501427239,13.590999999999998,1,15.258,17.17188191903262,13.344118080967377
2003-03-06 00:00:00+05:30,16.9,17.1,16.65,16.8,508157,17.116666666666664,17.15,17.08333333333333,0.003894839337877507,13.590999999999998,1,15.356,17.324008130064506,13.387991869935494
2003-03-07 00:00:00+05:30,16.55,16.7,16.0,16.15,1241584,16.849999999999998,16.875,16.824999999999996,0.0029673590504453572,13.590999999999998,1,15.413999999999998,17.38671792205576,13.441282077944239
2003-03-10 00:00:00+05:30,16.4,16.4,16.0,16.05,373200,16.283333333333335,16.35,16.21666666666667,0.008188331627430882,13.590999999999998,1,15.473999999999998,17.429120456647105,13.518879543352892
2003-03-11 00:00:00+05:30,16.1,16.25,15.9,16.15,251576,16.150000000000002,16.2,16.100000000000005,0.006191950464395932,13.590999999999998,1,15.546000000000001,17.462438363214428,13.629561636785574
2003-03-12 00:00:00+05:30,16.15,16.2,15.75,15.8,241400,16.099999999999998,16.075,16.124999999999996,0.003105590062111625,13.590999999999998,1,15.588,17.47866760695792,13.697332393042078
2003-03-13 00:00:00+05:30,15.7,16.3,15.7,16.15,154918,15.916666666666666,15.975,15.858333333333333,0.007329842931937203,13.590999999999998,1,15.646,17.51295902472443,13.77904097527557
2003-03-17 00:00:00+05:30,16.05,16.15,15.65,15.9,644145,16.05,16.0,16.1,0.006230529595015665,13.590999999999998,1,15.687999999999999,17.528495585433443,13.847504414566556
2003-03-19 00:00:00+05:30,16.2,16.2,15.25,15.65,427620,15.899999999999999,15.899999999999999,15.899999999999999,0.0,13.590999999999998,1,15.732000000000001,17.513208578465754,13.950791421534246
2003-03-20 00:00:00+05:30,15.85,16.0,15.0,15.85,239262,15.700000000000001,15.725,15.675000000000002,0.0031847133757959972,13.590999999999998,1,15.786,17.494922467521565,14.077077532478436
2003-03-21 00:00:00+05:30,15.4,16.15,14.4,15.95,235813,15.616666666666667,15.5,15.733333333333334,0.014941302027748193,13.590999999999998,1,15.84,17.479512122553533,14.200487877446466
2003-03-24 00:00:00+05:30,15.9,15.95,15.65,15.7,104025,15.5,15.274999999999999,15.725000000000001,0.02903225806451631,13.590999999999998,1,15.878000000000002,17.457640465422433,14.298359534577571
2003-03-25 00:00:00+05:30,15.55,15.7,15.5,15.6,96445,15.766666666666666,15.8,15.73333333333333,0.0042283298097253695,13.590999999999998,1,15.922,17.403912278105555,14.440087721894447
2003-03-26 00:00:00+05:30,15.0,16.25,14.4,15.6,179311,15.6,15.6,15.6,0.0,13.590999999999998,1,15.956000000000001,17.366055318063797,14.545944681936206
2003-03-27 00:00:00+05:30,15.55,15.8,15.15,15.25,403662,15.416666666666666,15.325,15.508333333333333,0.011891891891891907,13.590999999999998,1,15.972000000000001,17.339941519217835,14.60405848078217
2003-03-28 00:00:00+05:30,15.2,15.75,14.25,15.35,285206,15.4,15.475000000000001,15.325,0.009740259740259879,13.590999999999998,1,15.983999999999998,17.324364129630446,14.643635870369549
2003-03-31 00:00:00+05:30,15.3,15.55,14.9,14.95,302581,15.116666666666667,15.0,15.233333333333334,0.01543550165380381,13.590999999999998,1,15.971999999999998,17.34344595227081,14.600554047729187
2003-04-01 00:00:00+05:30,15.55,15.55,14.85,15.2,69533,15.133333333333335,15.225000000000001,15.041666666666668,0.012114537444933935,13.590999999999998,1,15.972000000000001,17.343445952270812,14.60055404772919
2003-04-02 00:00:00+05:30,16.2,16.2,15.0,15.65,89952,15.199999999999998,15.2,15.199999999999996,2.3373116307898036e-16,13.590999999999998,1,15.973999999999998,17.34341447341555,14.604585526584447
2003-04-03 00:00:00+05:30,15.75,15.8,15.3,15.4,27260,15.616666666666667,15.6,15.633333333333335,0.002134471718249839,13.590999999999998,1,15.974,17.34341447341555,14.604585526584449
2003-04-04 00:00:00+05:30,16.4,16.4,15.1,15.25,222200,15.5,15.55,15.45,0.006451612903225898,13.590999999999998,1,15.961999999999998,17.351181053714736,14.57281894628526
2003-04-07 00:00:00+05:30,15.25,15.45,15.25,15.3,243034,15.583333333333334,15.75,15.416666666666668,0.021390374331550725,13.590999999999998,1,15.95,17.356556077801375,14.543443922198623
2003-04-08 00:00:00+05:30,15.4,15.4,15.1,15.2,119306,15.333333333333334,15.35,15.316666666666668,0.0021739130434781373,13.590999999999998,1,15.884,17.27013707835841,14.497862921641591
2003-04-09 00:00:00+05:30,15.25,15.4,15.15,15.25,85016,15.233333333333334,15.25,15.216666666666669,0.0021881838074397004,13.590999999999998,1,15.784,16.96237854698734,14.605621453012663
2003-04-10 00:00:00+05:30,15.25,15.75,14.95,15.15,287726,15.266666666666666,15.275,15.258333333333331,0.0010917030567687298,13.590999999999998,1,15.694,16.695327119377076,14.692672880622927
2003-04-11 00:00:00+05:30,15.4,15.65,14.9,15.05,187137,15.283333333333333,15.35,15.216666666666667,0.008724100327153731,13.590999999999998,1,15.614,16.47957264282092,14.748427357179084
2003-04-15 00:00:00+05:30,15.15,15.5,15.1,15.2,347351,15.200000000000001,15.275,15.125000000000002,0.009868421052631485,13.590999999999998,1,15.55,16.281573646326866,14.818426353673136
2003-04-16 00:00:00+05:30,15.05,15.45,15.05,15.3,262950,15.266666666666666,15.3,15.23333333333333,0.004366812227074453,13.590999999999998,1,15.516000000000002,16.210964747307365,14.82103525269264
2003-04-17 00:00:00+05:30,15.3,16.2,14.1,14.45,417231,15.266666666666666,15.25,15.283333333333331,0.0021834061135369938,13.590999999999998,1,15.452,16.228391653741838,14.675608346258162
2003-04-21 00:00:00+05:30,14.55,14.9,14.5,14.7,147708,14.916666666666666,15.149999999999999,14.683333333333334,0.03128491620111721,13.590999999999998,1,15.393999999999998,16.16979378703363,14.618206212966367
2003-04-22 00:00:00+05:30,14.6,14.9,14.4,14.45,130289,14.699999999999998,14.7,14.699999999999996,2.416812026394899e-16,13.590999999999998,1,15.34,16.18047605557802,14.499523944421982
2003-04-23 00:00:00+05:30,14.5,14.7,14.35,14.45,156709,14.583333333333334,14.65,14.516666666666667,0.00914285714285711,13.590999999999998,1,15.271999999999998,16.114415574404926,14.42958442559507
2003-04-24 00:00:00+05:30,14.05,14.55,14.05,14.2,248196,14.5,14.524999999999999,14.475000000000001,0.0034482758620687694,13.590999999999998,1,15.204,16.1050749136448,14.3029250863552
2003-04-25 00:00:00+05:30,14.1,14.3,14.05,14.1,131195,14.266666666666666,14.3,14.23333333333333,0.004672897196261915,13.590999999999998,1,15.141999999999998,16.121665248949853,14.162334751050143
2003-04-28 00:00:00+05:30,14.2,15.1,13.95,14.0,163986,14.15,14.175,14.125,0.00353356890459369,13.590999999999998,1,15.068,16.100619968817174,14.035380031182825
2003-04-29 00:00:00+05:30,14.1,14.2,13.85,14.0,172572,14.35,14.524999999999999,14.175,0.024390243902438876,13.590999999999998,1,14.99,16.03880884817014,13.941191151829859
2003-04-30 00:00:00+05:30,14.0,14.25,14.0,14.05,196474,14.016666666666666,14.024999999999999,14.008333333333333,0.0011890606420926792,13.590999999999998,1,14.924,15.993250204582623,13.854749795417376
2003-05-02 00:00:00+05:30,14.5,14.5,14.15,14.25,316844,14.1,14.125,14.075,0.0035460992907801925,13.590999999999998,1,14.87,15.933578864024657,13.806421135975341
2003-05-05 00:00:00+05:30,14.35,15.05,14.35,14.9,331252,14.299999999999999,14.325,14.274999999999999,0.0034965034965035464,13.590999999999998,1,14.841999999999999,15.863246297422897,13.8207537025771
2003-05-06 00:00:00+05:30,15.1,15.45,14.9,15.15,276105,14.766666666666666,14.7,14.833333333333332,0.009029345372460465,13.590999999999998,1,14.838,15.853590468643723,13.822409531356275
2003-05-07 00:00:00+05:30,15.05,15.7,14.75,15.4,539347,15.166666666666666,15.175,15.158333333333331,0.0010989010989012706,13.590999999999998,1,14.84,15.859803902718546,13.820196097281453
2003-05-08 00:00:00+05:30,15.4,15.75,15.05,15.3,870040,15.283333333333333,15.225,15.341666666666667,0.007633587786259573,13.590999999999998,1,14.854,15.888957003937835,13.819042996062164
2003-05-09 00:00:00+05:30,14.85,15.75,14.85,15.65,340040,15.366666666666667,15.4,15.333333333333334,0.004338394793926232,13.590999999999998,1,14.871999999999998,15.945342443025513,13.798657556974483
2003-05-12 00:00:00+05:30,15.55,15.8,15.3,15.45,272746,15.416666666666666,15.3,15.533333333333331,0.015135135135134967,13.590999999999998,1,14.864,15.916813373775229,13.811186626224773
2003-05-13 00:00:00+05:30,15.15,15.8,15.15,15.75,302436,15.516666666666666,15.55,15.48333333333333,0.004296455424275187,13.590999999999998,1,14.878000000000002,15.967616446278223,13.788383553721781
2003-05-14 00:00:00+05:30,15.75,15.95,15.75,15.9,191939,15.566666666666668,15.475000000000001,15.658333333333335,0.011777301927194875,13.590999999999998,1,14.904000000000002,16.05705507240547,13.750944927594533
2003-05-15 00:00:00+05:30,15.95,16.45,15.9,16.4,761929,15.866666666666667,15.85,15.883333333333335,0.002100840336134558,13.590999999999998,1,14.948000000000002,16.234384079503467,13.661615920496537
2003-05-16 00:00:00+05:30,16.45,16.8,15.9,16.05,433945,16.25,16.175,16.325,0.009230769230769143,13.590999999999998,1,14.981999999999998,16.336364795762194,13.6276352042378
2003-05-19 00:00:00+05:30,16.15,16.3,15.55,15.65,413873,16.25,16.35,16.15,0.012307692307692483,13.590999999999998,1,14.998,16.37393023078933,13.622069769210668
2003-05-20 00:00:00+05:30,15.7,16.0,15.6,15.85,150697,15.833333333333334,15.925,15.741666666666667,0.011578947368421067,13.590999999999998,1,15.026,16.44109575647727,13.610904243522729
2003-05-21 00:00:00+05:30,15.9,16.15,15.65,15.75,236765,15.816666666666668,15.8,15.833333333333336,0.002107481559536459,13.590999999999998,1,15.053999999999998,16.497307313083382,13.610692686916613
2003-05-22 00:00:00+05:30,14.4,15.95,14.4,15.35,363528,15.85,15.899999999999999,15.8,0.0063091482649840925,13.590999999999998,1,15.06,16.50692777981487,13.613072220185133
2003-05-23 00:00:00+05:30,15.95,15.95,15.05,15.15,206751,15.233333333333334,15.175,15.291666666666668,0.007658643326039418,13.590999999999998,1,15.053999999999998,16.498138497513303,13.609861502486694
2003-05-26 00:00:00+05:30,15.2,15.55,15.15,15.35,249147,15.383333333333333,15.5,15.266666666666666,0.015167930660888469,13.590999999999998,1,15.09,16.51688471853895,13.663115281461048
2003-05-27 00:00:00+05:30,15.6,15.75,15.25,15.3,333928,15.350000000000001,15.350000000000001,15.350000000000001,0.0,13.590999999999998,1,15.114,16.534005633791637,13.693994366208365
2003-05-28 00:00:00+05:30,15.85,15.85,15.05,15.15,248867,15.433333333333332,15.5,15.366666666666664,0.008639308855291777,13.590999999999998,1,15.142000000000001,16.535895261488463,13.748104738511541
2003-05-29 00:00:00+05:30,15.2,15.2,15.0,15.15,386176,15.35,15.45,15.25,0.013029315960912006,13.590999999999998,1,15.170000000000002,16.53499084246012,13.805009157539883
2003-05-30 00:00:00+05:30,15.25,16.05,15.1,15.65,1077968,15.116666666666667,15.1,15.133333333333335,0.0022050716648292167,13.590999999999998,1,15.228,16.54559781420583,13.910402185794169
2003-06-02 00:00:00+05:30,16.0,17.05,15.9,16.65,1443914,15.6,15.575,15.625,0.0032051282051282506,13.590999999999998,1,15.33,16.676996659238615,13.983003340761387
2003-06-03 00:00:00+05:30,16.65,16.85,16.05,16.55,492675,16.533333333333335,16.475,16.59166666666667,0.007056451612903253,13.590999999999998,1,15.432,16.746497622668063,14.117502377331938
2003-06-04 00:00:00+05:30,16.55,17.0,16.55,16.7,440215,16.483333333333334,16.450000000000003,16.516666666666666,0.0040444893832151385,13.590999999999998,1,15.54,16.809015366337217,14.27098463366278
2003-06-05 00:00:00+05:30,17.0,17.05,16.25,16.5,447144,16.75,16.775,16.725,0.002985074626865502,13.590999999999998,1,15.638,16.805999999999994,14.470000000000006
2003-06-06 00:00:00+05:30,16.55,16.65,16.1,16.2,415663,16.599999999999998,16.65,16.549999999999997,0.006024096385542255,13.590999999999998,1,15.716,16.756276886218274,14.675723113781725
2003-06-09 00:00:00+05:30,16.4,17.2,16.4,17.1,747778,16.316666666666666,16.375,16.258333333333333,0.007150153217568977,13.590999999999998,1,15.804,16.922541908021326,14.685458091978674
2003-06-10 00:00:00+05:30,17.2,18.0,17.15,17.8,1660920,16.9,16.799999999999997,17.0,0.011834319526627389,13.590999999999998,1,15.91,17.242366315995714,14.577633684004287
2003-06-11 00:00:00+05:30,17.55,18.4,17.35,18.05,1647407,17.650000000000002,17.575,17.725000000000005,0.008498583569405421,13.590999999999998,1,16.016000000000002,17.572077118911526,14.459922881088477
2003-06-12 00:00:00+05:30,18.25,18.45,17.85,18.05,621385,17.933333333333334,17.875,17.991666666666667,0.006505576208178465,13.590999999999998,1,16.126,17.84439925512088,14.407600744879124
2003-06-13 00:00:00+05:30,18.05,18.25,17.85,18.15,644604,18.116666666666664,18.15,18.08333333333333,0.0036798528058879483,13.590999999999998,1,16.226,18.10538713414772,14.346612865852277
2003-09-12 00:00:00+05:30,21.45,21.65,21.15,21.25,264193,18.083333333333332,18.05,18.116666666666664,0.0036866359447002514,15.678674404268117,1,16.458,19.15224275075576,13.763757249244236
2003-09-15 00:00:00+05:30,21.9,21.9,20.9,21.1,126303,21.349999999999998,21.4,21.299999999999997,0.004683840749414587,15.678674404268117,1,16.672,19.90360393612831,13.440396063871692
2003-09-16 00:00:00+05:30,20.9,21.6,20.65,21.4,275142,21.3,21.4,21.200000000000003,0.009389671361502146,15.678674404268117,1,16.892,20.597528842149252,13.186471157850747
2003-09-17 00:00:00+05:30,21.7,21.7,20.9,21.15,447861,21.216666666666665,21.125,21.30833333333333,0.008641005498821526,15.678674404268117,1,17.081999999999997,21.137700186157744,13.02629981384225
2003-09-18 00:00:00+05:30,21.95,22.1,19.45,21.0,276508,21.249999999999996,21.299999999999997,21.199999999999996,0.004705882352941244,15.678674404268117,1,17.28,21.590174010408397,12.969825989591607
2003-09-19 00:00:00+05:30,20.9,21.5,20.65,21.1,362979,20.849999999999998,20.775,20.924999999999997,0.0071942446043164795,15.678674404268117,1,17.498,22.00323961626904,12.992760383730964
2003-09-22 00:00:00+05:30,21.05,21.25,20.4,20.5,201523,21.083333333333332,21.075,21.091666666666665,0.00079051383399205,15.678674404268117,1,17.684,22.28467125537133,13.083328744628673
2003-09-23 00:00:00+05:30,20.55,21.3,20.4,21.2,217543,20.716666666666665,20.825,20.60833333333333,0.010458567980691967,15.678674404268117,1,17.902,22.63016920171011,13.173830798289892
2003-09-24 00:00:00+05:30,21.25,21.25,20.75,21.15,341574,20.96666666666667,20.85,21.083333333333336,0.011128775834658232,15.678674404268117,1,18.134,22.90748677593224,13.360513224067757
2003-09-25 00:00:00+05:30,21.3,21.45,20.65,20.75,244401,21.05,21.0,21.1,0.0047505938242280955,15.678674404268117,1,18.358,23.075599389520058,13.640400610479944
2003-09-26 00:00:00+05:30,20.15,21.25,20.15,21.2,227876,20.95,21.049999999999997,20.85,0.009546539379474738,15.678674404268117,1,18.592,23.26974988643044,13.914250113569558
