date,open,high,low,close,volume
2015-04-01 00:00:00+05:30,148.6,150.9,146.25,147.65,2905550
2015-04-06 00:00:00+05:30,148.6,153.25,147.5,152.85,2074920
2015-04-07 00:00:00+05:30,154.3,157,152.5,155.85,3289130
2015-04-08 00:00:00+05:30,156.95,161.3,156.25,160.6,2378670
2015-04-09 00:00:00+05:30,160.9,162,158.7,160.5,2310000
2015-04-10 00:00:00+05:30,160.5,163.65,158.5,160.8,2024780
2015-04-13 00:00:00+05:30,160,162.5,158.9,159.45,820980
2015-04-15 00:00:00+05:30,159.6,161.3,154.8,155.75,1165750
2015-04-16 00:00:00+05:30,155.7,157.3,152,152.55,1051720
2015-04-17 00:00:00+05:30,152.75,153.95,146,147.45,1582200
2015-04-20 00:00:00+05:30,147.6,148.75,141.3,143.9,2464360
2015-04-21 00:00:00+05:30,143.2,147.4,141.5,143.4,2355180
2015-04-22 00:00:00+05:30,144.1,145.1,139.35,142.95,6094570
2015-04-23 00:00:00+05:30,143.6,146.65,140.9,142.05,2332380
2015-04-24 00:00:00+05:30,142,142.95,140,140.85,1336610
2015-04-27 00:00:00+05:30,140.9,143.5,135.95,138.8,2542610
2015-04-28 00:00:00+05:30,138.35,142.4,136.5,141.85,5133500
2015-04-29 00:00:00+05:30,141.7,146.4,141.3,145.25,2087100
2015-04-30 00:00:00+05:30,144.2,152,142.85,149.1,3587930
2015-05-04 00:00:00+05:30,149.8,151.5,148.55,150.3,954900
2015-05-05 00:00:00+05:30,149.8,154.45,148.5,149.4,721510
2015-05-06 00:00:00+05:30,149,149.3,139.25,140.25,1671270
2015-05-07 00:00:00+05:30,139.6,144.4,138.7,142,1829310
2015-05-08 00:00:00+05:30,143,145,140.5,143.1,914240
2015-05-11 00:00:00+05:30,143.1,148.75,143.1,147.55,2335800
2015-05-12 00:00:00+05:30,147.55,148,143.5,146.35,994310
2015-05-13 00:00:00+05:30,146,156.2,146,155.15,3849930
2015-05-14 00:00:00+05:30,155.5,159.2,154,156.65,7176910
2015-05-15 00:00:00+05:30,163.2,177.5,163.2,175.2,29700060
2015-05-18 00:00:00+05:30,175.3,176.7,172,175.3,5880230
2015-05-19 00:00:00+05:30,173.85,178.95,173.7,175.8,4362770
2015-05-20 00:00:00+05:30,176,178.45,175.2,176.05,3813970
2015-05-21 00:00:00+05:30,176.5,179,174.8,176.6,3999990
2015-05-22 00:00:00+05:30,176.2,177.4,174.5,175.15,2018820
2015-05-25 00:00:00+05:30,174,175.95,173.2,174.4,1029980
2015-05-26 00:00:00+05:30,173,175.6,172.8,174.7,2040470
2015-05-27 00:00:00+05:30,171.7,177.65,171.7,175.8,2877810
2015-05-28 00:00:00+05:30,177,177.2,173.9,175.7,2820630
2015-05-29 00:00:00+05:30,174.7,180.2,174.4,179.05,5397540
2015-06-01 00:00:00+05:30,178,182.2,178,181.4,2115570
2015-06-02 00:00:00+05:30,181,181.3,173.45,175.15,2963950
2015-06-03 00:00:00+05:30,176,176.7,170.25,174.8,2274900
2015-06-04 00:00:00+05:30,175.45,175.45,172,173.1,993060
2015-06-05 00:00:00+05:30,172.2,174.45,170.1,170.8,718230
2015-06-08 00:00:00+05:30,170,172.1,167.35,169.15,983800
2015-06-09 00:00:00+05:30,169,169.3,165.95,167.5,1050460
2015-06-10 00:00:00+05:30,168.8,174.35,167.5,173.05,1927610
2015-06-11 00:00:00+05:30,174.3,176.3,169.1,170.05,1636900
2015-06-12 00:00:00+05:30,170.6,174.15,170,173.55,1510450
2015-06-15 00:00:00+05:30,173,176.7,173,176.15,1211930
2015-06-16 00:00:00+05:30,176.5,179.5,174.6,178.85,1457370
2015-06-17 00:00:00+05:30,179.75,180.95,177.75,179.15,1250600
2015-06-18 00:00:00+05:30,179,182.3,178.7,179.45,1637230
2015-06-19 00:00:00+05:30,180.6,183.5,179,182.3,2313090
2015-06-22 00:00:00+05:30,182.8,184,181.4,183.15,2453130
2015-06-23 00:00:00+05:30,182,185,181.2,181.9,3326510
2015-06-24 00:00:00+05:30,182.4,182.8,179.9,180.35,1670060
2015-06-25 00:00:00+05:30,180,186.6,179.35,185.4,2055930
2015-06-26 00:00:00+05:30,186.45,186.9,183.55,185.65,4657310
2015-06-29 00:00:00+05:30,182.95,184.8,181.9,183.9,1652120
2015-06-30 00:00:00+05:30,183.6,187.7,183.6,185.75,2051640
2015-07-01 00:00:00+05:30,185,188.2,184.5,186,1487940
2015-07-02 00:00:00+05:30,187,189.8,185.6,188.65,2479690
2015-07-03 00:00:00+05:30,189.25,193.7,189.25,191.4,2476400
2015-07-06 00:00:00+05:30,190,195,190,193.2,3217400
2015-07-07 00:00:00+05:30,193.2,195.95,192.6,193.7,3085980
2015-07-08 00:00:00+05:30,192.4,193.35,189.1,189.8,4634830
2015-07-09 00:00:00+05:30,190.2,192.2,186.8,187.9,2643620
2015-07-10 00:00:00+05:30,189.1,190.85,185.7,188.6,1473330
2015-07-13 00:00:00+05:30,187.4,189.4,186.2,187.25,2037130
2015-07-14 00:00:00+05:30,187.5,190.25,185.7,187.15,1607890
2015-07-15 00:00:00+05:30,189,189,185.8,187.55,1078590
2015-07-16 00:00:00+05:30,187.8,190.9,186.7,190.25,1506720
2015-07-17 00:00:00+05:30,191.5,193.1,188.7,189.35,2144670
2015-07-20 00:00:00+05:30,189.5,190.45,187.2,188.05,1117230
2015-07-21 00:00:00+05:30,188.2,190.9,186.15,187.25,1238480
2015-07-22 00:00:00+05:30,187.9,188.8,184.1,185.25,1623680
2015-07-23 00:00:00+05:30,183.6,187,183.55,184.25,1496450
2015-07-24 00:00:00+05:30,184.5,185.15,180.25,181.05,1938330
2015-07-27 00:00:00+05:30,180.7,180.7,176.55,177.8,2042880
2015-07-28 00:00:00+05:30,177.85,182.45,175.2,181.6,2210160
2015-07-29 00:00:00+05:30,181.6,185.7,178.3,185.05,2043880
2015-07-30 00:00:00+05:30,186,186.9,184.15,185.05,2600820
2015-07-31 00:00:00+05:30,185.4,188.5,180.5,183.2,1409740
2015-08-03 00:00:00+05:30,184.75,188.5,183,187.7,932500
2015-08-04 00:00:00+05:30,188.5,190.7,186.4,188.15,5374710
2015-08-05 00:00:00+05:30,188.1,190.85,187.3,188.6,2915560
2015-08-06 00:00:00+05:30,188.7,192.5,185,189.25,2655980
2015-08-07 00:00:00+05:30,189.6,194.8,189.25,193.1,2266750
2015-08-10 00:00:00+05:30,194.5,194.6,190.6,191.9,2236440
2015-08-11 00:00:00+05:30,193.2,193.3,188.8,190.5,1580820
2015-08-12 00:00:00+05:30,189.5,192,180.55,181.7,3299490
2015-08-13 00:00:00+05:30,182.45,183.7,172.75,176.45,7160140
2015-08-14 00:00:00+05:30,171.6,184.6,168.9,183.1,5408950
2015-08-17 00:00:00+05:30,182.15,182.15,175.15,176.7,2545650
