date,open,high,low,close,volume
2022-11-22 00:00:00+05:30,778,786,675.1,689.95,15636034
2022-11-23 00:00:00+05:30,702,719.7,690.5,715.6,2346053
2022-11-24 00:00:00+05:30,716,739.8,705.1,730.1,1689717
2022-11-25 00:00:00+05:30,724.85,767.9,722,745.15,1915106
2022-11-28 00:00:00+05:30,745,764,734.55,749.9,759905
2022-11-29 00:00:00+05:30,753.7,754.75,731.15,733.95,462934
2022-11-30 00:00:00+05:30,735,738,722.15,725.15,347873
2022-12-01 00:00:00+05:30,728.25,745.25,728.25,739.45,279131
2022-12-02 00:00:00+05:30,738.95,747.95,724,740.2,328645
2022-12-05 00:00:00+05:30,740.2,751,734.95,741.95,238342
2022-12-06 00:00:00+05:30,735,744.95,729,739.9,155237
2022-12-07 00:00:00+05:30,735,796.75,735,759.55,1160261
2022-12-08 00:00:00+05:30,759.95,772,741,746.15,212406
2022-12-09 00:00:00+05:30,749.9,763,724.95,727.15,299354
2022-12-12 00:00:00+05:30,728.65,735.9,715.25,730.8,171216
2022-12-13 00:00:00+05:30,733.8,735.45,724,726,144431
2022-12-14 00:00:00+05:30,729.6,738,726,734.85,141865
2022-12-15 00:00:00+05:30,730,734.95,718.25,721.95,90870
2022-12-16 00:00:00+05:30,715,724.45,701.1,705.25,91513
2022-12-19 00:00:00+05:30,708.5,709,691.2,694.25,145490
2022-12-20 00:00:00+05:30,693.95,709,688.55,700.6,159281
2022-12-21 00:00:00+05:30,701,722.65,696.55,703.15,237160
2022-12-22 00:00:00+05:30,705,707,667.25,702.25,200700
2022-12-23 00:00:00+05:30,690,697,672.95,680.25,177531
2022-12-26 00:00:00+05:30,670.5,713.6,666.8,703.85,133235
2022-12-27 00:00:00+05:30,705,724.95,704.95,721.7,123539
2022-12-28 00:00:00+05:30,720,745.5,712.4,737.75,196026
2022-12-29 00:00:00+05:30,729.95,756,724.65,747.45,172325
2022-12-30 00:00:00+05:30,750,754,736.25,750.95,130907
2023-01-02 00:00:00+05:30,750,757.4,738.05,741.45,67794
2023-01-03 00:00:00+05:30,744,747.7,731.75,738.35,43130
2023-01-04 00:00:00+05:30,739,755.95,734.35,753.05,143152
2023-01-05 00:00:00+05:30,755,758,741.15,746.35,65554
2023-01-06 00:00:00+05:30,746.6,784.9,744.1,754.6,487821
2023-01-09 00:00:00+05:30,758.4,782.45,758.4,772.5,153238
2023-01-10 00:00:00+05:30,775,789,756,760.05,189874
2023-01-11 00:00:00+05:30,761.95,766.45,757,764.7,52191
2023-01-12 00:00:00+05:30,768.55,768.55,750,757,35001
2023-01-13 00:00:00+05:30,757,764,755,760.4,40097
2023-01-16 00:00:00+05:30,764.25,780,756,770.85,102004
2023-01-17 00:00:00+05:30,774.75,806.4,761.6,768.7,465856
2023-01-18 00:00:00+05:30,772.55,798,772.55,794,213125
2023-01-19 00:00:00+05:30,798,825.8,790,800.5,393381
2023-01-20 00:00:00+05:30,804,808,786.6,790.6,96442
2023-01-23 00:00:00+05:30,794.6,803,774.05,798.6,145124
2023-01-24 00:00:00+05:30,801.9,807.9,782.7,794.9,173288
2023-01-25 00:00:00+05:30,788.5,796.6,758,763.6,92841
2023-01-27 00:00:00+05:30,760,772.5,741.05,764.35,158601
2023-01-30 00:00:00+05:30,757.45,782.25,754.1,769.5,126959
2023-01-31 00:00:00+05:30,771.95,783.5,754.1,772.9,118704
2023-02-01 00:00:00+05:30,791.8,815,782,808.8,530852
2023-02-02 00:00:00+05:30,810,849,803.35,814.35,308577
2023-02-03 00:00:00+05:30,818.45,837.4,798.95,829.15,197649
2023-02-06 00:00:00+05:30,833.3,904,821.95,888.05,413977
2023-02-07 00:00:00+05:30,885,926.95,883.1,899.5,354212
2023-02-08 00:00:00+05:30,904,904,874.25,880.6,140532
2023-02-09 00:00:00+05:30,883,895.75,871,882.75,91113
2023-02-10 00:00:00+05:30,883,898.95,833.25,838.5,202483
2023-02-13 00:00:00+05:30,842.7,905.35,833.25,898.6,296630
2023-02-14 00:00:00+05:30,901,907.8,866,890.05,164004
2023-02-15 00:00:00+05:30,890.05,917.65,881.15,902.25,230105
2023-02-16 00:00:00+05:30,900,904.8,865.1,885.85,473555
2023-02-17 00:00:00+05:30,885,887.2,859.85,870.15,166777
2023-02-20 00:00:00+05:30,874.95,899,855,895.85,177031
2023-02-21 00:00:00+05:30,900.35,951.25,887.1,938.05,538767
2023-02-22 00:00:00+05:30,938.45,958.25,927.1,952.75,448429
2023-02-23 00:00:00+05:30,953.1,957.6,933,944.65,183525
2023-02-24 00:00:00+05:30,945,953.9,920,923.25,222303
2023-02-27 00:00:00+05:30,923.95,936.45,865.8,875.85,322988
2023-02-28 00:00:00+05:30,880.25,884.55,860.4,866.85,162528
2023-03-01 00:00:00+05:30,870.8,910,858.3,872.5,187788
2023-03-02 00:00:00+05:30,874.65,892,870,874.65,96484
2023-03-03 00:00:00+05:30,878,885,875,878.55,233726
2023-03-06 00:00:00+05:30,882.95,911.8,877.05,899.7,151329
2023-03-08 00:00:00+05:30,908.65,929,886.15,912.6,323226
2023-03-09 00:00:00+05:30,903.3,959.8,903.25,931.15,223091
2023-03-10 00:00:00+05:30,929.65,968.35,915.3,956.75,253444
2023-03-13 00:00:00+05:30,961.55,992.65,961.55,970.3,333296
2023-03-14 00:00:00+05:30,970.3,971,920,932.1,112062
2023-03-15 00:00:00+05:30,950,989.7,940.25,974.65,234946
2023-03-16 00:00:00+05:30,974.05,974.65,945,951.4,192562
2023-03-17 00:00:00+05:30,949,962.15,937.5,945.4,113098
2023-03-20 00:00:00+05:30,921.75,987,921.75,941.9,164900
2023-03-21 00:00:00+05:30,946.65,973,946.05,960.4,342737
2023-03-22 00:00:00+05:30,961,976,954.7,961.35,55518
2023-03-23 00:00:00+05:30,954.25,986,946.1,953,275786
2023-03-24 00:00:00+05:30,957.8,965,938.65,944.05,241980
2023-03-27 00:00:00+05:30,945,963,933.05,946.35,85217
2023-03-28 00:00:00+05:30,951.1,970,940,957.5,71864
2023-03-29 00:00:00+05:30,948,968.05,948,963.9,145208
2023-03-31 00:00:00+05:30,968.75,987.95,955.1,962.8,188618
2023-04-03 00:00:00+05:30,972.4,1070,960,1039,313837
2023-04-05 00:00:00+05:30,1040,1048,986,991,180229
2023-04-06 00:00:00+05:30,997,997,960.5,964.4,122040
2023-04-10 00:00:00+05:30,974.9,982,932.35,939.55,132428
2023-04-11 00:00:00+05:30,947.05,979.6,941,973.15,192481
2023-04-12 00:00:00+05:30,982.45,983.85,955,959.3,83849
2023-04-13 00:00:00+05:30,952,964.95,942.5,954.8,71988
2023-04-17 00:00:00+05:30,950,976.25,934.8,970.6,320712
2023-04-18 00:00:00+05:30,974.6,982,954.4,958.5,57062
2023-04-19 00:00:00+05:30,959,969.7,939.55,942.9,58490
2023-04-20 00:00:00+05:30,948.6,953,940.05,942.1,44406
2023-04-21 00:00:00+05:30,947.9,952.85,935.15,943.85,61339
2023-04-24 00:00:00+05:30,951.1,968,943,961,73246
2023-04-25 00:00:00+05:30,961.6,973.9,957,960.8,39601
2023-04-26 00:00:00+05:30,965,972,960.8,969.3,36865
2023-04-27 00:00:00+05:30,971,986.7,967,978.3,72221
2023-04-28 00:00:00+05:30,980,994.5,970.1,987.45,85768
2023-05-02 00:00:00+05:30,994.15,1014.3,989.85,998.75,78820
2023-05-03 00:00:00+05:30,987,1014,987,1003.6,77073
2023-05-04 00:00:00+05:30,1003.85,1034,1000.35,1021.7,81122
2023-05-05 00:00:00+05:30,1028.9,1028.9,992.9,999,57132
2023-05-08 00:00:00+05:30,1010,1012.5,964.25,978.8,53538
2023-05-09 00:00:00+05:30,979,995.35,951.55,967.1,81475
2023-05-10 00:00:00+05:30,967.9,979.7,964.95,974.5,38825
2023-05-11 00:00:00+05:30,977.9,1015.95,972.85,1009.45,178563
2023-05-12 00:00:00+05:30,1009.4,1052.5,1008.95,1018.75,158028
2023-05-15 00:00:00+05:30,1029.5,1030.4,987.7,996.9,87957
2023-05-16 00:00:00+05:30,1005,1015.55,991.15,998.95,60066
2023-05-17 00:00:00+05:30,1097,1190,1075.1,1169.3,2040425
2023-05-18 00:00:00+05:30,1180,1247.95,1121,1136,1302237
2023-05-19 00:00:00+05:30,1156,1201,1146,1186.8,497522
2023-05-22 00:00:00+05:30,1208,1328,1190,1306.95,795947
2023-05-23 00:00:00+05:30,1311,1326.9,1250,1276.8,344071
2023-05-24 00:00:00+05:30,1282,1348.4,1241.85,1323.25,235843
2023-05-25 00:00:00+05:30,1299.85,1346,1253.4,1310.45,142113
2023-05-26 00:00:00+05:30,1332,1343.2,1298,1323.15,103741
2023-05-29 00:00:00+05:30,1336.4,1344.95,1310,1319.3,53708
2023-05-30 00:00:00+05:30,1310,1428,1303,1371.95,392405
2023-05-31 00:00:00+05:30,1370.55,1454.75,1370.45,1430.7,503298
2023-06-01 00:00:00+05:30,1431.95,1440,1405.25,1428.1,164090
2023-06-02 00:00:00+05:30,1430.1,1453,1390,1401.15,110879
2023-06-05 00:00:00+05:30,1404.6,1428,1330,1339.7,173125
2023-06-06 00:00:00+05:30,1350,1427.25,1330,1418.5,232686
2023-06-07 00:00:00+05:30,1437,1446,1411.1,1436.65,126076
2023-06-08 00:00:00+05:30,1430,1487,1425,1449.45,150138
2023-06-09 00:00:00+05:30,1455,1535,1455,1494.45,295990
2023-06-12 00:00:00+05:30,1523,1562,1481.1,1529.55,155576
2023-06-13 00:00:00+05:30,1535,1619,1445.05,1600.5,276382
2023-06-14 00:00:00+05:30,1617.9,1624.7,1515,1537.7,785095
2023-06-15 00:00:00+05:30,1548.6,1588,1502.2,1529.45,352190
2023-06-16 00:00:00+05:30,1542.65,1573.9,1512.2,1562.15,423825
2023-06-19 00:00:00+05:30,1571.15,1597,1542.2,1557.7,99751
2023-06-20 00:00:00+05:30,1577,1589,1550,1580.55,230858
2023-06-21 00:00:00+05:30,1594.95,1615.45,1588,1598.25,632154
2023-06-22 00:00:00+05:30,1599.8,1599.8,1550,1561.8,65092
2023-06-23 00:00:00+05:30,1577.55,1580,1472.2,1499.1,93462
2023-06-26 00:00:00+05:30,1513.45,1536.75,1461.1,1521.05,144000
2023-06-27 00:00:00+05:30,1511,1549.7,1504,1541.45,110934
2023-06-28 00:00:00+05:30,1543.95,1555.35,1529,1532.45,135931
2023-06-30 00:00:00+05:30,1533.25,1544.25,1474,1505.4,310587
2023-07-03 00:00:00+05:30,1512.8,1588.8,1510.15,1551.2,204985
2023-07-04 00:00:00+05:30,1558.5,1582.5,1552,1576.05,150349
2023-07-05 00:00:00+05:30,1584.5,1655.1,1552.2,1615.4,222553
2023-07-06 00:00:00+05:30,1615.9,1629.8,1570,1576.55,179735
2023-07-07 00:00:00+05:30,1577,1610,1560.1,1605.7,116732
2023-07-10 00:00:00+05:30,1605.7,1636,1556.95,1591.8,246123
2023-07-11 00:00:00+05:30,1605,1769,1599,1662.3,595880
2023-07-12 00:00:00+05:30,1697,1719.8,1665.3,1704.15,447799
2023-07-13 00:00:00+05:30,1718,1781,1675.3,1689.6,385443
2023-07-14 00:00:00+05:30,1708.8,1779.5,1689.65,1774.95,311222
2023-07-17 00:00:00+05:30,1788,1855,1754.8,1844.95,367823
2023-07-18 00:00:00+05:30,1850,1869.7,1764,1775.25,167553
2023-07-19 00:00:00+05:30,1789.45,1871,1789.45,1816.45,255828
2023-07-20 00:00:00+05:30,1827.9,1852.7,1811,1817.2,152224
2023-07-21 00:00:00+05:30,1824,1830.65,1780.1,1799.1,94376
2023-07-24 00:00:00+05:30,1803,1829.95,1780,1805.6,85393
2023-07-25 00:00:00+05:30,1811.6,1894.95,1811.1,1842.2,288351
2023-07-26 00:00:00+05:30,1914.95,1914.95,1831.7,1848.9,123605
2023-07-27 00:00:00+05:30,1856.8,1865,1821,1836.45,64458
2023-07-28 00:00:00+05:30,1843.6,1843.6,1761.05,1787.15,133384
2023-07-31 00:00:00+05:30,1795.1,1823.35,1790,1813.55,132447
2023-08-01 00:00:00+05:30,1801,1829,1702.05,1735,503268
2023-08-02 00:00:00+05:30,1736.95,1804.7,1734.9,1769.8,184271
2023-08-03 00:00:00+05:30,1780,1799.9,1721.05,1756.4,472603
2023-08-04 00:00:00+05:30,1790,1838.95,1772.65,1806.3,540552
2023-08-07 00:00:00+05:30,1837.9,1847.9,1787,1806.35,137849
2023-08-08 00:00:00+05:30,1813.6,1825.4,1790.2,1815.35,112969
2023-08-09 00:00:00+05:30,1822.7,1825.75,1771.05,1783.55,68818
2023-08-10 00:00:00+05:30,1788.65,1796.2,1685,1719.25,242823
2023-08-11 00:00:00+05:30,1728,1758.75,1705.45,1731.95,79731
2023-08-14 00:00:00+05:30,1722.05,1772.95,1707.45,1750.25,127847
