date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,168,185,168,182,9700880
2015-01-02 00:00:00+05:30,184,185,174,175,8647765
2015-01-05 00:00:00+05:30,176,178,173,174,2144825
2015-01-06 00:00:00+05:30,173,173,169,171,2014545
2015-01-07 00:00:00+05:30,171,175,168,171,2723110
2015-01-08 00:00:00+05:30,173,173,169,171,2449270
2015-01-09 00:00:00+05:30,171,172,168,169,1510615
2015-01-12 00:00:00+05:30,169,173,168,172,2569495
2015-01-13 00:00:00+05:30,172,174,170,173,2295465
2015-01-14 00:00:00+05:30,172,173,169,170,752125
2015-01-15 00:00:00+05:30,171,174,169,170,1748090
2015-01-16 00:00:00+05:30,170,171,169,170,1086025
2015-01-19 00:00:00+05:30,170,173,170,172,1163440
2015-01-20 00:00:00+05:30,172,178,171,175,4816765
2015-01-21 00:00:00+05:30,175,176,172,174,1474050
2015-01-22 00:00:00+05:30,174,176,173,174,1556770
2015-01-23 00:00:00+05:30,174,177,170,174,2683075
2015-01-27 00:00:00+05:30,176,176,173,174,1152045
2015-01-28 00:00:00+05:30,174,175,170,171,1603345
2015-01-29 00:00:00+05:30,172,177,170,175,4037275
2015-01-30 00:00:00+05:30,177,181,174,176,3483340
2015-02-02 00:00:00+05:30,176,179,174,175,1541165
2015-02-03 00:00:00+05:30,175,176,172,173,1011155
2015-02-04 00:00:00+05:30,175,175,171,172,907120
2015-02-05 00:00:00+05:30,172,178,171,172,2455165
2015-02-06 00:00:00+05:30,173,174,170,170,1088355
2015-02-09 00:00:00+05:30,169,172,168,170,850040
2015-02-10 00:00:00+05:30,170,173,167,168,1424170
2015-02-11 00:00:00+05:30,171,172,169,170,651145
2015-02-12 00:00:00+05:30,172,172,170,171,961130
2015-02-13 00:00:00+05:30,172,178,171,172,3109400
2015-02-16 00:00:00+05:30,173,191,173,189,13650305
2015-02-18 00:00:00+05:30,191,202,191,200,13776530
2015-02-19 00:00:00+05:30,201,201,193,196,4467225
2015-02-20 00:00:00+05:30,196,200,194,195,3237960
2015-02-23 00:00:00+05:30,195,213,195,207,12662690
2015-02-24 00:00:00+05:30,207,209,198,203,3763645
2015-02-25 00:00:00+05:30,205,216,202,213,8360350
2015-02-26 00:00:00+05:30,213,214,206,208,3012955
2015-02-27 00:00:00+05:30,212,214,207,211,3118605
2015-03-02 00:00:00+05:30,238,258,238,245,20365115
2015-03-03 00:00:00+05:30,246,254,237,249,9055780
2015-03-04 00:00:00+05:30,249,253,238,241,4180065
2015-03-05 00:00:00+05:30,242,248,241,245,3575955
2015-03-09 00:00:00+05:30,243,253,242,248,5047240
2015-03-10 00:00:00+05:30,250,250,239,242,2232860
2015-03-11 00:00:00+05:30,243,243,235,237,2115410
2015-03-12 00:00:00+05:30,238,242,236,238,1816310
2015-03-13 00:00:00+05:30,240,241,228,231,1898655
2015-03-16 00:00:00+05:30,232,232,226,228,1292925
2015-03-17 00:00:00+05:30,229,230,224,228,1519535
2015-03-18 00:00:00+05:30,228,243,224,237,6539765
2015-03-19 00:00:00+05:30,239,242,232,234,2778560
2015-03-20 00:00:00+05:30,232,235,223,225,1700870
2015-03-23 00:00:00+05:30,226,239,225,235,3563200
2015-03-24 00:00:00+05:30,232,240,232,236,2171790
2015-03-25 00:00:00+05:30,237,239,233,234,1616640
2015-03-26 00:00:00+05:30,234,234,224,226,1646140
2015-03-27 00:00:00+05:30,229,230,216,226,1740275
2015-03-30 00:00:00+05:30,227,232,225,227,1533975
2015-03-31 00:00:00+05:30,228,232,224,224,2302210
2015-04-01 00:00:00+05:30,224,237,224,235,2801550
2015-04-06 00:00:00+05:30,236,237,230,231,1907625
2015-04-07 00:00:00+05:30,230,232,221,225,3549125
2015-04-08 00:00:00+05:30,228,234,226,227,2069395
2015-04-09 00:00:00+05:30,228,229,222,225,1289300
2015-04-10 00:00:00+05:30,225,234,225,231,3086030
2015-04-13 00:00:00+05:30,231,237,228,234,2694095
2015-04-15 00:00:00+05:30,234,235,227,229,1189660
2015-04-16 00:00:00+05:30,230,230,223,225,1075860
2015-04-17 00:00:00+05:30,226,229,223,224,958315
2015-04-20 00:00:00+05:30,225,226,216,217,1360315
2015-04-21 00:00:00+05:30,217,217,211,212,1003925
2015-04-22 00:00:00+05:30,212,219,206,216,1612685
2015-04-23 00:00:00+05:30,218,222,212,214,1553115
2015-04-24 00:00:00+05:30,214,215,203,205,1208260
2015-04-27 00:00:00+05:30,206,206,195,197,1420710
2015-04-28 00:00:00+05:30,197,208,195,203,1976320
2015-04-29 00:00:00+05:30,205,211,201,205,1521970
2015-04-30 00:00:00+05:30,204,210,202,209,1320475
2015-05-04 00:00:00+05:30,209,214,209,213,821050
2015-05-05 00:00:00+05:30,214,214,199,205,956895
2015-05-06 00:00:00+05:30,201,210,197,198,1435685
2015-05-07 00:00:00+05:30,197,199,193,194,1058625
2015-05-08 00:00:00+05:30,198,202,194,196,1430035
2015-05-11 00:00:00+05:30,198,205,197,203,1309505
2015-05-12 00:00:00+05:30,203,203,194,195,973425
2015-05-13 00:00:00+05:30,196,212,195,209,2765945
2015-05-14 00:00:00+05:30,210,217,207,211,1906985
2015-05-15 00:00:00+05:30,212,229,212,221,5199170
2015-05-18 00:00:00+05:30,221,224,217,219,1587685
2015-05-19 00:00:00+05:30,218,223,218,220,1515390
2015-05-20 00:00:00+05:30,221,223,220,221,970410
2015-05-21 00:00:00+05:30,219,229,217,227,2915565
2015-05-22 00:00:00+05:30,228,228,220,222,1480430
2015-05-25 00:00:00+05:30,222,222,217,218,632340
2015-05-26 00:00:00+05:30,216,222,215,216,1234430
2015-05-27 00:00:00+05:30,215,217,213,214,957325
2015-05-28 00:00:00+05:30,215,216,211,212,593300
2015-05-29 00:00:00+05:30,212,223,210,219,1890770
2015-06-01 00:00:00+05:30,221,224,216,217,1051995
2015-06-02 00:00:00+05:30,218,218,208,209,1669925
2015-06-03 00:00:00+05:30,209,210,199,205,1252410
2015-06-04 00:00:00+05:30,206,207,198,201,1278605
2015-06-05 00:00:00+05:30,200,204,199,200,1412230
2015-06-08 00:00:00+05:30,201,202,195,196,858330
2015-06-09 00:00:00+05:30,196,201,195,197,1767010
2015-06-10 00:00:00+05:30,197,202,197,198,1447105
2015-06-11 00:00:00+05:30,199,203,192,193,2024780
2015-06-12 00:00:00+05:30,193,195,190,191,925090
2015-06-15 00:00:00+05:30,193,196,191,193,800045
2015-06-16 00:00:00+05:30,192,200,188,199,1846755
2015-06-17 00:00:00+05:30,199,207,198,204,2968900
2015-06-18 00:00:00+05:30,206,211,201,209,2175720
2015-06-19 00:00:00+05:30,209,210,204,208,1263380
2015-06-22 00:00:00+05:30,207,211,206,209,713025
2015-06-23 00:00:00+05:30,211,219,210,213,2628040
2015-06-24 00:00:00+05:30,216,221,214,216,3986135
2015-06-25 00:00:00+05:30,216,216,211,213,866215
2015-06-26 00:00:00+05:30,213,216,210,213,930275
2015-06-29 00:00:00+05:30,207,208,203,206,981250
2015-06-30 00:00:00+05:30,206,210,204,209,941340
2015-07-01 00:00:00+05:30,210,216,210,213,1135720
2015-07-02 00:00:00+05:30,214,218,211,214,1322550
2015-07-03 00:00:00+05:30,215,216,212,213,712570
2015-07-06 00:00:00+05:30,210,221,208,219,1447475
2015-07-07 00:00:00+05:30,220,224,216,218,1895835
2015-07-08 00:00:00+05:30,217,218,210,212,948860
2015-07-09 00:00:00+05:30,213,215,210,211,624660
2015-07-10 00:00:00+05:30,215,215,205,206,1245085
2015-07-13 00:00:00+05:30,210,213,208,211,1026975
2015-07-14 00:00:00+05:30,212,214,211,213,618155
2015-07-15 00:00:00+05:30,213,220,213,217,1346820
2015-07-16 00:00:00+05:30,217,229,217,222,6974005
