date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,7.5,7.5,7.25,7.45,5050
2015-01-02 00:00:00+05:30,7.2,7.55,7,7.1,72520
2015-01-05 00:00:00+05:30,7,7.2,6.95,7.1,54140
2015-01-06 00:00:00+05:30,6.95,7.05,6.6,6.75,16450
2015-01-07 00:00:00+05:30,6.7,7,6.55,6.65,57010
2015-01-08 00:00:00+05:30,6.55,6.95,5.35,5.55,437430
2015-01-09 00:00:00+05:30,5.55,6.2,5.4,5.65,768270
2015-01-12 00:00:00+05:30,5.55,6.8,5.55,6.8,807480
2015-01-13 00:00:00+05:30,7,8,6.25,6.55,2318510
2015-01-14 00:00:00+05:30,6.7,7.85,6.7,7.85,2102560
2015-01-15 00:00:00+05:30,8.5,9,7.4,7.5,1620900
2015-01-16 00:00:00+05:30,7.55,7.7,7.05,7.35,478900
2015-01-19 00:00:00+05:30,7.5,7.7,6.9,7.1,183470
2015-01-20 00:00:00+05:30,7.2,7.4,6.9,7,122830
2015-01-21 00:00:00+05:30,7.6,7.6,6.1,7,672730
2015-01-22 00:00:00+05:30,6.75,7.25,6.75,6.9,149090
2015-01-23 00:00:00+05:30,7.1,7.15,6.85,6.85,42410
2015-01-27 00:00:00+05:30,7.1,7.1,6.6,6.7,41700
2015-01-28 00:00:00+05:30,6.9,7.85,6.65,6.95,715780
2015-01-29 00:00:00+05:30,7,8.35,7,8.3,2141590
2015-01-30 00:00:00+05:30,8.3,8.8,7.7,8.35,412970
2015-02-02 00:00:00+05:30,8.2,9.1,7.9,8.8,2217850
2015-02-03 00:00:00+05:30,8.6,9.2,8.5,8.9,517430
2015-02-04 00:00:00+05:30,8.9,9.6,8.9,9.15,294030
2015-02-05 00:00:00+05:30,9.15,10.05,9.05,9.2,1329630
2015-02-06 00:00:00+05:30,9.35,9.6,9,9.4,136390
2015-02-09 00:00:00+05:30,9.1,9.3,9,9.15,48190
2015-02-10 00:00:00+05:30,8.85,9.05,8.1,8.3,142700
2015-02-11 00:00:00+05:30,8.4,8.5,7.7,7.8,78690
2015-02-12 00:00:00+05:30,8,8.8,7.8,8.45,191830
2015-02-13 00:00:00+05:30,8.45,9.05,8.3,8.6,186350
2015-02-16 00:00:00+05:30,8.7,9.55,8.7,9,85290
2015-02-18 00:00:00+05:30,9.3,9.9,9.3,9.5,123470
2015-02-19 00:00:00+05:30,9.85,9.85,8.7,8.9,378800
2015-02-20 00:00:00+05:30,8.7,9.2,7.8,8.95,917870
2015-02-23 00:00:00+05:30,9,10.75,9,10.75,2198840
2015-02-24 00:00:00+05:30,11.15,11.8,9.85,10,3513830
2015-02-25 00:00:00+05:30,10.7,10.7,10,10.05,1077400
2015-02-26 00:00:00+05:30,10.5,11.8,10.15,11,4054700
2015-02-27 00:00:00+05:30,11.3,12.3,10.2,10.5,2551990
2015-03-02 00:00:00+05:30,10.5,11.8,10.5,11.6,845430
2015-03-03 00:00:00+05:30,11.8,12.05,11.3,11.5,594020
2015-03-04 00:00:00+05:30,11.6,11.9,11,11.35,388540
2015-03-05 00:00:00+05:30,11.1,11.7,11.1,11.45,796980
2015-03-09 00:00:00+05:30,11.1,12.35,10.7,12.05,1565590
2015-03-10 00:00:00+05:30,12.05,12.35,11.8,12.05,486460
2015-03-11 00:00:00+05:30,11.8,12.65,11.8,12.45,983030
2015-03-12 00:00:00+05:30,12.15,13,12.15,12.85,352750
2015-03-13 00:00:00+05:30,12.85,13,12.1,12.3,1271700
2015-03-16 00:00:00+05:30,12,12.9,12,12.65,202450
2015-03-17 00:00:00+05:30,12.3,12.7,12,12.2,167800
2015-03-18 00:00:00+05:30,12,12.45,12,12.3,33410
2015-03-19 00:00:00+05:30,12.2,12.6,11.65,12,31430
2015-03-20 00:00:00+05:30,11.5,12.15,10.8,11,64370
2015-03-23 00:00:00+05:30,11.05,11.75,11.05,11.3,39200
2015-03-24 00:00:00+05:30,10.7,11.45,10,10.5,1169350
2015-03-25 00:00:00+05:30,10.05,10.9,9.55,9.75,806230
2015-03-26 00:00:00+05:30,9.45,9.8,9.35,9.6,502530
2015-03-27 00:00:00+05:30,9.3,9.6,8.4,9.5,1070390
2015-03-30 00:00:00+05:30,9.75,9.9,9.3,9.8,990660
2015-03-31 00:00:00+05:30,9.65,10.6,9.35,9.45,132050
2015-04-01 00:00:00+05:30,9.1,9.85,9.1,9.8,53370
2015-04-06 00:00:00+05:30,9.7,10.55,9.5,10.5,1140120
2015-04-07 00:00:00+05:30,10.55,12.1,10.5,11.85,718110
2015-04-08 00:00:00+05:30,11.8,12.5,11.8,12,328810
2015-04-09 00:00:00+05:30,12.05,13,12.05,12.8,740450
2015-04-10 00:00:00+05:30,11.8,13.4,11.8,12.9,460730
2015-04-13 00:00:00+05:30,13.35,13.5,12.7,12.95,1530080
2015-04-15 00:00:00+05:30,13.1,15.55,13,15.45,2837710
2015-04-16 00:00:00+05:30,15.2,15.95,14.9,15.1,974300
2015-04-17 00:00:00+05:30,15,15.4,14.55,14.75,169190
2015-04-20 00:00:00+05:30,14.2,15.2,14.2,14.8,506030
2015-04-21 00:00:00+05:30,14.8,15.35,14.2,15,764080
2015-04-22 00:00:00+05:30,15.2,15.2,14.75,14.85,1160010
2015-04-23 00:00:00+05:30,14.9,15.4,14.9,15.1,100400
2015-04-24 00:00:00+05:30,15.1,15.1,14.5,14.9,282200
2015-04-27 00:00:00+05:30,14.6,14.9,14.5,14.7,149200
2015-04-28 00:00:00+05:30,14,14.55,13.2,13.4,379910
2015-04-29 00:00:00+05:30,12.7,14.15,12.7,13.45,211130
2015-04-30 00:00:00+05:30,13.7,13.7,13,13.5,78390
