date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,187.5,187.5,182,183.2,4318
2015-01-02 00:00:00+05:30,184.5,184.5,180,180.25,63018
2015-01-05 00:00:00+05:30,181.5,186,178.5,182.6,82426
2015-01-06 00:00:00+05:30,181.8,185,181,183.8,143634
2015-01-07 00:00:00+05:30,184.5,187.5,182.5,183.1,472322
2015-01-08 00:00:00+05:30,185.8,186.45,179.1,181.7,331650
2015-01-09 00:00:00+05:30,182.5,184,180.2,180.9,1005180
2015-01-12 00:00:00+05:30,177,182.5,177,179.1,76728
2015-01-13 00:00:00+05:30,174.5,181.9,174.5,179.9,62362
2015-01-14 00:00:00+05:30,180,181,179.5,180.1,12338
2015-01-15 00:00:00+05:30,182,184.5,176.2,182.6,723180
2015-01-16 00:00:00+05:30,182.4,184.9,182,182.6,573282
2015-01-19 00:00:00+05:30,182.6,184.5,180.75,182.2,274586
2015-01-20 00:00:00+05:30,183,187,181.6,185.3,515132
2015-01-21 00:00:00+05:30,186.35,192,184.2,189.6,187806
2015-01-22 00:00:00+05:30,189.9,190,188.5,189.4,84154
2015-01-23 00:00:00+05:30,190.5,192.5,188.5,190.4,1036546
2015-01-27 00:00:00+05:30,189.9,192,185.95,191,226620
2015-01-28 00:00:00+05:30,190,199.5,190,198.05,217758
2015-01-29 00:00:00+05:30,199.9,200.45,196.6,199.5,106322
2015-01-30 00:00:00+05:30,199.45,204,199.45,203.1,401850
2015-02-02 00:00:00+05:30,200.5,204,199.1,200.35,18072
2015-02-03 00:00:00+05:30,200.1,200.1,195.5,197.25,35696
2015-02-04 00:00:00+05:30,198.9,200,193.75,197.1,36330
2015-02-05 00:00:00+05:30,196.5,199.45,196.25,197.85,13792
2015-02-06 00:00:00+05:30,192.5,198.5,192.5,196.9,25512
2015-02-09 00:00:00+05:30,190,193,188,190.2,105298
2015-02-10 00:00:00+05:30,189.1,191,188.5,189.7,437964
2015-02-11 00:00:00+05:30,189.9,190.3,184.8,185.9,113492
2015-02-12 00:00:00+05:30,187.5,191.5,187.05,190,39248
2015-02-13 00:00:00+05:30,190,191,189.2,189.9,20750
2015-02-16 00:00:00+05:30,195.7,199.8,190.5,197.45,225688
2015-02-18 00:00:00+05:30,199.5,202.2,197.5,200,132840
2015-02-19 00:00:00+05:30,202.5,202.5,196.25,199.9,77922
2015-02-20 00:00:00+05:30,199.6,200,193.5,197.4,103536
2015-02-23 00:00:00+05:30,196.4,198.5,194.5,196,128924
2015-02-24 00:00:00+05:30,197.3,197.5,194,196,404912
2015-02-25 00:00:00+05:30,197,197,191.5,194.2,140902
2015-02-26 00:00:00+05:30,194,196,190,191.7,7076
2015-02-27 00:00:00+05:30,192.5,197,191.85,195.5,35262
2015-03-02 00:00:00+05:30,194.8,196.2,192.5,193.95,20636
2015-03-03 00:00:00+05:30,193.55,193.55,190.75,191.9,119678
2015-03-04 00:00:00+05:30,194,196.5,193.4,195,1781322
2015-03-05 00:00:00+05:30,195.8,202.4,191,192.05,478834
2015-03-09 00:00:00+05:30,191,191,184,187.65,1656888
2015-03-10 00:00:00+05:30,187.2,189,183.8,184.2,455296
2015-03-11 00:00:00+05:30,184.25,186.5,180.7,184.1,13452
2015-03-12 00:00:00+05:30,183.35,184.6,181,183.6,39872
2015-03-13 00:00:00+05:30,182.5,182.6,179,180.6,49408
2015-03-16 00:00:00+05:30,180.5,183.2,177,181.8,56188
2015-03-17 00:00:00+05:30,181,182.7,177.5,180.5,532558
2015-03-18 00:00:00+05:30,181.5,184.6,179.55,183.25,12094
2015-03-19 00:00:00+05:30,182.6,194.7,180.6,184.8,26598
2015-03-20 00:00:00+05:30,185.5,192.35,181.5,184.9,207852
2015-03-23 00:00:00+05:30,184,184,177.55,179,48882
2015-03-24 00:00:00+05:30,180,180,172.35,175,44026
2015-03-25 00:00:00+05:30,175.5,181,170.6,176.8,29722
2015-03-26 00:00:00+05:30,176,180.6,174.5,176.8,17440
2015-03-27 00:00:00+05:30,177.3,178.6,174.4,177.4,295270
2015-03-30 00:00:00+05:30,177.5,178.75,176,177,32084
2015-03-31 00:00:00+05:30,177.5,179.5,174,178.5,346854
2015-04-01 00:00:00+05:30,177.6,180,176,177.6,127890
2015-04-06 00:00:00+05:30,183,187.4,182.5,186.2,30300
2015-04-07 00:00:00+05:30,190.2,191,181.05,182.45,16906
2015-04-08 00:00:00+05:30,183,185,182.6,183.15,35304
2015-04-09 00:00:00+05:30,182.6,184.3,181,181.55,26516
2015-04-10 00:00:00+05:30,182.7,184.4,179,180,17524
2015-04-13 00:00:00+05:30,180.55,188.45,179.95,181.25,62118
2015-04-15 00:00:00+05:30,181.5,183.45,177.55,182.6,61466
2015-04-16 00:00:00+05:30,182.5,189.5,182.1,187.5,119272
2015-04-17 00:00:00+05:30,185.9,188.5,184.65,187.5,20400
2015-04-20 00:00:00+05:30,188.05,189.75,186.7,187.5,52932
2015-04-21 00:00:00+05:30,188.3,189.6,187,188.35,26022
2015-04-22 00:00:00+05:30,186.5,189.5,186.5,188.3,15830
2015-04-23 00:00:00+05:30,189,189.5,187.5,188.2,163718
2015-04-24 00:00:00+05:30,188.2,189,184,185.85,30770
2015-04-27 00:00:00+05:30,188.4,193.95,187.75,190,344826
2015-04-28 00:00:00+05:30,182.5,191.8,182.5,188.5,70406
2015-04-29 00:00:00+05:30,183,194.2,183,184.3,5236
2015-04-30 00:00:00+05:30,185.65,187.5,180.15,182.1,22436
2015-05-04 00:00:00+05:30,182.5,184.85,180.3,181.4,2478
2015-05-05 00:00:00+05:30,182.5,186,180.45,181.1,17198
2015-05-06 00:00:00+05:30,182.35,184.8,178.6,180.9,14916
2015-05-07 00:00:00+05:30,182.5,184.5,179,182.2,5652
2015-05-08 00:00:00+05:30,183.5,188.75,178.5,180.2,13366
2015-05-11 00:00:00+05:30,181.7,183.7,178.05,179,49428
2015-05-12 00:00:00+05:30,181.5,181.5,179,180.1,190934
2015-05-13 00:00:00+05:30,181.5,183.5,178.75,181.3,31754
2015-05-14 00:00:00+05:30,180,184.5,175.9,178.7,125100
2015-05-15 00:00:00+05:30,178.95,180.2,177.85,179.6,42180
2015-05-18 00:00:00+05:30,182.4,185.5,181,183.5,245174
2015-05-19 00:00:00+05:30,183,188,180.6,183.05,1415352
2015-05-20 00:00:00+05:30,183.05,187,183,183.6,5056
2015-05-21 00:00:00+05:30,182.6,183,179.05,179.65,9288
2015-05-22 00:00:00+05:30,179.4,182.5,175.15,177.85,13716
2015-05-25 00:00:00+05:30,177.5,179,176.8,177.5,51648
2015-05-26 00:00:00+05:30,178,178.95,177.25,178.2,3638
2015-05-27 00:00:00+05:30,178.2,182.5,176.9,179.7,6126
2015-05-28 00:00:00+05:30,178,184.7,178,183.8,19678
2015-05-29 00:00:00+05:30,182,193.2,173.3,187.3,63208
2015-06-01 00:00:00+05:30,187.5,191.5,187.4,190,14078
2015-06-02 00:00:00+05:30,192.4,192.4,186.65,188.6,176394
2015-06-03 00:00:00+05:30,188.75,188.75,186,186.65,193104
2015-06-04 00:00:00+05:30,184,186.9,179.05,179.5,4128
2015-06-05 00:00:00+05:30,179.5,182.5,178.65,179.75,6930
2015-06-08 00:00:00+05:30,180,180,171.1,176.25,7288
2015-06-09 00:00:00+05:30,176,176.5,173.6,174.25,2128
2015-06-10 00:00:00+05:30,173.2,175.1,168.55,170.6,44924
2015-06-11 00:00:00+05:30,176,176,170.1,172.2,218562
2015-06-12 00:00:00+05:30,170.7,183.5,170.7,180.6,35058
2015-06-15 00:00:00+05:30,181.2,186.5,179.2,180,411696
2015-06-16 00:00:00+05:30,179.85,182.5,179.2,182.3,395348
2015-06-17 00:00:00+05:30,182.7,185,179.25,183.05,12632
2015-06-18 00:00:00+05:30,184.35,188.5,183,187.1,56084
2015-06-19 00:00:00+05:30,190.55,193,185,188.35,76692
2015-06-22 00:00:00+05:30,190.4,195,188.1,191.1,111916
2015-06-23 00:00:00+05:30,190,190,187.75,188.6,67144
2015-06-24 00:00:00+05:30,189.5,189.5,186.75,188.75,59330
2015-06-25 00:00:00+05:30,188.75,189,188.25,188.5,133518
2015-06-26 00:00:00+05:30,186.8,190,186.8,188.6,91364
2015-06-29 00:00:00+05:30,186.5,189,185.5,187.95,44742
2015-09-28 00:00:00+05:30,165.5,167.5,162.5,166,25070
2015-09-29 00:00:00+05:30,163,165,158.25,162.4,19796
2015-09-30 00:00:00+05:30,165.05,175,161.1,161.9,301490
2015-10-01 00:00:00+05:30,163.5,164.6,158.55,159.1,51244
2015-10-05 00:00:00+05:30,159.1,163.45,159.1,161.5,52790
2015-10-06 00:00:00+05:30,162,166.8,161.5,164.1,115840
2015-10-07 00:00:00+05:30,168.2,168.5,166,167.3,259616
2015-10-08 00:00:00+05:30,167.5,167.5,163,163.55,205700
2015-10-09 00:00:00+05:30,163,164.5,160.1,161.5,263924
2015-10-12 00:00:00+05:30,163.25,163.25,160.65,161.75,5526
2015-10-13 00:00:00+05:30,160.2,164.9,160.2,161.9,4532
2015-10-14 00:00:00+05:30,160.5,163.5,160.5,162.6,3696
2015-10-15 00:00:00+05:30,163.1,164,162.25,162.6,5914
2015-10-16 00:00:00+05:30,164.4,164.4,162.5,163.5,3994
2015-10-19 00:00:00+05:30,164,164.75,161.7,164,4866
2015-10-20 00:00:00+05:30,162.55,164.75,162.55,163.6,5482
2015-10-21 00:00:00+05:30,163.5,172.5,162.8,166.2,725964
2015-10-23 00:00:00+05:30,165.5,167.8,165,165.8,163210
2015-10-26 00:00:00+05:30,165.8,168,165,167.8,69816
2015-10-27 00:00:00+05:30,167.5,167.5,166,166.4,1748
2015-10-28 00:00:00+05:30,166.25,166.4,162.55,164.5,2434
2015-10-29 00:00:00+05:30,164,164.5,163,163.8,3548
2015-10-30 00:00:00+05:30,162.6,168.5,162.6,167,5416
2015-11-02 00:00:00+05:30,166.5,168,165,167.4,31542
