date,open,high,low,close,volume
2020-03-16 00:00:00+05:30,661,755,656,681.4,60893377
2020-03-17 00:00:00+05:30,691,747.95,689,730.9,15147702
2020-03-18 00:00:00+05:30,752.1,769,680,689.2,8950986
2020-03-19 00:00:00+05:30,660,717,650,692.05,6432291
2020-03-20 00:00:00+05:30,706.25,730,690.25,724.5,6492749
2020-03-23 00:00:00+05:30,659,698,580,582.4,6260568
2020-03-24 00:00:00+05:30,620,623.95,575.05,613.7,4019346
2020-03-25 00:00:00+05:30,601,648.9,591.4,624.95,3488027
2020-03-26 00:00:00+05:30,634,693.8,621.45,650.95,4360649
2020-03-27 00:00:00+05:30,675,690,650,655.9,3114721
2020-03-30 00:00:00+05:30,640,642.7,607,615.35,1791951
2020-03-31 00:00:00+05:30,635,638,608.55,618.65,2334681
2020-04-01 00:00:00+05:30,624,624,601.25,608.05,1501066
2020-04-03 00:00:00+05:30,613.8,614.7,588,590.25,1693653
2020-04-07 00:00:00+05:30,605,611,582,586.05,3137486
2020-04-08 00:00:00+05:30,584.8,598.4,576,579.5,3091087
2020-04-09 00:00:00+05:30,585.05,614.25,575,595.2,6139709
2020-04-13 00:00:00+05:30,580,581.5,501.1,505.5,22874756
2020-04-15 00:00:00+05:30,510,524.45,502,504.65,8436966
2020-04-16 00:00:00+05:30,505,537.2,501,532.1,8012609
2020-04-17 00:00:00+05:30,546,548.8,523,530.5,6750064
2020-04-20 00:00:00+05:30,534.75,548.9,528.5,540.1,5766967
2020-04-21 00:00:00+05:30,528.9,534.9,518,525.9,3249487
2020-04-22 00:00:00+05:30,527,535.7,520.1,532.4,2719280
2020-04-23 00:00:00+05:30,539,574,535,560.95,4983406
2020-04-24 00:00:00+05:30,557.7,596.45,552.1,557.85,7824080
2020-04-27 00:00:00+05:30,563.7,575,542.85,552.7,3306453
2020-04-28 00:00:00+05:30,556,562.45,547.45,550.9,1975826
2020-04-29 00:00:00+05:30,555.4,584,548.4,577.5,6121364
2020-04-30 00:00:00+05:30,591,604.9,585,599.15,6038342
2020-05-04 00:00:00+05:30,566.2,578,566.2,568.45,2066389
2020-05-05 00:00:00+05:30,577.75,584.3,550.6,553,2247828
2020-05-06 00:00:00+05:30,557,569,542,565.65,2356415
2020-05-07 00:00:00+05:30,563,579,558.9,574.45,2201886
2020-05-08 00:00:00+05:30,585,586,548.6,561.95,5125026
2020-05-11 00:00:00+05:30,552,561,543,548.5,2746769
2020-05-12 00:00:00+05:30,542,548.35,530.2,543.1,2115701
2020-05-13 00:00:00+05:30,570,570.55,545.25,548.3,2376132
2020-05-14 00:00:00+05:30,543,545.75,537.1,538.65,1456710
2020-05-15 00:00:00+05:30,542,544,535.25,539.45,1044907
2020-05-18 00:00:00+05:30,540,540,526,528.9,1212873
2020-05-19 00:00:00+05:30,535,540,529.15,537.65,1329780
2020-05-20 00:00:00+05:30,537,548,534.6,536.75,1142416
2020-05-21 00:00:00+05:30,539.4,546.8,536.15,542.35,1181475
2020-05-22 00:00:00+05:30,541.4,546.3,495,509.55,5257015
2020-05-26 00:00:00+05:30,515,518,496.5,498.75,4518856
2020-05-27 00:00:00+05:30,501.6,521.1,496,517.45,3008686
2020-05-28 00:00:00+05:30,520,537.75,518.15,532.3,2381145
2020-05-29 00:00:00+05:30,528,541.65,524.2,538.85,1540581
2020-06-01 00:00:00+05:30,544,557.4,544,547.8,1939049
2020-06-02 00:00:00+05:30,554.5,573,552.75,570.05,2741138
2020-09-01 00:00:00+05:30,804.1,820.85,796.3,806.7,1457465
2020-09-02 00:00:00+05:30,802,819,801.9,814.1,864414
2020-09-03 00:00:00+05:30,815,835,814.95,827.8,1202202
2020-09-04 00:00:00+05:30,811,827.5,810,816.45,895656
2020-09-07 00:00:00+05:30,820,823.65,805,808.7,836452
2020-09-08 00:00:00+05:30,811,824.6,807.15,818.9,1527405
2020-09-09 00:00:00+05:30,812.05,813.95,805,809.15,801709
2020-09-10 00:00:00+05:30,814,826,812.05,819.95,1336624
2020-09-11 00:00:00+05:30,819,855.8,819,849.4,2722066
2020-09-14 00:00:00+05:30,858,868,842.7,855.85,2306741
2020-09-15 00:00:00+05:30,859,865.5,856.5,858.6,1049684
2020-09-16 00:00:00+05:30,863.55,865,850,851.55,1082791
2020-09-17 00:00:00+05:30,846.9,858,844,851.05,706512
2020-09-18 00:00:00+05:30,856,863.8,826.55,849.4,8126328
2020-09-21 00:00:00+05:30,855,857,811,818.15,1464507
2020-09-22 00:00:00+05:30,820,828,774.05,813,1361609
2020-09-23 00:00:00+05:30,819,826.7,811.15,821.05,1051964
2020-09-24 00:00:00+05:30,811.3,820.8,805,816.1,1161120
2020-09-25 00:00:00+05:30,813.1,824.25,806.9,812.05,761952
2020-09-28 00:00:00+05:30,818.75,848.5,813.3,841.4,1056368
2020-09-29 00:00:00+05:30,845.1,854.85,830.65,849.7,1322936
2020-09-30 00:00:00+05:30,849.8,851,842,847.6,796469
2020-10-01 00:00:00+05:30,858,858,833.7,838.9,746238
2020-10-05 00:00:00+05:30,839,848.45,838,845.85,864679
2020-10-06 00:00:00+05:30,849.45,850,838.45,842.15,796688
2020-10-07 00:00:00+05:30,845,848,833,843.5,834051
2020-10-08 00:00:00+05:30,848,852.75,841.3,847.3,777073
2020-10-09 00:00:00+05:30,850,852.8,841,850.65,900601
2020-10-12 00:00:00+05:30,850.1,855,839,845.05,672699
2020-10-13 00:00:00+05:30,843.1,861.1,840.1,856.35,1367217
2020-10-14 00:00:00+05:30,860,895.5,860,892.15,5345936
2020-10-15 00:00:00+05:30,892.25,918.75,887.75,900.2,3799142
2020-10-16 00:00:00+05:30,897.9,904.4,876,879.6,1568240
2020-10-19 00:00:00+05:30,884.35,888.8,875.3,883.2,895509
2020-10-20 00:00:00+05:30,883.95,901.8,873,898.3,1285192
2020-10-21 00:00:00+05:30,901,908.75,878,895.3,961002
