date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,540.01,543,530,539.37,24815
2015-01-02 00:00:00+05:30,536,545.98,536,542.46,16120
2015-01-05 00:00:00+05:30,545.8,558,538.2,554.57,7145
2015-01-06 00:00:00+05:30,551.21,551.21,539,543.73,13120
2015-01-07 00:00:00+05:30,540.03,556.74,540.03,553.2,11765
2015-01-08 00:00:00+05:30,559.79,598.6,555,575.01,13065
2015-01-09 00:00:00+05:30,563.25,600,563.25,584.83,7125
2015-01-12 00:00:00+05:30,599.58,610,590.38,595.59,9715
2015-01-13 00:00:00+05:30,619,619,597,600.9,5730
2015-01-14 00:00:00+05:30,609.8,610,595.2,599.17,4320
2015-01-15 00:00:00+05:30,605,608.8,582.2,592.7,3865
2015-01-16 00:00:00+05:30,586.87,610,586.87,601.2,1885
2015-01-19 00:00:00+05:30,611.98,618,602,616.43,12180
2015-01-20 00:00:00+05:30,619.77,619.77,593.15,616.65,11715
2015-01-21 00:00:00+05:30,606.6,625,606.6,618.51,14855
2015-01-22 00:00:00+05:30,622.43,622.43,608,610.76,12010
2015-01-23 00:00:00+05:30,618.99,621,604.21,618.1,16010
2015-01-27 00:00:00+05:30,621.8,634.99,614.2,616.57,8225
2015-01-28 00:00:00+05:30,603.02,625,603,617.96,16305
2015-01-29 00:00:00+05:30,625.31,625.32,615.99,619.43,8140
2015-01-30 00:00:00+05:30,623.97,630,610.21,620.11,21870
2015-02-02 00:00:00+05:30,613.29,629.94,610.19,618.58,9530
2015-02-03 00:00:00+05:30,619.99,626.99,614.2,619.39,2615
2015-02-04 00:00:00+05:30,624,629.8,616.3,617.35,6910
2015-02-05 00:00:00+05:30,625.98,625.98,610.15,614.2,14485
2015-02-06 00:00:00+05:30,620,620,606.2,615.13,1820
2015-02-09 00:00:00+05:30,600,614.85,600,613.87,4475
2015-02-10 00:00:00+05:30,613.87,623,603,611.12,8400
2015-02-11 00:00:00+05:30,618.98,619.6,606.1,607.98,52255
2015-02-12 00:00:00+05:30,610.01,622,608.01,611.16,8570
2015-02-13 00:00:00+05:30,619.79,619.8,606,609.85,42900
2015-02-16 00:00:00+05:30,621.8,621.8,610.2,617.33,5430
2015-02-18 00:00:00+05:30,625.57,625.57,610,616.54,45045
2015-02-19 00:00:00+05:30,625.99,681.8,620,647.27,18575
2015-02-20 00:00:00+05:30,647.27,724,647.27,684.91,73425
2015-02-23 00:00:00+05:30,684,704.81,665.2,670.47,28130
2015-02-24 00:00:00+05:30,679,687.2,662.4,665.96,8885
2015-02-25 00:00:00+05:30,666,679,637,645.27,21645
2015-02-26 00:00:00+05:30,645.24,660,640,649.57,5000
2015-02-27 00:00:00+05:30,651.98,670.01,649.56,662.83,22015
2015-03-02 00:00:00+05:30,672,672,638.35,644.87,35155
2015-03-03 00:00:00+05:30,640.41,648.25,630.35,645.79,5295
2015-03-04 00:00:00+05:30,650,652.4,632.23,642.83,43790
2015-03-05 00:00:00+05:30,635.25,659.8,635.25,651.81,8735
2015-03-09 00:00:00+05:30,684.8,684.8,640,655.99,11790
2015-03-10 00:00:00+05:30,642,662,642,655.53,7310
2015-03-11 00:00:00+05:30,655.31,671.8,648.96,669.33,7735
2015-03-12 00:00:00+05:30,679.92,681,660.21,678.08,7050
2015-03-13 00:00:00+05:30,692,692,662,672.57,275145
2015-03-16 00:00:00+05:30,668.01,723.71,667,697.89,162225
2015-03-17 00:00:00+05:30,697.89,706.57,676.16,693.57,11135
2015-03-18 00:00:00+05:30,691.73,698,676,685.78,5005
2015-03-19 00:00:00+05:30,685.38,699.23,650.81,668.98,62360
2015-03-20 00:00:00+05:30,680,680,640,646.39,6305
2015-03-23 00:00:00+05:30,655.12,660,649.18,653.95,89000
2015-03-24 00:00:00+05:30,653.43,653.43,640,644.38,2890
2015-03-25 00:00:00+05:30,653.08,678,651,661.04,4270
2015-03-26 00:00:00+05:30,660.01,667.4,651.21,653,152795
2015-03-27 00:00:00+05:30,659.98,659.98,640.29,649,448605
2015-03-30 00:00:00+05:30,655,687,654.02,673.94,5320
2015-03-31 00:00:00+05:30,674,700,673.98,680.51,8235
2015-04-01 00:00:00+05:30,683.99,689.69,676.01,680.78,13925
2015-04-06 00:00:00+05:30,686,697.99,680,689.55,10910
2015-04-07 00:00:00+05:30,699.99,730.92,672.63,699.43,12120
2015-04-08 00:00:00+05:30,712,732.4,702,708.56,22275
2015-04-09 00:00:00+05:30,700,776.01,700,729.62,28580
2015-04-10 00:00:00+05:30,740,765.24,730.54,738.43,72585
2015-04-13 00:00:00+05:30,760,763.8,742.06,759.87,8400
2015-04-15 00:00:00+05:30,768.8,775.8,740.21,762.06,12585
2015-04-16 00:00:00+05:30,766.39,771.1,748,750.16,6975
2015-04-17 00:00:00+05:30,760,767.79,733.4,747.78,13545
2015-04-20 00:00:00+05:30,748.39,754.79,710,712.12,12105
2015-04-21 00:00:00+05:30,739.99,739.99,697,698.91,134520
2015-04-22 00:00:00+05:30,695,710,695,702.95,3955
2015-04-23 00:00:00+05:30,710,718,699.8,701.07,3335
2015-04-24 00:00:00+05:30,696.03,719.99,678.4,680.84,8720
2015-04-27 00:00:00+05:30,727.99,727.99,650.2,677.23,7595
2015-04-28 00:00:00+05:30,653.12,698.78,653.12,677.82,26940
2015-04-29 00:00:00+05:30,666.05,685.71,654.54,675.64,4605
2015-04-30 00:00:00+05:30,671.8,693,671.8,677.43,5070
2015-05-04 00:00:00+05:30,695,719.8,681.03,696.52,4085
2015-05-05 00:00:00+05:30,715.98,718,697.39,716.02,52555
2015-05-06 00:00:00+05:30,696.43,717.59,680.22,684.83,5585
2015-05-07 00:00:00+05:30,693.99,694,677.8,682.11,68160
2015-05-08 00:00:00+05:30,670.99,692,651.02,666.42,8820
2015-05-11 00:00:00+05:30,680,690,666.67,670.49,4000
2015-05-12 00:00:00+05:30,669.01,682.78,666,677.63,5150
2015-05-13 00:00:00+05:30,681,686.98,670,679.97,54930
2015-05-14 00:00:00+05:30,679.01,687.6,668.24,682.82,11820
2015-05-15 00:00:00+05:30,684.45,684.45,673,675.34,30140
2015-05-18 00:00:00+05:30,670.11,697,670,677,12255
2015-05-19 00:00:00+05:30,689.74,689.74,675,679.98,53950
2015-05-20 00:00:00+05:30,675.99,699.8,675.99,687.31,7940
2015-05-21 00:00:00+05:30,694.01,695,683.6,685.23,1815
2015-05-22 00:00:00+05:30,685.64,699.8,664.2,695.69,223085
2015-05-25 00:00:00+05:30,699.69,716,696.39,708.41,25520
2015-05-26 00:00:00+05:30,708,708,690,690.23,4300
