date,open,high,low,close,volume
2021-06-24 00:00:00+05:30,301,361.2,295,361.2,41848082
2021-06-25 00:00:00+05:30,387.9,413.9,355.45,364.7,30784367
2021-06-28 00:00:00+05:30,357,361.7,337.3,347.5,5967165
2021-06-29 00:00:00+05:30,345,352,340.85,349.1,2476272
2021-06-30 00:00:00+05:30,350.75,359,341.3,342.3,983870
2021-07-01 00:00:00+05:30,342,350,333.25,344.95,1740419
2021-07-02 00:00:00+05:30,343,385,341.3,377.45,4600866
2021-07-05 00:00:00+05:30,381.4,387.9,366.5,383.05,3150274
2021-07-06 00:00:00+05:30,382.65,395.7,376,388,3504682
2021-07-07 00:00:00+05:30,384.25,420.8,378.5,405.35,5935443
2021-07-08 00:00:00+05:30,404.75,412.4,396.1,402.45,2421453
2021-07-09 00:00:00+05:30,400,426.8,398.05,422.25,3886823
2021-07-12 00:00:00+05:30,424.9,427,402,409.1,1845286
2021-07-13 00:00:00+05:30,411,415.5,400.4,402.05,1526457
2021-07-14 00:00:00+05:30,404.95,406.95,399,401.8,625983
2021-07-15 00:00:00+05:30,404.7,409.3,392.2,394.7,727281
2021-07-16 00:00:00+05:30,400,409,399.2,401.5,1023571
2021-07-19 00:00:00+05:30,399.5,404.95,388,393.8,1220437
2021-07-20 00:00:00+05:30,401.7,456.9,392,439.85,8324982
2021-07-22 00:00:00+05:30,428,452,411.1,440.5,9450575
2021-07-23 00:00:00+05:30,441,452.9,418.75,423.25,4378428
2021-07-26 00:00:00+05:30,424,424,402.6,405.55,3491888
2021-07-27 00:00:00+05:30,408,415.45,393.85,396.6,2330599
2021-07-28 00:00:00+05:30,400.45,424.3,395.5,418.75,4790986
2021-07-29 00:00:00+05:30,420.75,438.95,416.1,435.4,2548002
2021-07-30 00:00:00+05:30,432.85,443.95,426.7,439.25,1833069
2021-08-02 00:00:00+05:30,442.65,454.25,435.5,439.25,2478124
2021-08-03 00:00:00+05:30,443,446.8,432.2,436.05,909060
2021-08-04 00:00:00+05:30,439.75,439.75,421,421.95,1674935
2021-08-05 00:00:00+05:30,424.9,425,408,409.5,1476251
2021-08-06 00:00:00+05:30,410.2,422.5,408,411.45,1736766
2021-08-09 00:00:00+05:30,427.7,486.7,427.25,477.8,13161558
2021-08-10 00:00:00+05:30,481.25,559.4,474,489.35,20850838
2021-08-11 00:00:00+05:30,497.8,522.9,478.35,498.9,7578893
2021-08-12 00:00:00+05:30,503.7,508.75,486.85,491.25,1918516
2021-08-13 00:00:00+05:30,494.15,517.4,494.15,501.8,2797664
2021-08-16 00:00:00+05:30,503.5,542,493.05,516.25,5838267
2021-08-17 00:00:00+05:30,515.4,523.8,494,496.35,2846613
2021-08-18 00:00:00+05:30,498.95,504.75,464.1,473.75,3623680
2021-08-20 00:00:00+05:30,467.6,493,463,466.35,2441515
2021-08-23 00:00:00+05:30,472.15,480.9,438.15,445.2,2657952
2021-08-24 00:00:00+05:30,448.65,456.5,440.2,450.15,2849668
2021-08-25 00:00:00+05:30,457,491.15,455.25,472.4,4691070
2021-08-26 00:00:00+05:30,475,484,466.15,471.5,2658679
2021-11-25 00:00:00+05:30,747.9,775,745,759.95,2012494
2021-11-26 00:00:00+05:30,745,768.5,725.05,729.3,2200440
2021-11-29 00:00:00+05:30,725,747.8,676.2,743.5,2865447
2021-11-30 00:00:00+05:30,750,770.95,736.55,748.3,1737253
2021-12-01 00:00:00+05:30,758.65,766,741.25,744.7,1408465
2021-12-02 00:00:00+05:30,748.8,767,746.05,758.95,1741210
2021-12-03 00:00:00+05:30,767.3,812.5,763.4,766.4,3977053
