date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,242.5,243.35,239.65,240.8,856386
2015-01-02 00:00:00+05:30,239.2,248.4,239.2,245.65,2630409
2015-01-05 00:00:00+05:30,246,251.2,244.1,245.85,1975993
2015-01-06 00:00:00+05:30,244.4,244.4,235.2,237.35,1951719
2015-01-07 00:00:00+05:30,236.3,238.85,227,229.45,2337628
2015-01-08 00:00:00+05:30,233.8,244.7,233.65,243.35,2362344
2015-01-09 00:00:00+05:30,246.8,246.9,242.1,246,1946824
2015-01-12 00:00:00+05:30,246,248.25,243.1,245.9,1292914
2015-01-13 00:00:00+05:30,245,247.3,239.75,242.05,2700501
2015-01-14 00:00:00+05:30,242,248.5,241.6,247.75,4226479
2015-01-15 00:00:00+05:30,249.1,254.9,245.35,253.45,4586490
2015-01-16 00:00:00+05:30,252.2,257.8,249,255.5,4723648
2015-01-19 00:00:00+05:30,255.5,259.8,251,252.8,1730618
2015-01-20 00:00:00+05:30,253,257.39,252.7,253.8,2274423
2015-01-21 00:00:00+05:30,253,257.7,251.3,256.25,1557715
2015-01-22 00:00:00+05:30,255,263.95,250.2,253.05,2169145
2015-01-23 00:00:00+05:30,254.8,259,252.15,256.75,1957883
2015-01-27 00:00:00+05:30,258.05,263.8,255.3,261.2,2484973
2015-01-28 00:00:00+05:30,261,274.89,261,273.95,4859650
2015-01-29 00:00:00+05:30,274.89,277.5,270.85,276,1572737
2015-01-30 00:00:00+05:30,277.2,278.45,265.5,268.6,1500375
2015-02-02 00:00:00+05:30,265.55,268.39,261.7,266.25,988993
2015-02-03 00:00:00+05:30,267.5,275.5,266.45,269.6,1408831
2015-02-04 00:00:00+05:30,271.64,283,261.25,276.39,2745766
2015-02-05 00:00:00+05:30,276.35,277.14,261,262.85,1557908
2015-02-06 00:00:00+05:30,263.5,269.5,258.3,265.3,1337997
2015-02-09 00:00:00+05:30,263.3,263.3,250.25,253.25,1320974
2015-02-10 00:00:00+05:30,252.45,262.39,250.5,258.7,1249810
2015-02-11 00:00:00+05:30,261,266.39,254.7,264.7,1636716
2015-02-12 00:00:00+05:30,253,259,248.5,257.1,4874754
2015-02-13 00:00:00+05:30,258,261.89,255.2,256.25,1441296
2015-02-16 00:00:00+05:30,257.25,258,248.45,249.55,1802301
