day,open,high,low,close,volume,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir
2015-09-01 00:00:00+05:30,60.85,61.0,58.9,59.15,2851731,,,,,,1
2015-09-02 00:00:00+05:30,59.8,60.7,58.5,59.0,2997434,59.68333333333334,59.95,59.41666666666667,0.5333333333333314,,1
2015-09-03 00:00:00+05:30,59.3,59.95,59.05,59.25,3931110,59.4,59.6,59.199999999999996,0.4000000000000057,,1
2015-09-04 00:00:00+05:30,59.1,59.1,56.3,58.0,3042764,59.416666666666664,59.5,59.33333333333333,0.1666666666666714,,1
2015-09-07 00:00:00+05:30,58.15,58.65,56.8,57.0,3359547,57.800000000000004,57.7,57.900000000000006,0.20000000000000284,,1
2015-09-08 00:00:00+05:30,57.2,59.0,57.0,58.0,1840526,57.48333333333333,57.724999999999994,57.24166666666666,0.4833333333333343,,1
2015-09-09 00:00:00+05:30,59.0,59.9,58.35,59.7,2679738,58.0,58.0,58.0,0.0,,1
2015-09-10 00:00:00+05:30,58.5,60.35,58.1,60.0,1829593,59.31666666666666,59.125,59.508333333333326,0.38333333333332575,,1
2015-09-11 00:00:00+05:30,60.2,61.85,59.75,60.35,2463085,59.48333333333333,59.225,59.74166666666665,0.5166666666666515,,1
2015-09-14 00:00:00+05:30,60.7,61.3,60.05,61.05,1371088,60.65,60.8,60.5,0.29999999999999716,,1
2015-09-15 00:00:00+05:30,61.25,61.8,59.75,59.95,1883832,60.79999999999999,60.675,60.92499999999998,0.2499999999999858,,1
2015-09-21 00:00:00+05:30,62.7,65.65,62.65,65.45,2868177,60.5,60.775,60.225,0.5499999999999972,,1
2015-09-22 00:00:00+05:30,65.65,66.35,63.5,63.55,2753601,64.58333333333333,64.15,65.01666666666665,0.8666666666666458,,1
2015-09-23 00:00:00+05:30,62.65,64.55,62.3,64.25,2657117,64.46666666666665,64.925,64.00833333333331,0.9166666666666856,,1
2015-09-24 00:00:00+05:30,63.9,65.0,63.55,64.85,3937316,63.699999999999996,63.425,63.974999999999994,0.5499999999999972,,1
2015-09-28 00:00:00+05:30,64.75,65.05,64.0,64.3,1311592,64.46666666666667,64.275,64.65833333333333,0.38333333333332575,,1
2015-09-29 00:00:00+05:30,63.8,65.3,63.15,64.5,3562007,64.45,64.525,64.375,0.15000000000000568,,1
2015-09-30 00:00:00+05:30,64.85,65.15,63.5,64.0,2742965,64.31666666666666,64.225,64.40833333333333,0.18333333333333712,,1
2015-10-01 00:00:00+05:30,64.2,66.65,64.05,65.6,2560128,64.21666666666667,64.325,64.10833333333333,0.21666666666666856,,1
2015-10-05 00:00:00+05:30,65.7,65.7,64.3,65.15,1619420,65.43333333333332,65.35,65.51666666666665,0.1666666666666572,,1
2015-10-06 00:00:00+05:30,65.2,65.8,64.3,65.2,3316549,65.05,65.0,65.1,0.09999999999999432,,1
2015-10-07 00:00:00+05:30,65.3,65.7,64.95,65.1,1650402,65.10000000000001,65.05,65.15000000000002,0.10000000000002274,,1
2015-10-08 00:00:00+05:30,65.15,65.6,64.2,64.5,2030661,65.25,65.325,65.175,0.15000000000000568,,1
2015-10-09 00:00:00+05:30,65.2,65.4,63.9,64.0,2303713,64.76666666666667,64.9,64.63333333333333,0.26666666666667993,,1
2015-10-12 00:00:00+05:30,64.55,67.0,64.0,66.8,2443479,64.43333333333334,64.65,64.21666666666667,0.4333333333333371,,1
2015-10-13 00:00:00+05:30,66.15,67.25,64.5,64.65,2794252,65.93333333333334,65.5,66.36666666666667,0.8666666666666742,61.74588,1
2015-10-14 00:00:00+05:30,65.0,65.5,64.2,64.4,2628338,65.46666666666667,65.875,65.05833333333334,0.8166666666666629,61.74588,1
2015-10-15 00:00:00+05:30,64.6,65.15,64.2,64.6,2082957,64.7,64.85,64.55000000000001,0.29999999999998295,61.74588,1
2015-10-21 00:00:00+05:30,60.3,60.5,55.85,57.6,39498823,64.65,64.67500000000001,64.625,0.05000000000001137,62.69698751232,-1
2015-10-23 00:00:00+05:30,58.5,58.95,56.75,56.85,12674932,57.98333333333333,58.175,57.79166666666666,0.38333333333333997,62.3671080118272,-1
2015-10-26 00:00:00+05:30,57.35,57.7,56.6,57.0,9844505,57.51666666666667,57.85,57.183333333333344,0.6666666666666572,61.57442369135412,-1
2015-10-27 00:00:00+05:30,57.35,57.45,56.4,56.55,4407528,57.1,57.150000000000006,57.05,0.10000000000000853,61.25644674369995,-1
2015-10-28 00:00:00+05:30,56.5,57.2,55.95,56.3,4123504,56.79999999999999,56.925,56.67499999999998,0.2500000000000142,60.833188873951954,-1
2015-10-29 00:00:00+05:30,56.35,56.75,54.9,55.0,5643717,56.48333333333333,56.575,56.39166666666665,0.18333333333335133,60.06086131899387,-1
2015-10-30 00:00:00+05:30,55.45,55.55,53.9,54.2,4920727,55.550000000000004,55.825,55.275000000000006,0.5499999999999972,58.92342686623411,-1
2015-11-02 00:00:00+05:30,54.5,55.3,52.35,54.7,3399073,54.54999999999999,54.724999999999994,54.374999999999986,0.3500000000000085,58.091489791584756,-1
2015-11-03 00:00:00+05:30,55.1,55.55,54.6,55.05,3624120,54.116666666666674,53.825,54.408333333333346,0.5833333333333428,58.091489791584756,-1
2015-11-04 00:00:00+05:30,55.8,55.8,55.0,55.2,2237887,55.06666666666666,55.075,55.05833333333332,0.01666666666667993,58.091489791584756,-1
2015-11-05 00:00:00+05:30,55.1,55.3,54.05,54.75,4608610,55.333333333333336,55.4,55.26666666666667,0.13333333333332575,58.091489791584756,-1
2015-11-06 00:00:00+05:30,54.75,55.95,54.3,54.55,3789537,54.699999999999996,54.675,54.724999999999994,0.04999999999999716,58.091489791584756,-1
2015-11-09 00:00:00+05:30,52.7,54.45,52.7,54.05,2623738,54.93333333333334,55.125,54.741666666666674,0.38333333333332575,57.54183273320732,-1
2015-11-10 00:00:00+05:30,54.05,54.85,53.45,53.7,1476569,53.73333333333333,53.575,53.89166666666665,0.31666666666664867,57.54183273320732,-1
2015-11-11 00:00:00+05:30,54.9,54.9,53.7,54.1,392167,54.0,54.150000000000006,53.849999999999994,0.30000000000001137,57.54183273320732,-1
2015-11-13 00:00:00+05:30,53.8,54.15,53.25,53.8,1221789,54.23333333333333,54.3,54.16666666666666,0.13333333333333997,57.476978925046915,-1
