day,open,high,low,close,volume,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir
2015-09-01 00:00:00+05:30,182.55,182.9,177.65,177.7,10940091,,,,,,1
2015-09-02 00:00:00+05:30,179.75,182.45,178.4,180.7,14702467,179.41666666666666,180.275,178.5583333333333,1.716666666666697,,1
2015-09-03 00:00:00+05:30,182.5,183.35,180.2,181.3,11654409,180.51666666666665,180.425,180.6083333333333,0.18333333333328028,,1
2015-09-04 00:00:00+05:30,180.7,181.55,177.75,177.8,18161191,181.61666666666665,181.77499999999998,181.45833333333331,0.3166666666666629,,1
2015-09-11 00:00:00+05:30,177.6,178.55,176.3,177.0,7755691,179.03333333333333,179.65,178.41666666666666,1.2333333333333485,,1
2015-09-14 00:00:00+05:30,177.25,177.95,176.0,177.2,8626998,177.28333333333333,177.425,177.14166666666665,0.28333333333335986,,1
2015-09-15 00:00:00+05:30,177.2,179.5,176.5,179.05,5976458,177.04999999999998,176.975,177.12499999999997,0.14999999999997726,,1
2015-09-16 00:00:00+05:30,180.1,182.35,179.15,181.8,6450215,178.35,178.0,178.7,0.6999999999999886,,1
2015-09-18 00:00:00+05:30,183.15,185.15,177.75,179.05,14747565,181.1,180.75,181.45,0.6999999999999886,,1
2015-09-21 00:00:00+05:30,178.5,179.2,177.0,177.45,7847352,180.65,181.45,179.85000000000002,1.599999999999966,,1
2015-09-22 00:00:00+05:30,178.15,179.75,175.1,175.6,17267801,177.88333333333333,178.1,177.66666666666666,0.4333333333333371,,1
2015-09-23 00:00:00+05:30,174.65,180.15,174.65,178.7,13441142,176.8166666666667,177.425,176.20833333333337,1.2166666666666401,,1
2015-09-24 00:00:00+05:30,177.9,182.6,177.9,181.65,16315812,177.83333333333334,177.4,178.26666666666668,0.8666666666666742,,1
2015-09-28 00:00:00+05:30,182.6,183.55,179.9,180.7,7334961,180.71666666666667,180.25,181.18333333333334,0.9333333333333371,,1
2015-09-29 00:00:00+05:30,180.05,183.55,179.05,180.6,9563935,181.38333333333335,181.72500000000002,181.04166666666669,0.6833333333333371,,1
2015-09-30 00:00:00+05:30,181.85,186.3,180.7,185.65,15554542,181.0666666666667,181.3,180.83333333333337,0.46666666666664014,,1
