day,open,high,low,close,volume,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir
2015-09-01 00:00:00+05:30,75.5,75.5,68.85,70.2,4121973,,,,,,1
2015-09-02 00:00:00+05:30,71.85,72.3,68.05,69.2,2213655,71.51666666666667,72.175,70.85833333333333,1.3166666666666629,,1
2015-09-03 00:00:00+05:30,69.85,74.8,69.6,74.2,2723660,69.85000000000001,70.175,69.52500000000002,0.6499999999999773,,1
2015-09-04 00:00:00+05:30,72.55,74.0,69.85,73.5,2444824,72.86666666666666,72.19999999999999,73.53333333333333,1.3333333333333428,,1
2015-09-07 00:00:00+05:30,72.8,73.65,66.4,66.75,2392172,72.45,71.925,72.97500000000001,1.0500000000000114,,1
2015-09-08 00:00:00+05:30,68.95,75.4,68.4,74.7,6735318,68.93333333333334,70.025,67.84166666666667,2.183333333333337,,1
2015-09-09 00:00:00+05:30,77.65,78.9,75.55,78.3,3838313,72.83333333333333,71.9,73.76666666666665,1.8666666666666458,,1
2015-09-10 00:00:00+05:30,75.4,82.8,74.45,82.25,4882538,77.58333333333333,77.225,77.94166666666666,0.7166666666666686,,1
2015-09-11 00:00:00+05:30,83.5,83.95,80.95,82.4,3245955,79.83333333333333,78.625,81.04166666666666,2.416666666666657,,1
2015-09-14 00:00:00+05:30,82.45,85.35,75.3,83.65,2918681,82.43333333333334,82.45,82.41666666666667,0.03333333333333144,,1
2015-09-15 00:00:00+05:30,84.45,84.6,81.3,82.7,2657862,81.43333333333332,80.32499999999999,82.54166666666666,2.2166666666666686,,1
2015-09-21 00:00:00+05:30,82.0,87.75,81.95,86.95,2198637,82.86666666666666,82.94999999999999,82.78333333333333,0.1666666666666572,,1
2015-09-22 00:00:00+05:30,89.0,89.2,83.9,84.45,2995647,85.55,84.85,86.25,1.4000000000000057,,1
2015-09-23 00:00:00+05:30,81.7,87.8,81.3,86.7,1885771,85.85000000000001,86.55000000000001,85.15,1.4000000000000057,,1
2015-09-24 00:00:00+05:30,86.5,88.65,84.75,87.25,2286345,85.26666666666667,84.55,85.98333333333333,1.4333333333333371,,1
2015-09-28 00:00:00+05:30,87.35,89.2,85.9,86.0,2168289,86.88333333333333,86.7,87.06666666666665,0.3666666666666458,,1
2015-09-29 00:00:00+05:30,84.75,89.2,83.65,88.0,2524679,87.03333333333335,87.55000000000001,86.51666666666668,1.0333333333333314,,1
2015-09-30 00:00:00+05:30,88.8,94.6,88.8,94.15,4482196,86.95,86.42500000000001,87.475,1.049999999999983,,1
2015-10-01 00:00:00+05:30,95.25,96.25,87.7,90.55,5642462,92.51666666666665,91.69999999999999,93.33333333333331,1.6333333333333258,,1
2015-10-05 00:00:00+05:30,90.4,94.0,89.4,93.6,3583046,91.5,91.975,91.025,0.9499999999999886,,1
2015-10-06 00:00:00+05:30,93.95,94.25,91.7,92.4,1957786,92.33333333333333,91.7,92.96666666666665,1.2666666666666515,,1
2015-10-07 00:00:00+05:30,92.5,92.85,89.8,91.3,2239135,92.78333333333335,92.975,92.5916666666667,0.38333333333329733,,1
2015-10-08 00:00:00+05:30,91.75,92.05,88.3,89.2,3392672,91.31666666666666,91.32499999999999,91.30833333333334,0.01666666666665151,,1
2015-10-09 00:00:00+05:30,90.0,90.4,85.0,86.0,3218179,89.85000000000001,90.175,89.52500000000002,0.6499999999999773,,1
2015-10-12 00:00:00+05:30,86.95,89.4,84.25,87.75,3079314,87.13333333333333,87.7,86.56666666666665,1.1333333333333542,,1
2015-10-13 00:00:00+05:30,88.4,91.4,85.5,91.1,3311031,87.13333333333333,86.825,87.44166666666665,0.6166666666666458,77.56008,1
2015-10-14 00:00:00+05:30,89.4,90.45,86.95,87.05,2488552,89.33333333333333,88.45,90.21666666666665,1.7666666666666515,77.9136768,1
