day,open,high,low,close,volume,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir
2015-09-07 00:00:00+05:30,121.0,122.6,119.0,121.0,6169995,,,,,,1
2015-09-08 00:00:00+05:30,121.0,124.9,120.3,124.2,7785865,120.86666666666667,120.8,120.93333333333335,0.13333333333335418,,1
2015-09-09 00:00:00+05:30,125.6,127.8,125.3,126.2,6322910,123.13333333333333,122.6,123.66666666666666,1.0666666666666629,,1
2015-09-10 00:00:00+05:30,124.1,128.0,122.4,127.7,5902460,126.43333333333334,126.55,126.31666666666668,0.23333333333332007,,1
2015-09-11 00:00:00+05:30,126.6,128.4,125.5,126.0,4743705,126.03333333333335,125.2,126.86666666666669,1.6666666666666856,,1
2015-09-14 00:00:00+05:30,126.4,129.9,126.1,129.2,4752720,126.63333333333333,126.95,126.31666666666665,0.6333333333333542,,1
2015-09-15 00:00:00+05:30,128.5,129.1,127.0,127.7,3674640,128.4,128.0,128.8,0.8000000000000114,,1
2015-09-16 00:00:00+05:30,128.6,129.4,127.0,128.1,3790490,127.93333333333334,128.05,127.81666666666666,0.2333333333333485,,1
2015-09-18 00:00:00+05:30,128.6,133.5,127.2,133.3,14704995,128.16666666666666,128.2,128.13333333333333,0.06666666666666288,,1
2015-09-21 00:00:00+05:30,131.8,133.8,130.8,132.8,5102945,131.33333333333334,130.35,132.3166666666667,1.966666666666697,,1
2015-09-22 00:00:00+05:30,133.9,134.0,127.7,127.7,5252685,132.46666666666667,132.3,132.63333333333333,0.3333333333333144,,1
2015-09-23 00:00:00+05:30,126.2,132.4,126.2,132.4,4598495,129.79999999999998,130.85,128.74999999999997,2.1000000000000227,,1
2015-09-24 00:00:00+05:30,131.6,132.4,128.4,131.1,9056915,130.33333333333334,129.3,131.36666666666667,2.066666666666663,,1
2015-09-28 00:00:00+05:30,132.0,132.0,127.7,128.2,4230665,130.63333333333333,130.4,130.86666666666665,0.46666666666664014,,1
2015-09-29 00:00:00+05:30,126.8,131.4,124.8,129.8,7449215,129.29999999999998,129.85,128.74999999999997,1.1000000000000227,,1
2015-09-30 00:00:00+05:30,130.6,131.4,128.5,129.6,4607380,128.66666666666666,128.1,129.23333333333332,1.1333333333333258,,1
2015-10-06 00:00:00+05:30,131.8,132.4,128.4,131.0,5284260,129.83333333333334,129.95,129.7166666666667,0.23333333333329165,,1
2015-10-07 00:00:00+05:30,131.0,133.0,130.2,132.2,3883070,130.6,130.4,130.79999999999998,0.39999999999997726,,1
2015-10-08 00:00:00+05:30,132.7,132.8,129.9,130.0,7328550,131.79999999999998,131.6,131.99999999999997,0.39999999999997726,,1
2015-10-09 00:00:00+05:30,131.2,132.4,130.8,132.0,4601405,130.9,131.35000000000002,130.45,0.9000000000000341,,1
