day,open,high,low,close,volume,cpr_pp,cpr_bc,cpr_tc,cpr_width,supertrend,supertrend_dir
2015-09-01 00:00:00+05:30,153.1,154.0,149.05,152.9,239299,,,,,,1
2015-09-02 00:00:00+05:30,153.5,159.75,152.65,154.35,219437,151.98333333333335,151.525,152.4416666666667,0.9166666666666856,,1
2015-09-03 00:00:00+05:30,156.4,160.15,155.0,157.7,208846,155.58333333333334,156.2,154.9666666666667,1.2333333333332916,,1
2015-09-04 00:00:00+05:30,157.7,157.7,150.2,152.0,180136,157.61666666666665,157.575,157.6583333333333,0.08333333333331439,,1
2015-09-11 00:00:00+05:30,154.4,156.4,152.2,153.3,99792,153.29999999999998,153.95,152.64999999999998,1.3000000000000114,,1
2015-09-14 00:00:00+05:30,154.4,156.0,152.1,154.5,111309,153.96666666666667,154.3,153.63333333333333,0.6666666666666856,,1
2015-09-15 00:00:00+05:30,155.0,159.75,154.8,157.0,221271,154.20000000000002,154.05,154.35000000000002,0.30000000000001137,,1
2015-09-16 00:00:00+05:30,157.5,158.6,156.7,156.9,91481,157.18333333333334,157.275,157.09166666666667,0.18333333333333712,,1
2015-09-18 00:00:00+05:30,161.4,168.0,160.0,167.5,454095,157.39999999999998,157.64999999999998,157.14999999999998,0.5,,1
2015-09-21 00:00:00+05:30,166.9,182.7,166.9,179.55,1179354,165.16666666666666,164.0,166.33333333333331,2.3333333333333144,,1
2015-09-22 00:00:00+05:30,180.8,186.6,170.4,172.65,827816,176.38333333333335,174.8,177.9666666666667,3.1666666666666856,,1
2015-09-23 00:00:00+05:30,172.05,183.0,169.7,181.4,402892,176.54999999999998,178.5,174.59999999999997,3.900000000000034,,1
2015-09-24 00:00:00+05:30,181.0,186.8,180.05,180.5,510824,178.03333333333333,176.35,179.71666666666667,3.3666666666666742,,1
2015-09-28 00:00:00+05:30,179.0,183.4,178.0,179.0,301808,182.45000000000002,183.425,181.47500000000002,1.9499999999999886,,1
2015-09-29 00:00:00+05:30,176.05,182.3,174.45,178.5,239804,180.13333333333333,180.7,179.56666666666666,1.1333333333333258,,1
2015-09-30 00:00:00+05:30,181.2,181.6,175.5,177.25,213605,178.41666666666666,178.375,178.45833333333331,0.08333333333331439,,1
2015-10-06 00:00:00+05:30,181.95,184.2,178.75,179.25,288549,178.11666666666667,178.55,177.68333333333334,0.8666666666666742,,1
2015-10-07 00:00:00+05:30,180.0,185.25,176.55,177.85,408533,180.73333333333335,181.475,179.9916666666667,1.4833333333332916,,1
2015-10-08 00:00:00+05:30,178.75,181.1,177.5,177.95,200146,179.88333333333333,180.9,178.86666666666665,2.03333333333336,,1
2015-10-09 00:00:00+05:30,179.75,181.9,176.8,177.15,159197,178.85,179.3,178.39999999999998,0.9000000000000341,,1
2015-10-12 00:00:00+05:30,178.65,182.2,175.25,176.5,278747,178.61666666666667,179.35000000000002,177.88333333333333,1.466666666666697,,1
2015-10-13 00:00:00+05:30,177.0,179.8,175.5,176.0,208103,177.98333333333335,178.725,177.2416666666667,1.4833333333332916,,1
2015-10-14 00:00:00+05:30,176.4,180.4,176.25,176.8,261515,177.1,177.65,176.54999999999998,1.1000000000000227,,1
2015-10-15 00:00:00+05:30,178.2,180.0,176.0,176.0,233099,177.8166666666667,178.325,177.3083333333334,1.0166666666665947,,1
2015-10-16 00:00:00+05:30,177.4,178.8,175.25,176.0,191199,177.33333333333334,178.0,176.66666666666669,1.3333333333333144,,1
2015-10-19 00:00:00+05:30,176.95,178.3,172.1,173.15,299072,176.6833333333333,177.025,176.3416666666666,0.683333333333394,163.357,1
2015-10-20 00:00:00+05:30,173.5,188.8,173.0,187.7,1984259,174.51666666666665,175.2,173.83333333333331,1.3666666666666742,166.56341120000002,1
2015-10-21 00:00:00+05:30,188.4,192.0,180.0,181.55,1199614,183.16666666666666,180.9,185.4333333333333,4.533333333333303,171.276874752,1
2015-10-23 00:00:00+05:30,184.0,185.5,178.25,179.9,539006,184.51666666666665,186.0,183.0333333333333,2.966666666666697,171.276874752,1
2015-10-26 00:00:00+05:30,181.05,183.4,176.2,178.1,388028,181.21666666666667,181.875,180.55833333333334,1.3166666666666629,171.276874752,1
2015-10-27 00:00:00+05:30,178.0,184.9,177.35,184.0,1028549,179.23333333333335,179.8,178.66666666666669,1.1333333333333258,171.276874752,1
2015-10-28 00:00:00+05:30,184.7,187.7,182.25,183.8,765366,182.08333333333334,181.125,183.04166666666669,1.9166666666666856,171.276874752,1
2015-10-29 00:00:00+05:30,190.4,199.9,187.1,190.55,4724920,184.58333333333334,184.975,184.1916666666667,0.783333333333303,178.22973030863557,1
2015-10-30 00:00:00+05:30,192.15,197.5,187.6,195.8,1514806,192.51666666666665,193.5,191.5333333333333,1.966666666666697,178.22973030863557,1
2015-11-05 00:00:00+05:30,185.7,190.35,182.7,184.65,634899,193.63333333333335,192.55,194.7166666666667,2.1666666666666856,178.22973030863557,1
